negatives
"frozenset({'Q92731', 'A8CG34', 'CRH'})"
"frozenset({'Q96J02', 'CRH', 'Q9Y5X1'})"
"frozenset({'P01903', 'P04233', 'CRH'})"
"frozenset({'CRH', 'P30260', 'Q15013'})"
"frozenset({'P04899', 'P35414', 'CRH'})"
"frozenset({'Q12874', 'P09661', 'CRH'})"
"frozenset({'Q86VP6', 'P15880', 'CRH'})"
"frozenset({'O15198', 'P54274', 'CRH'})"
"frozenset({'Q96NT0', 'CRH', 'P51149'})"
"frozenset({'P60409', 'Q9UBK9', 'CRH'})"
"frozenset({'Q9NQR4', 'Q99497', 'CRH'})"
"frozenset({'P54646', 'CRH', 'P58005'})"
"frozenset({'P02747', 'CRH', 'P06681'})"
"frozenset({'P60604', 'P62877', 'CRH'})"
"frozenset({'P62258', 'Q02750', 'CRH'})"
"frozenset({'Q96EZ8', 'Q02446', 'CRH'})"
"frozenset({'P04179', 'P30044', 'CRH'})"
"frozenset({'Q13616', 'CRH', 'Q15084'})"
"frozenset({'P13232', 'O60674', 'CRH'})"
"frozenset({'P04406', 'P04626', 'CRH'})"
"frozenset({'P25490', 'Q9HAU4', 'CRH'})"
"frozenset({'O60287', 'O00567', 'CRH'})"
"frozenset({'P63208', 'O60907', 'CRH'})"
"frozenset({'P19338', 'Q93034', 'CRH'})"
"frozenset({'P35609', 'Q9NWS9', 'CRH'})"
"frozenset({'O00567', 'CRH', 'Q9Y3U8'})"
"frozenset({'Q53HC9', 'Q8TBA6', 'CRH'})"
"frozenset({'P26367', 'Q96HF1', 'CRH'})"
"frozenset({'P09234', 'Q16610', 'CRH'})"
"frozenset({'Q9UJX4', 'Q9UJX2', 'CRH'})"
"frozenset({'P49639', 'Q9NSB4', 'CRH'})"
"frozenset({'Q9NZL4', 'Q96D46', 'CRH'})"
"frozenset({'Q92731', 'CRH', 'P43307'})"
"frozenset({'P33260', 'CRH', 'P34741'})"
"frozenset({'Q9Y6C9', 'CRH', 'Q86TW2'})"
"frozenset({'Q8NGL6', 'CRH', 'P38405'})"
"frozenset({'P27482', 'Q96AB3', 'CRH'})"
"frozenset({'Q9UM11', 'P14635', 'CRH'})"
"frozenset({'Q16186', 'O94763', 'CRH'})"
"frozenset({'P13010', 'CRH', 'O76064'})"
"frozenset({'P38919', 'Q96FW1', 'CRH'})"
"frozenset({'Q6P2C8', 'O43513', 'CRH'})"
"frozenset({'Q9Y4L5', 'P01034', 'CRH'})"
"frozenset({'P62140', 'P48058', 'CRH'})"
"frozenset({'Q13541', 'Q92630', 'CRH'})"
"frozenset({'P12004', 'P12755', 'CRH'})"
"frozenset({'P53778', 'P16520', 'CRH'})"
"frozenset({'Q13123', 'Q9BV38', 'CRH'})"
"frozenset({'P23443', 'CRH', 'Q6R327'})"
"frozenset({'Q9BQA1', 'CRH', 'P10275'})"
"frozenset({'O94817', 'CRH', 'Q9BQ66'})"
"frozenset({'Q8WUM4', 'O95166', 'CRH'})"
"frozenset({'P01160', 'P17342', 'CRH'})"
"frozenset({'Q6WCQ1', 'P15104', 'CRH'})"
"frozenset({'Q15796', 'P06239', 'CRH'})"
"frozenset({'Q14527', 'Q13469', 'CRH'})"
"frozenset({'P62942', 'CRH', 'P40337'})"
"frozenset({'Q9BY76', 'Q6UXH0', 'CRH'})"
"frozenset({'Q8IVW4', 'Q63ZY3', 'CRH'})"
"frozenset({'P27487', 'P16860', 'CRH'})"
"frozenset({'Q02241', 'CRH', 'P62330'})"
"frozenset({'P07437', 'CRH', 'O43353'})"
"frozenset({'Q07065', 'CRH', 'P60520'})"
"frozenset({'P13637', 'Q8IYR6', 'CRH'})"
"frozenset({'Q9H3Q3', 'Q5JR59', 'CRH'})"
"frozenset({'P68431', 'P49756', 'CRH'})"
"frozenset({'CRH', 'Q9HAU5', 'Q9H074'})"
"frozenset({'O94805', 'P63261', 'CRH'})"
"frozenset({'P62829', 'P82912', 'CRH'})"
"frozenset({'P05067', 'O95976', 'CRH'})"
"frozenset({'Q14683', 'CRH', 'Q15287'})"
"frozenset({'Q5T3J3', 'Q8WVZ9', 'CRH'})"
"frozenset({'O43677', 'Q9UI09', 'CRH'})"
"frozenset({'Q8NC56', 'Q99871', 'CRH'})"
"frozenset({'Q9Y4D7', 'P22736', 'CRH'})"
"frozenset({'CRH', 'P63261', 'P27348'})"
"frozenset({'Q9NXW9', 'Q9ULV5', 'CRH'})"
"frozenset({'Q9H1A4', 'CRH', 'Q9GZQ8'})"
"frozenset({'P08134', 'Q9P286', 'CRH'})"
"frozenset({'P10826', 'P19793', 'CRH'})"
"frozenset({'A8MQ03', 'CRH', 'O00555'})"
"frozenset({'Q13418', 'P11166', 'CRH'})"
"frozenset({'P00519', 'CRH', 'Q05513'})"
"frozenset({'P25788', 'Q15008', 'CRH'})"
"frozenset({'Q9P2P5', 'CRH', 'Q13042'})"
"frozenset({'P22307', 'O43889', 'CRH'})"
"frozenset({'P49736', 'CRH', 'P06576'})"
"frozenset({'Q9NYK5', 'Q12906', 'CRH'})"
"frozenset({'Q12792', 'Q9ULC4', 'CRH'})"
"frozenset({'O43597', 'Q6L8G9', 'CRH'})"
"frozenset({'P11171', 'Q14203', 'CRH'})"
"frozenset({'Q9P2D1', 'CRH', 'Q12824'})"
"frozenset({'Q9H4Y5', 'P37802', 'CRH'})"
"frozenset({'O43823', 'CRH', 'O43638'})"
"frozenset({'Q9P2W3', 'Q96RD1', 'CRH'})"
"frozenset({'Q13627', 'O75533', 'CRH'})"
"frozenset({'O43633', 'P10600', 'CRH'})"
"frozenset({'P17302', 'Q6PEY2', 'CRH'})"
"frozenset({'P19438', 'CRH', 'Q13748'})"
"frozenset({'Q12778', 'P35453', 'CRH'})"
"frozenset({'Q9UJX3', 'CRH', 'Q9UPN9'})"
"frozenset({'P33992', 'P09382', 'CRH'})"
"frozenset({'P11182', 'Q8N3J5', 'CRH'})"
"frozenset({'Q99502', 'CRH', 'P11487'})"
"frozenset({'P09067', 'Q9NWQ8', 'CRH'})"
"frozenset({'Q7L5N1', 'P35637', 'CRH'})"
"frozenset({'Q9ULK5', 'O43597', 'CRH'})"
"frozenset({'P43405', 'O00206', 'CRH'})"
"frozenset({'P01833', 'Q8IVT5', 'CRH'})"
"frozenset({'Q8N1F7', 'Q14974', 'CRH'})"
"frozenset({'Q6NT76', 'P12956', 'CRH'})"
"frozenset({'P28072', 'Q969U7', 'CRH'})"
"frozenset({'Q8IXJ6', 'O60729', 'CRH'})"
"frozenset({'Q9H0R8', 'CRH', 'P22234'})"
"frozenset({'Q8WV19', 'CRH', 'Q8IUQ4'})"
"frozenset({'Q06418', 'CRH', 'Q9BYQ4'})"
"frozenset({'P04150', 'Q9P2W1', 'CRH'})"
"frozenset({'P05783', 'Q5JVL4', 'CRH'})"
"frozenset({'O43765', 'CRH', 'Q96EQ0'})"
"frozenset({'P23528', 'P49768', 'CRH'})"
"frozenset({'Q06278', 'CRH', 'P46109'})"
"frozenset({'P63092', 'P11229', 'CRH'})"
"frozenset({'Q8IY92', 'CRH', 'P26640'})"
"frozenset({'P59022', 'Q9NX53', 'CRH'})"
"frozenset({'Q8IVS2', 'Q9BTV4', 'CRH'})"
"frozenset({'Q9P270', 'CRH', 'Q92833'})"
"frozenset({'Q9Y5S9', 'Q9P2E9', 'CRH'})"
"frozenset({'Q8TCG1', 'Q9NZQ7', 'CRH'})"
"frozenset({'P14373', 'Q9UGJ1', 'CRH'})"
"frozenset({'P49257', 'P35232', 'CRH'})"
"frozenset({'P47928', 'Q13516', 'CRH'})"
"frozenset({'P48634', 'P52272', 'CRH'})"
"frozenset({'Q6VVB1', 'P34932', 'CRH'})"
"frozenset({'Q8N1B4', 'Q9Y5K8', 'CRH'})"
"frozenset({'P0DI81', 'CRH', 'Q96QF0'})"
"frozenset({'Q8N2M8', 'P05067', 'CRH'})"
"frozenset({'Q9Y3F4', 'O15105', 'CRH'})"
"frozenset({'O00401', 'Q92558', 'CRH'})"
"frozenset({'Q14D33', 'O00303', 'CRH'})"
"frozenset({'P49736', 'CRH', 'P17066'})"
"frozenset({'P50990', 'CRH', 'Q9BXA6'})"
"frozenset({'Q9UG63', 'Q02878', 'CRH'})"
"frozenset({'Q96A37', 'Q8NFH5', 'CRH'})"
"frozenset({'P23769', 'Q13547', 'CRH'})"
"frozenset({'Q00722', 'P62879', 'CRH'})"
"frozenset({'P07900', 'Q96GE6', 'CRH'})"
"frozenset({'O75143', 'Q9H492', 'CRH'})"
"frozenset({'P26441', 'P31785', 'CRH'})"
"frozenset({'P25788', 'P13498', 'CRH'})"
"frozenset({'P20749', 'P49841', 'CRH'})"
"frozenset({'Q9Y6H5', 'P49841', 'CRH'})"
"frozenset({'Q16576', 'CRH', 'Q9Y483'})"
"frozenset({'P52815', 'P08579', 'CRH'})"
"frozenset({'P04150', 'Q13451', 'CRH'})"
"frozenset({'P40259', 'Q92783', 'CRH'})"
"frozenset({'Q9Y3Q4', 'Q8IYB4', 'CRH'})"
"frozenset({'CRH', 'Q92845', 'Q16401'})"
"frozenset({'O15394', 'P0DPB3', 'CRH'})"
"frozenset({'O00625', 'P00966', 'CRH'})"
"frozenset({'Q99750', 'Q13526', 'CRH'})"
"frozenset({'O00567', 'CRH', 'Q9NR30'})"
"frozenset({'P26583', 'Q99598', 'CRH'})"
"frozenset({'O75593', 'Q6PI48', 'CRH'})"
"frozenset({'Q9GZU7', 'P42773', 'CRH'})"
"frozenset({'P04629', 'O75323', 'CRH'})"
"frozenset({'O00231', 'CRH', 'P35228'})"
"frozenset({'P19838', 'P55786', 'CRH'})"
"frozenset({'Q9HCG8', 'CRH', 'P34947'})"
"frozenset({'Q12769', 'CRH', 'Q14999'})"
"frozenset({'P35626', 'CRH', 'Q8N148'})"
"frozenset({'P05412', 'O95202', 'CRH'})"
"frozenset({'Q15768', 'Q99572', 'CRH'})"
"frozenset({'P05067', 'P62280', 'CRH'})"
"frozenset({'CRH', 'Q29983', 'O43908'})"
"frozenset({'P53355', 'O00522', 'CRH'})"
"frozenset({'Q9NX04', 'Q9Y6H3', 'CRH'})"
"frozenset({'O60341', 'P08727', 'CRH'})"
"frozenset({'CRH', 'Q14195', 'O00165'})"
"frozenset({'P31751', 'Q70SY1', 'CRH'})"
"frozenset({'P52758', 'Q5VW32', 'CRH'})"
"frozenset({'Q9UHD8', 'P63027', 'CRH'})"
"frozenset({'Q12756', 'Q9UPT6', 'CRH'})"
"frozenset({'Q99750', 'Q99895', 'CRH'})"
"frozenset({'P42285', 'Q99661', 'CRH'})"
"frozenset({'P04179', 'CRH', 'O43353'})"
"frozenset({'CRH', 'P02751', 'Q15029'})"
"frozenset({'O95544', 'P27348', 'CRH'})"
"frozenset({'P21281', 'Q15942', 'CRH'})"
"frozenset({'Q15696', 'Q15695', 'CRH'})"
"frozenset({'O00303', 'O15372', 'CRH'})"
"frozenset({'Q9Y6Y0', 'Q92538', 'CRH'})"
"frozenset({'P32121', 'Q8NH40', 'CRH'})"
"frozenset({'CRH', 'Q6P1M3', 'Q05513'})"
"frozenset({'P08237', 'P49591', 'CRH'})"
"frozenset({'Q92945', 'Q14103', 'CRH'})"
"frozenset({'P03372', 'Q9NWA0', 'CRH'})"
"frozenset({'O75051', 'Q16635', 'CRH'})"
"frozenset({'O75190', 'P56524', 'CRH'})"
"frozenset({'Q02078', 'Q8WUI4', 'CRH'})"
"frozenset({'Q96GX1', 'P11021', 'CRH'})"
"frozenset({'P61221', 'Q12792', 'CRH'})"
"frozenset({'P09874', 'O00257', 'CRH'})"
"frozenset({'Q8NEZ4', 'Q06587', 'CRH'})"
"frozenset({'P22087', 'Q8TDN6', 'CRH'})"
"frozenset({'Q9H992', 'CRH', 'P10636'})"
"frozenset({'Q9Y383', 'CRH', 'P50222'})"
"frozenset({'O00327', 'P51449', 'CRH'})"
"frozenset({'Q63HR2', 'Q52LG2', 'CRH'})"
"frozenset({'P49588', 'P41250', 'CRH'})"
"frozenset({'P63104', 'O95373', 'CRH'})"
"frozenset({'O15397', 'Q9Y2D8', 'CRH'})"
"frozenset({'CRH', 'Q8N159', 'Q9GZU3'})"
"frozenset({'P15121', 'CRH', 'C9JRZ8'})"
"frozenset({'P34932', 'P13010', 'CRH'})"
"frozenset({'P13612', 'CRH', 'Q16181'})"
"frozenset({'O95793', 'P46940', 'CRH'})"
"frozenset({'Q96NL6', 'CRH', 'Q9UGI8'})"
"frozenset({'P19438', 'P07437', 'CRH'})"
"frozenset({'P31946', 'P52788', 'CRH'})"
"frozenset({'Q06413', 'O00458', 'CRH'})"
"frozenset({'P52434', 'CRH', 'Q8N201'})"
"frozenset({'Q3KNS6', 'O60341', 'CRH'})"
"frozenset({'Q6A162', 'CRH', 'Q96IZ5'})"
"frozenset({'P61353', 'P23396', 'CRH'})"
"frozenset({'P25391', 'P98160', 'CRH'})"
"frozenset({'Q9GZS1', 'Q16543', 'CRH'})"
"frozenset({'P48443', 'Q13616', 'CRH'})"
"frozenset({'P25788', 'P41250', 'CRH'})"
"frozenset({'Q99558', 'P62829', 'CRH'})"
"frozenset({'Q8WW36', 'P54253', 'CRH'})"
"frozenset({'O00425', 'CRH', 'P62750'})"
"frozenset({'Q9UN86', 'Q13616', 'CRH'})"
"frozenset({'Q9Y2K1', 'Q00325', 'CRH'})"
"frozenset({'Q8NA82', 'Q96HA8', 'CRH'})"
"frozenset({'Q9UHB6', 'O75044', 'CRH'})"
"frozenset({'P18146', 'P35913', 'CRH'})"
"frozenset({'P08865', 'CRH', 'P0DP23'})"
"frozenset({'P08243', 'CRH', 'O94903'})"
"frozenset({'Q9UN86', 'P24941', 'CRH'})"
"frozenset({'Q96T88', 'Q16643', 'CRH'})"
"frozenset({'Q15393', 'Q9H4L7', 'CRH'})"
"frozenset({'O75925', 'CRH', 'Q00987'})"
"frozenset({'Q93009', 'Q9HCG8', 'CRH'})"
"frozenset({'P01857', 'Q9UL42', 'CRH'})"
"frozenset({'P05787', 'CRH', 'P15336'})"
"frozenset({'P20810', 'CRH', 'Q96L46'})"
"frozenset({'P45984', 'P99999', 'CRH'})"
"frozenset({'Q8N5G2', 'Q6L8G8', 'CRH'})"
"frozenset({'Q96JC9', 'O43829', 'CRH'})"
"frozenset({'CRH', 'Q9NY61', 'Q8NEJ9'})"
"frozenset({'Q9Y3B4', 'P18583', 'CRH'})"
"frozenset({'O94826', 'P51617', 'CRH'})"
"frozenset({'Q9NP66', 'Q8IUR0', 'CRH'})"
"frozenset({'P15882', 'P60953', 'CRH'})"
"frozenset({'P47755', 'CRH', 'Q13813'})"
"frozenset({'P35520', 'P48200', 'CRH'})"
"frozenset({'P40227', 'P29353', 'CRH'})"
"frozenset({'P55209', 'Q92793', 'CRH'})"
"frozenset({'P13637', 'CRH', 'P22612'})"
"frozenset({'P31040', 'Q99460', 'CRH'})"
"frozenset({'Q86VP6', 'Q9H0A0', 'CRH'})"
"frozenset({'P68036', 'Q9NWF9', 'CRH'})"
"frozenset({'P15927', 'Q9P2N5', 'CRH'})"
"frozenset({'Q6A162', 'Q9UHP6', 'CRH'})"
"frozenset({'P05362', 'P51991', 'CRH'})"
"frozenset({'Q6NW34', 'CRH', 'P26373'})"
"frozenset({'Q96DB2', 'P23527', 'CRH'})"
"frozenset({'O14787', 'CRH', 'Q3SXY8'})"
"frozenset({'P54578', 'Q6XQN6', 'CRH'})"
"frozenset({'P48431', 'CRH', 'O60942'})"
"frozenset({'P29016', 'Q8TB96', 'CRH'})"
"frozenset({'Q86YW9', 'O43504', 'CRH'})"
"frozenset({'Q9HAV0', 'P08908', 'CRH'})"
"frozenset({'Q15572', 'Q01105', 'CRH'})"
"frozenset({'P10914', 'P61073', 'CRH'})"
"frozenset({'Q92959', 'P62993', 'CRH'})"
"frozenset({'P62241', 'Q9BYG3', 'CRH'})"
"frozenset({'Q96B86', 'A6H8Y1', 'CRH'})"
"frozenset({'P30989', 'P29992', 'CRH'})"
"frozenset({'Q9Y6K9', 'A0MZ66', 'CRH'})"
"frozenset({'P60866', 'CRH', 'P17931'})"
"frozenset({'Q09161', 'Q15637', 'CRH'})"
"frozenset({'Q4U2R6', 'CRH', 'Q16540'})"
"frozenset({'Q9P2P5', 'P19525', 'CRH'})"
"frozenset({'Q15527', 'Q49AR2', 'CRH'})"
"frozenset({'Q9BZE4', 'P03372', 'CRH'})"
"frozenset({'Q6P589', 'CRH', 'P15153'})"
"frozenset({'O15014', 'P54253', 'CRH'})"
"frozenset({'Q5T751', 'Q6L8H2', 'CRH'})"
"frozenset({'Q9NUX5', 'Q9HBI6', 'CRH'})"
"frozenset({'A8MQ03', 'CRH', 'Q8WYQ9'})"
"frozenset({'P32927', 'P01241', 'CRH'})"
"frozenset({'A0AVT1', 'Q9UGP4', 'CRH'})"
"frozenset({'O75031', 'O00560', 'CRH'})"
"frozenset({'Q9UNH7', 'Q14203', 'CRH'})"
"frozenset({'Q14192', 'Q9BRK5', 'CRH'})"
"frozenset({'CRH', 'Q6ZWI9', 'Q9C0C7'})"
"frozenset({'P20226', 'Q9H063', 'CRH'})"
"frozenset({'Q13541', 'Q9H0H3', 'CRH'})"
"frozenset({'Q6P9G9', 'P17040', 'CRH'})"
"frozenset({'O95295', 'CRH', 'Q2T9L4'})"
"frozenset({'CRH', 'Q96FV2', 'P50222'})"
"frozenset({'P62241', 'P13612', 'CRH'})"
"frozenset({'Q8IY92', 'Q5VYV7', 'CRH'})"
"frozenset({'Q9BZL1', 'P13612', 'CRH'})"
"frozenset({'O14773', 'P01023', 'CRH'})"
"frozenset({'Q9P2K8', 'Q13200', 'CRH'})"
"frozenset({'P49368', 'P14625', 'CRH'})"
"frozenset({'P60520', 'CRH', 'P62266'})"
"frozenset({'P19793', 'CRH', 'Q9Y3R0'})"
"frozenset({'P18146', 'P37173', 'CRH'})"
"frozenset({'O00459', 'Q9BVP2', 'CRH'})"
"frozenset({'Q14197', 'CRH', 'Q9GZT3'})"
"frozenset({'Q15554', 'CRH', 'Q05519'})"
"frozenset({'O95758', 'Q9Y5B9', 'CRH'})"
"frozenset({'Q9BYR9', 'P60331', 'CRH'})"
"frozenset({'Q16777', 'Q8IZL8', 'CRH'})"
"frozenset({'Q9UI08', 'Q702N8', 'CRH'})"
"frozenset({'Q96J02', 'Q9UBN7', 'CRH'})"
"frozenset({'Q96B26', 'O95863', 'CRH'})"
"frozenset({'P62854', 'Q12906', 'CRH'})"
"frozenset({'Q13616', 'P05388', 'CRH'})"
"frozenset({'A0JLT2', 'O76021', 'CRH'})"
"frozenset({'P07900', 'CRH', 'P51610'})"
"frozenset({'P61927', 'CRH', 'P10398'})"
"frozenset({'Q9BRG1', 'Q96H20', 'CRH'})"
"frozenset({'O00429', 'P43355', 'CRH'})"
"frozenset({'P55010', 'Q14152', 'CRH'})"
"frozenset({'P32121', 'Q8NGH3', 'CRH'})"
"frozenset({'O60921', 'P52701', 'CRH'})"
"frozenset({'Q9BQ89', 'Q13009', 'CRH'})"
"frozenset({'P55884', 'Q9P0L0', 'CRH'})"
"frozenset({'Q9P2W3', 'CRH', 'P01111'})"
"frozenset({'P01106', 'CRH', 'Q92754'})"
"frozenset({'Q12906', 'Q13315', 'CRH'})"
"frozenset({'Q00535', 'Q02750', 'CRH'})"
"frozenset({'P12259', 'Q9H0W5', 'CRH'})"
"frozenset({'P35579', 'CRH', 'O94782'})"
"frozenset({'Q9NZC3', 'O14556', 'CRH'})"
"frozenset({'CRH', 'Q8NEB9', 'Q9NQC1'})"
"frozenset({'Q96D71', 'Q13526', 'CRH'})"
"frozenset({'CRH', 'P62820', 'P45880'})"
"frozenset({'Q6P1J9', 'P35222', 'CRH'})"
"frozenset({'Q9Y6K9', 'Q96AX9', 'CRH'})"
"frozenset({'P08621', 'CRH', 'Q15287'})"
"frozenset({'P23760', 'CRH', 'P56645'})"
"frozenset({'Q09472', 'CRH', 'P23443'})"
"frozenset({'Q9Y250', 'CRH', 'P61024'})"
"frozenset({'Q5XKK7', 'Q9BQC3', 'CRH'})"
"frozenset({'Q8NGR2', 'CRH', 'P38405'})"
"frozenset({'CRH', 'Q7RTT5', 'Q99828'})"
"frozenset({'Q02543', 'P62841', 'CRH'})"
"frozenset({'O14757', 'CRH', 'Q5JSZ5'})"
"frozenset({'O95707', 'Q9BQ04', 'CRH'})"
"frozenset({'P09104', 'CRH', 'Q15293'})"
"frozenset({'P42765', 'Q01085', 'CRH'})"
"frozenset({'O00212', 'Q8N264', 'CRH'})"
"frozenset({'Q9UKV5', 'P25100', 'CRH'})"
"frozenset({'Q8TCT0', 'P05067', 'CRH'})"
"frozenset({'Q9NRC8', 'Q03164', 'CRH'})"
"frozenset({'O00244', 'P50238', 'CRH'})"
"frozenset({'P35544', 'Q9UQ80', 'CRH'})"
"frozenset({'P59542', 'Q6NUM6', 'CRH'})"
"frozenset({'P61964', 'Q99879', 'CRH'})"
"frozenset({'Q96JK2', 'O15212', 'CRH'})"
"frozenset({'O43677', 'O95169', 'CRH'})"
"frozenset({'Q13158', 'Q9HAV5', 'CRH'})"
"frozenset({'P63244', 'O75530', 'CRH'})"
"frozenset({'O15062', 'CRH', 'O95429'})"
"frozenset({'P38432', 'Q53H82', 'CRH'})"
"frozenset({'P40926', 'P02511', 'CRH'})"
"frozenset({'O00487', 'Q9BRP4', 'CRH'})"
"frozenset({'Q15910', 'P68431', 'CRH'})"
"frozenset({'Q7Z4W3', 'CRH', 'Q96HR8'})"
"frozenset({'Q13685', 'Q9H7E9', 'CRH'})"
"frozenset({'P17040', 'CRH', 'Q9Y5X1'})"
"frozenset({'Q9NVR2', 'P67775', 'CRH'})"
"frozenset({'P05412', 'Q9NXF1', 'CRH'})"
"frozenset({'Q6P988', 'CRH', 'O00744'})"
"frozenset({'P61927', 'P62910', 'CRH'})"
"frozenset({'P46777', 'CRH', 'P62750'})"
"frozenset({'Q96JK2', 'CRH', 'P34947'})"
"frozenset({'Q12959', 'O95155', 'CRH'})"
"frozenset({'Q00535', 'Q8IWL3', 'CRH'})"
"frozenset({'P19320', 'CRH', 'P22234'})"
"frozenset({'Q9H2G2', 'Q9NYA1', 'CRH'})"
"frozenset({'Q10713', 'Q14197', 'CRH'})"
"frozenset({'Q13043', 'Q9UKB1', 'CRH'})"
"frozenset({'Q92600', 'Q9Y2I6', 'CRH'})"
