negatives
"frozenset({'P55316', 'P31276', 'TCR'})"
"frozenset({'P42679', 'O00555', 'TCR'})"
"frozenset({'Q9UBU9', 'A6NEM1', 'TCR'})"
"frozenset({'P04278', 'Q495Z4', 'TCR'})"
"frozenset({'Q14344', 'Q5T6S3', 'TCR'})"
"frozenset({'P60673', 'Q07890', 'TCR'})"
"frozenset({'O75365', 'Q9NVH1', 'TCR'})"
"frozenset({'Q6P9A2', 'Q03405', 'TCR'})"
"frozenset({'P23416', 'P02787', 'TCR'})"
"frozenset({'Q5VYV7', 'Q9Y4P1', 'TCR'})"
"frozenset({'TCR', 'O75368', 'P25786'})"
"frozenset({'P15056', 'P47736', 'TCR'})"
"frozenset({'Q13153', 'Q9NWT1', 'TCR'})"
"frozenset({'TCR', 'P62993', 'Q00325'})"
"frozenset({'P42224', 'P40763', 'TCR'})"
"frozenset({'TCR', 'Q9C009', 'Q86T24'})"
"frozenset({'Q9NS91', 'Q06609', 'TCR'})"
"frozenset({'Q13595', 'TCR', 'Q9NUD5'})"
"frozenset({'P01579', 'Q9UL46', 'TCR'})"
"frozenset({'P31327', 'TCR', 'Q9UKV8'})"
"frozenset({'P60411', 'Q07627', 'TCR'})"
"frozenset({'Q9UBR2', 'Q9UJV3', 'TCR'})"
"frozenset({'Q8N9N5', 'O15427', 'TCR'})"
"frozenset({'P49419', 'P05067', 'TCR'})"
"frozenset({'P13612', 'TCR', 'O60506'})"
"frozenset({'Q08AM6', 'P0C870', 'TCR'})"
"frozenset({'P46092', 'O00585', 'TCR'})"
"frozenset({'P17066', 'TCR', 'Q04864'})"
"frozenset({'Q86WU2', 'P62888', 'TCR'})"
"frozenset({'Q13573', 'Q14999', 'TCR'})"
"frozenset({'TCR', 'O60258', 'P17948'})"
"frozenset({'P55735', 'Q92734', 'TCR'})"
"frozenset({'O00459', 'P19174', 'TCR'})"
"frozenset({'Q9H0R8', 'Q14964', 'TCR'})"
"frozenset({'P61964', 'P78362', 'TCR'})"
"frozenset({'TCR', 'P32121', 'Q8NGR9'})"
"frozenset({'TCR', 'Q15751', 'O95714'})"
"frozenset({'O14920', 'P07437', 'TCR'})"
"frozenset({'P25963', 'P61201', 'TCR'})"
"frozenset({'P11802', 'P12931', 'TCR'})"
"frozenset({'P43246', 'P62847', 'TCR'})"
"frozenset({'P24928', 'O60583', 'TCR'})"
"frozenset({'Q99805', 'P18146', 'TCR'})"
"frozenset({'Q9P0L0', 'O15503', 'TCR'})"
"frozenset({'P60709', 'P08238', 'TCR'})"
"frozenset({'P49736', 'Q96BY7', 'TCR'})"
"frozenset({'Q14213', 'Q8N423', 'TCR'})"
"frozenset({'Q9P2K3', 'Q9BTC8', 'TCR'})"
"frozenset({'P07550', 'TCR', 'P60033'})"
"frozenset({'Q9UKD1', 'Q9UBU9', 'TCR'})"
"frozenset({'Q9UBG7', 'Q9UM47', 'TCR'})"
"frozenset({'TCR', 'P05106', 'Q13683'})"
"frozenset({'P62979', 'Q02543', 'TCR'})"
"frozenset({'P62136', 'P13807', 'TCR'})"
"frozenset({'P28068', 'Q9Y394', 'TCR'})"
"frozenset({'P04053', 'P02647', 'TCR'})"
"frozenset({'P63167', 'P23396', 'TCR'})"
"frozenset({'O43900', 'Q12792', 'TCR'})"
"frozenset({'Q9UNL2', 'Q9BUV8', 'TCR'})"
"frozenset({'Q9H334', 'P39880', 'TCR'})"
"frozenset({'TCR', 'P14635', 'P04406'})"
"frozenset({'Q9H0I2', 'O60504', 'TCR'})"
"frozenset({'P48553', 'O75865', 'TCR'})"
"frozenset({'TCR', 'Q13509', 'Q6PEY2'})"
"frozenset({'P35579', 'P34947', 'TCR'})"
"frozenset({'Q53T94', 'Q96HR8', 'TCR'})"
"frozenset({'TCR', 'P55196', 'Q15223'})"
"frozenset({'Q96CV9', 'Q86Y82', 'TCR'})"
"frozenset({'Q15717', 'Q15040', 'TCR'})"
"frozenset({'Q01844', 'P32242', 'TCR'})"
"frozenset({'P62851', 'P61353', 'TCR'})"
"frozenset({'Q9HCE7', 'P61163', 'TCR'})"
"frozenset({'P31946', 'P04049', 'TCR'})"
"frozenset({'P61619', 'TCR', 'P51572'})"
"frozenset({'P05141', 'Q9Y575', 'TCR'})"
"frozenset({'Q9NYJ8', 'Q99836', 'TCR'})"
"frozenset({'P30153', 'TCR', 'Q86Y56'})"
"frozenset({'TCR', 'P83916', 'O95785'})"
"frozenset({'P63279', 'Q9H6R4', 'TCR'})"
"frozenset({'Q9UI08', 'P35080', 'TCR'})"
"frozenset({'P17658', 'Q8NBJ4', 'TCR'})"
"frozenset({'TCR', 'Q9H3D4', 'Q9Y297'})"
"frozenset({'P14210', 'P08138', 'TCR'})"
"frozenset({'O75170', 'O00744', 'TCR'})"
"frozenset({'Q04206', 'P01562', 'TCR'})"
"frozenset({'P33076', 'P08047', 'TCR'})"
"frozenset({'TCR', 'Q99714', 'Q01469'})"
"frozenset({'P35869', 'P22362', 'TCR'})"
"frozenset({'Q8NAP3', 'P82675', 'TCR'})"
"frozenset({'O60262', 'P45984', 'TCR'})"
"frozenset({'O00410', 'TCR', 'Q7L2J0'})"
"frozenset({'TCR', 'Q13164', 'Q9UKL4'})"
"frozenset({'Q70EL4', 'P62258', 'TCR'})"
"frozenset({'Q70EL3', 'TCR', 'Q15758'})"
"frozenset({'Q96ME1', 'O00308', 'TCR'})"
"frozenset({'O15067', 'P52306', 'TCR'})"
"frozenset({'O15350', 'Q9P2P5', 'TCR'})"
"frozenset({'O75044', 'Q9ULR3', 'TCR'})"
"frozenset({'TCR', 'O95886', 'P78352'})"
"frozenset({'P46934', 'Q9P0N9', 'TCR'})"
"frozenset({'Q92901', 'Q92731', 'TCR'})"
"frozenset({'P42226', 'Q9Y258', 'TCR'})"
"frozenset({'P40763', 'Q15788', 'TCR'})"
"frozenset({'Q8TBB1', 'TCR', 'Q8N720'})"
"frozenset({'Q13509', 'Q8IYT4', 'TCR'})"
"frozenset({'TCR', 'Q9NZ94', 'Q6P1J6'})"
"frozenset({'P61769', 'P02786', 'TCR'})"
"frozenset({'Q92997', 'Q6NX45', 'TCR'})"
"frozenset({'Q96ED9', 'Q5TAP6', 'TCR'})"
"frozenset({'P62701', 'Q96L21', 'TCR'})"
"frozenset({'Q5J8X5', 'P26715', 'TCR'})"
"frozenset({'P23560', 'P07333', 'TCR'})"
"frozenset({'Q9UPS6', 'P58876', 'TCR'})"
"frozenset({'Q00987', 'Q92841', 'TCR'})"
"frozenset({'Q6DD88', 'P10155', 'TCR'})"
"frozenset({'P05412', 'P35232', 'TCR'})"
"frozenset({'Q9UBB5', 'Q8NHZ7', 'TCR'})"
"frozenset({'P61964', 'Q8NEZ4', 'TCR'})"
"frozenset({'Q15843', 'P13639', 'TCR'})"
"frozenset({'Q8NAF0', 'P13725', 'TCR'})"
"frozenset({'Q96IQ7', 'Q9Y2V7', 'TCR'})"
"frozenset({'Q15717', 'Q15546', 'TCR'})"
"frozenset({'Q8IZI9', 'Q08334', 'TCR'})"
"frozenset({'Q13616', 'P42285', 'TCR'})"
"frozenset({'P15172', 'Q9UL46', 'TCR'})"
"frozenset({'Q9NWA0', 'O95402', 'TCR'})"
"frozenset({'Q15311', 'A6NC98', 'TCR'})"
"frozenset({'Q96L42', 'Q07108', 'TCR'})"
"frozenset({'Q7Z392', 'P0DI82', 'TCR'})"
"frozenset({'Q5H9F3', 'Q93009', 'TCR'})"
"frozenset({'Q71F23', 'Q6ZW49', 'TCR'})"
"frozenset({'Q12834', 'P24941', 'TCR'})"
"frozenset({'P08575', 'P46459', 'TCR'})"
"frozenset({'TCR', 'P11413', 'P55010'})"
"frozenset({'P48729', 'O15169', 'TCR'})"
"frozenset({'P06239', 'Q9HBA0', 'TCR'})"
"frozenset({'O15347', 'Q9ULC4', 'TCR'})"
"frozenset({'Q9BYN0', 'Q8N5M4', 'TCR'})"
"frozenset({'P31323', 'Q12802', 'TCR'})"
"frozenset({'Q6PF06', 'Q9Y2R9', 'TCR'})"
"frozenset({'Q16401', 'P54278', 'TCR'})"
"frozenset({'TCR', 'Q9P2R6', 'Q99504'})"
"frozenset({'P07093', 'TCR', 'Q96G46'})"
"frozenset({'Q14697', 'Q05209', 'TCR'})"
"frozenset({'A6NEM1', 'P55040', 'TCR'})"
"frozenset({'Q15746', 'Q9HD26', 'TCR'})"
"frozenset({'P32302', 'TCR', 'P32121'})"
"frozenset({'P29350', 'P14784', 'TCR'})"
"frozenset({'P01857', 'P35232', 'TCR'})"
"frozenset({'TCR', 'Q08AD1', 'P56524'})"
"frozenset({'Q9NS91', 'Q9UBW7', 'TCR'})"
"frozenset({'P57105', 'Q14197', 'TCR'})"
"frozenset({'Q9UBN7', 'Q8N257', 'TCR'})"
"frozenset({'Q13618', 'Q13619', 'TCR'})"
"frozenset({'Q93077', 'P62807', 'TCR'})"
"frozenset({'Q96MN2', 'Q9Y3L3', 'TCR'})"
"frozenset({'P04150', 'P22736', 'TCR'})"
"frozenset({'Q96SY0', 'P19438', 'TCR'})"
"frozenset({'Q6P2C8', 'P24863', 'TCR'})"
"frozenset({'P26641', 'Q9BWC9', 'TCR'})"
"frozenset({'Q96JG6', 'Q6P5Z2', 'TCR'})"
"frozenset({'O00526', 'O43557', 'TCR'})"
"frozenset({'TCR', 'Q14195', 'P54274'})"
"frozenset({'Q96NL6', 'A6NKD9', 'TCR'})"
"frozenset({'Q13619', 'Q9BQ67', 'TCR'})"
"frozenset({'Q1KMD3', 'Q9NR22', 'TCR'})"
"frozenset({'TCR', 'Q9Y6K9', 'Q9Y297'})"
"frozenset({'TCR', 'P50222', 'P68400'})"
"frozenset({'Q13126', 'P49773', 'TCR'})"
"frozenset({'P62633', 'Q9BY67', 'TCR'})"
"frozenset({'Q13618', 'TCR', 'P32969'})"
"frozenset({'TCR', 'Q00975', 'P50150'})"
"frozenset({'P61247', 'P46778', 'TCR'})"
"frozenset({'P78406', 'P04637', 'TCR'})"
"frozenset({'P84022', 'Q9Y5K5', 'TCR'})"
"frozenset({'Q9NQR4', 'P30085', 'TCR'})"
"frozenset({'Q562F6', 'P0DPA2', 'TCR'})"
"frozenset({'Q8IWX8', 'Q13573', 'TCR'})"
"frozenset({'P16871', 'P10809', 'TCR'})"
"frozenset({'Q9BYR8', 'Q9UBP5', 'TCR'})"
"frozenset({'Q04917', 'Q15717', 'TCR'})"
"frozenset({'Q70CQ4', 'Q12933', 'TCR'})"
"frozenset({'Q4G0F5', 'O60333', 'TCR'})"
"frozenset({'Q13098', 'P60900', 'TCR'})"
"frozenset({'P21860', 'Q06124', 'TCR'})"
"frozenset({'Q9HCN8', 'Q2MV58', 'TCR'})"
"frozenset({'Q14678', 'Q9Y6D6', 'TCR'})"
"frozenset({'Q68J44', 'Q9Y4K3', 'TCR'})"
"frozenset({'P67775', 'P78527', 'TCR'})"
"frozenset({'O43597', 'Q9ULK5', 'TCR'})"
"frozenset({'Q9H147', 'P04053', 'TCR'})"
"frozenset({'O75251', 'TCR', 'O95139'})"
"frozenset({'P35613', 'Q8N1B4', 'TCR'})"
"frozenset({'P35998', 'P43686', 'TCR'})"
"frozenset({'O00308', 'P98153', 'TCR'})"
"frozenset({'Q96A09', 'Q2WGJ6', 'TCR'})"
"frozenset({'Q9H244', 'TCR', 'Q8N5B7'})"
"frozenset({'Q96B97', 'Q13042', 'TCR'})"
"frozenset({'TCR', 'Q8NHQ1', 'Q15834'})"
"frozenset({'Q99750', 'Q8NCQ2', 'TCR'})"
"frozenset({'Q9UJV3', 'Q3KQV3', 'TCR'})"
"frozenset({'P51805', 'Q13387', 'TCR'})"
"frozenset({'P49761', 'TCR', 'P38159'})"
"frozenset({'P01112', 'O43374', 'TCR'})"
"frozenset({'Q15654', 'O95363', 'TCR'})"
"frozenset({'P21283', 'P82673', 'TCR'})"
"frozenset({'Q56P03', 'Q05086', 'TCR'})"
"frozenset({'P49758', 'P08238', 'TCR'})"
"frozenset({'O75943', 'Q13315', 'TCR'})"
"frozenset({'Q6EMK4', 'Q9BYQ6', 'TCR'})"
"frozenset({'P01241', 'P29692', 'TCR'})"
"frozenset({'Q9H7Z6', 'P51610', 'TCR'})"
"frozenset({'Q13555', 'Q08462', 'TCR'})"
"frozenset({'TCR', 'P30876', 'P0DP23'})"
"frozenset({'Q00765', 'Q6P1Q0', 'TCR'})"
"frozenset({'P46783', 'P62280', 'TCR'})"
"frozenset({'Q14515', 'Q8IXL6', 'TCR'})"
"frozenset({'Q8NHQ1', 'Q9Y5A6', 'TCR'})"
"frozenset({'Q14974', 'Q8TEP8', 'TCR'})"
"frozenset({'P30050', 'Q6ZW49', 'TCR'})"
"frozenset({'P51531', 'Q8WUB8', 'TCR'})"
"frozenset({'P05112', 'P52333', 'TCR'})"
"frozenset({'O95989', 'P05386', 'TCR'})"
"frozenset({'O15379', 'Q15022', 'TCR'})"
"frozenset({'Q9Y586', 'Q08379', 'TCR'})"
"frozenset({'Q15366', 'Q8IX12', 'TCR'})"
"frozenset({'Q8WUE5', 'Q9UBB9', 'TCR'})"
"frozenset({'Q9HBH0', 'TCR', 'O96013'})"
"frozenset({'P07550', 'Q15366', 'TCR'})"
"frozenset({'O43167', 'Q9UGY1', 'TCR'})"
"frozenset({'TCR', 'O95751', 'Q8TBZ8'})"
"frozenset({'P19012', 'O95678', 'TCR'})"
"frozenset({'P49756', 'Q16666', 'TCR'})"
"frozenset({'P08246', 'Q08117', 'TCR'})"
"frozenset({'Q9NQT5', 'TCR', 'Q13868'})"
"frozenset({'Q04206', 'TCR', 'P51580'})"
"frozenset({'Q15436', 'Q12983', 'TCR'})"
"frozenset({'Q9UER7', 'Q9NS23', 'TCR'})"
"frozenset({'Q6PEW1', 'P63165', 'TCR'})"
"frozenset({'TCR', 'Q9C0C7', 'P49721'})"
"frozenset({'Q8TE77', 'P05067', 'TCR'})"
"frozenset({'Q9Y2X8', 'Q9HCM9', 'TCR'})"
"frozenset({'Q86XS8', 'Q15165', 'TCR'})"
"frozenset({'Q9NPH3', 'Q15628', 'TCR'})"
"frozenset({'Q96JH7', 'Q7Z6Z7', 'TCR'})"
"frozenset({'Q9HCE1', 'Q6PCD5', 'TCR'})"
"frozenset({'Q5JSH3', 'O95292', 'TCR'})"
"frozenset({'O15111', 'Q12778', 'TCR'})"
"frozenset({'P41218', 'Q15024', 'TCR'})"
"frozenset({'Q9BX70', 'P40692', 'TCR'})"
"frozenset({'Q9UMX1', 'O75420', 'TCR'})"
"frozenset({'Q6PI98', 'TCR', 'P21673'})"
"frozenset({'TCR', 'Q86WV1', 'Q9GZS1'})"
"frozenset({'P11802', 'Q15796', 'TCR'})"
"frozenset({'P05362', 'P19838', 'TCR'})"
"frozenset({'P63215', 'TCR', 'Q01668'})"
"frozenset({'TCR', 'Q99623', 'Q8IXH7'})"
"frozenset({'Q969V5', 'O43318', 'TCR'})"
"frozenset({'TCR', 'Q96EL1', 'Q9P286'})"
"frozenset({'Q01167', 'Q14839', 'TCR'})"
"frozenset({'A5D8V6', 'Q6ZRY4', 'TCR'})"
"frozenset({'P52272', 'P38919', 'TCR'})"
"frozenset({'P60709', 'O43586', 'TCR'})"
"frozenset({'P17947', 'P11831', 'TCR'})"
"frozenset({'Q9HAU4', 'P37173', 'TCR'})"
"frozenset({'P09630', 'P17535', 'TCR'})"
"frozenset({'Q15276', 'Q5T5S1', 'TCR'})"
"frozenset({'O14641', 'Q2KHM9', 'TCR'})"
"frozenset({'TCR', 'Q6YHK3', 'Q8N3V7'})"
"frozenset({'Q92925', 'TCR', 'P51532'})"
"frozenset({'TCR', 'P17612', 'P32418'})"
"frozenset({'Q14790', 'Q9NPP4', 'TCR'})"
"frozenset({'Q15654', 'Q99469', 'TCR'})"
"frozenset({'TCR', 'Q9Y4K3', 'P28072'})"
"frozenset({'O75340', 'P43355', 'TCR'})"
"frozenset({'P05362', 'P12814', 'TCR'})"
"frozenset({'Q9Y333', 'P22392', 'TCR'})"
"frozenset({'P61088', 'Q8WWY3', 'TCR'})"
"frozenset({'O14512', 'Q14141', 'TCR'})"
"frozenset({'P33993', 'O94762', 'TCR'})"
"frozenset({'Q14145', 'Q8N205', 'TCR'})"
"frozenset({'A8MQ03', 'Q9BYQ6', 'TCR'})"
"frozenset({'TCR', 'O43707', 'O75147'})"
"frozenset({'P01106', 'Q6P3X3', 'TCR'})"
"frozenset({'Q15717', 'Q7Z7J9', 'TCR'})"
"frozenset({'Q9BRA2', 'P01185', 'TCR'})"
"frozenset({'P19012', 'TCR', 'O95751'})"
"frozenset({'Q14966', 'Q6ZW31', 'TCR'})"
"frozenset({'Q8N443', 'P24863', 'TCR'})"
"frozenset({'Q01860', 'P13645', 'TCR'})"
"frozenset({'Q9UHB6', 'Q9ULJ3', 'TCR'})"
"frozenset({'Q9NV88', 'TCR', 'P49748'})"
"frozenset({'O75970', 'Q9NZC7', 'TCR'})"
"frozenset({'O14641', 'Q96CG3', 'TCR'})"
"frozenset({'TCR', 'Q8NHQ8', 'Q13625'})"
"frozenset({'O60307', 'O43166', 'TCR'})"
"frozenset({'P14923', 'Q9BYD2', 'TCR'})"
"frozenset({'P46531', 'TCR', 'Q06330'})"
"frozenset({'P09603', 'P29317', 'TCR'})"
"frozenset({'Q9UHX1', 'Q01167', 'TCR'})"
"frozenset({'P48058', 'P42261', 'TCR'})"
"frozenset({'Q92565', 'P10301', 'TCR'})"
"frozenset({'TCR', 'Q32P28', 'Q8TAF3'})"
"frozenset({'Q9BX63', 'P40692', 'TCR'})"
"frozenset({'Q9Y2Y1', 'P19388', 'TCR'})"
"frozenset({'TCR', 'P46109', 'Q8WV28'})"
"frozenset({'Q07666', 'P09651', 'TCR'})"
"frozenset({'P37840', 'Q9GZQ8', 'TCR'})"
"frozenset({'TCR', 'P61353', 'P63173'})"
"frozenset({'O14641', 'P10074', 'TCR'})"
"frozenset({'TCR', 'Q9Y6K9', 'Q460N5'})"
"frozenset({'P27348', 'Q9Y490', 'TCR'})"
"frozenset({'P17612', 'P26038', 'TCR'})"
"frozenset({'P45985', 'P80192', 'TCR'})"
"frozenset({'Q9Y3I0', 'P46108', 'TCR'})"
"frozenset({'TCR', 'Q9UQL6', 'P07237'})"
"frozenset({'Q13936', 'Q14738', 'TCR'})"
"frozenset({'Q9UNH5', 'TCR', 'Q7Z569'})"
"frozenset({'Q9P0L1', 'O00257', 'TCR'})"
"frozenset({'P02452', 'P18827', 'TCR'})"
"frozenset({'Q04206', 'P51671', 'TCR'})"
"frozenset({'TCR', 'P16220', 'Q03936'})"
"frozenset({'P49366', 'Q15527', 'TCR'})"
"frozenset({'TCR', 'Q99616', 'P61073'})"
"frozenset({'TCR', 'Q9UEU0', 'Q8N8L6'})"
"frozenset({'Q9Y2I6', 'TCR', 'Q9UQM7'})"
"frozenset({'Q9BQY4', 'Q5T4B2', 'TCR'})"
"frozenset({'Q9BZE1', 'Q9NQ50', 'TCR'})"
"frozenset({'O14776', 'P17275', 'TCR'})"
"frozenset({'P35579', 'Q9UKS6', 'TCR'})"
"frozenset({'Q01130', 'P78362', 'TCR'})"
"frozenset({'TCR', 'Q8WVT3', 'Q9Y5R8'})"
"frozenset({'P25788', 'Q9P2I0', 'TCR'})"
"frozenset({'P28562', 'Q16539', 'TCR'})"
"frozenset({'Q13620', 'P31151', 'TCR'})"
"frozenset({'O00330', 'P08559', 'TCR'})"
"frozenset({'P13674', 'Q969S8', 'TCR'})"
"frozenset({'P06733', 'Q9BZJ4', 'TCR'})"
"frozenset({'Q8WW24', 'O95980', 'TCR'})"
"frozenset({'Q96E22', 'Q6NUS6', 'TCR'})"
"frozenset({'P05161', 'P08758', 'TCR'})"
"frozenset({'Q5VT06', 'P52732', 'TCR'})"
"frozenset({'P62330', 'O14939', 'TCR'})"
"frozenset({'O96017', 'Q13007', 'TCR'})"
"frozenset({'P27694', 'TCR', 'P05556'})"
"frozenset({'Q9GZM7', 'P07384', 'TCR'})"
"frozenset({'TCR', 'P63151', 'Q99958'})"
"frozenset({'TCR', 'Q9NRJ3', 'P61073'})"
"frozenset({'TCR', 'O00206', 'Q9NWZ3'})"
"frozenset({'P35579', 'Q15746', 'TCR'})"
"frozenset({'P49590', 'P49591', 'TCR'})"
"frozenset({'Q9UI95', 'Q8NHZ8', 'TCR'})"
"frozenset({'P36954', 'O94762', 'TCR'})"
"frozenset({'O60825', 'O75152', 'TCR'})"
"frozenset({'Q86WN2', 'Q01344', 'TCR'})"
"frozenset({'O60353', 'O00755', 'TCR'})"
"frozenset({'TCR', 'P24941', 'Q7KZF4'})"
"frozenset({'P54756', 'P20936', 'TCR'})"
"frozenset({'Q9UHB4', 'O75360', 'TCR'})"
"frozenset({'O43242', 'Q14318', 'TCR'})"
"frozenset({'Q9UBV4', 'TCR', 'Q5T4F7'})"
"frozenset({'TCR', 'P16402', 'Q9NWZ3'})"
"frozenset({'P13612', 'O75146', 'TCR'})"
"frozenset({'TCR', 'Q9H2F3', 'Q12805'})"
"frozenset({'Q9BSH4', 'A0PJX0', 'TCR'})"
"frozenset({'TCR', 'P04629', 'Q5SSJ5'})"
"frozenset({'Q9H0W5', 'O15078', 'TCR'})"
"frozenset({'TCR', 'Q13315', 'Q14161'})"
"frozenset({'Q14558', 'P78330', 'TCR'})"
"frozenset({'TCR', 'P05114', 'P51812'})"
"frozenset({'Q9UL49', 'P22415', 'TCR'})"
"frozenset({'P51608', 'P48431', 'TCR'})"
"frozenset({'TCR', 'Q9C002', 'Q13011'})"
"frozenset({'Q53G59', 'Q92945', 'TCR'})"
"frozenset({'TCR', 'O60566', 'Q16851'})"
"frozenset({'P01574', 'P19838', 'TCR'})"
"frozenset({'Q9HAU5', 'P10074', 'TCR'})"
"frozenset({'Q9NYV4', 'TCR', 'Q9BSM1'})"
"frozenset({'Q9UJU2', 'Q8N2W9', 'TCR'})"
"frozenset({'Q9BVC3', 'Q6NT76', 'TCR'})"
"frozenset({'Q13123', 'P35080', 'TCR'})"
"frozenset({'Q15173', 'Q9UF02', 'TCR'})"
"frozenset({'O15020', 'Q71U36', 'TCR'})"
"frozenset({'Q7Z2Z2', 'Q96AY3', 'TCR'})"
"frozenset({'TCR', 'Q92752', 'P05556'})"
"frozenset({'O76015', 'P61968', 'TCR'})"
"frozenset({'Q8WYN0', 'TCR', 'Q9BSB4'})"
"frozenset({'Q99759', 'P0DP24', 'TCR'})"
"frozenset({'P61604', 'Q15293', 'TCR'})"
"frozenset({'A8MQ03', 'Q8N7Y1', 'TCR'})"
"frozenset({'O94880', 'O14519', 'TCR'})"
"frozenset({'Q9Y446', 'O15027', 'TCR'})"
"frozenset({'TCR', 'P25054', 'Q8N944'})"
"frozenset({'TCR', 'Q13315', 'Q8N163'})"
"frozenset({'P49736', 'P52597', 'TCR'})"
"frozenset({'TCR', 'O60216', 'P27635'})"
"frozenset({'TCR', 'P07307', 'P35625'})"
"frozenset({'TCR', 'O76011', 'Q96NU1'})"
"frozenset({'Q8IWV8', 'P49459', 'TCR'})"
"frozenset({'TCR', 'Q15020', 'Q9UKV8'})"
"frozenset({'Q8IWZ8', 'Q9Y277', 'TCR'})"
"frozenset({'A5PLN9', 'Q9Y2V7', 'TCR'})"
"frozenset({'Q9Y463', 'P06400', 'TCR'})"
"frozenset({'Q9UBS8', 'P09651', 'TCR'})"
"frozenset({'Q9NY27', 'O15357', 'TCR'})"
"frozenset({'P37231', 'P33076', 'TCR'})"
"frozenset({'Q06481', 'P38398', 'TCR'})"
"frozenset({'P01116', 'TCR', 'Q13009'})"
"frozenset({'O60262', 'Q9H346', 'TCR'})"
"frozenset({'P11387', 'Q9BUQ8', 'TCR'})"
"frozenset({'TCR', 'P05388', 'P32969'})"
"frozenset({'Q96K19', 'Q9H444', 'TCR'})"
"frozenset({'Q13620', 'P98179', 'TCR'})"
"frozenset({'P56134', 'Q8NHV4', 'TCR'})"
"frozenset({'P30519', 'Q9BXK5', 'TCR'})"
"frozenset({'TCR', 'Q8WWY3', 'O75031'})"
"frozenset({'TCR', 'Q9NWX6', 'P54274'})"
"frozenset({'Q8NAP3', 'TCR', 'P60409'})"
"frozenset({'Q8NGZ6', 'P22694', 'TCR'})"
"frozenset({'P00492', 'Q96FW1', 'TCR'})"
"frozenset({'Q13936', 'P63096', 'TCR'})"
"frozenset({'Q9BXM7', 'Q8TDY2', 'TCR'})"
"frozenset({'P37235', 'Q16854', 'TCR'})"
"frozenset({'P16435', 'Q6PI48', 'TCR'})"
"frozenset({'Q96SQ5', 'Q6UY14', 'TCR'})"
"frozenset({'A8MQ03', 'Q5TA79', 'TCR'})"
"frozenset({'Q8N4C6', 'Q9H6D7', 'TCR'})"
"frozenset({'O43390', 'P43243', 'TCR'})"
"frozenset({'TCR', 'O14976', 'Q9BY43'})"
"frozenset({'Q9UPU7', 'P17980', 'TCR'})"
"frozenset({'TCR', 'Q9UBN7', 'Q6FI13'})"
"frozenset({'TCR', 'P14649', 'Q96EB6'})"
"frozenset({'Q643R3', 'P16220', 'TCR'})"
"frozenset({'TCR', 'O15145', 'Q96N67'})"
"frozenset({'O00560', 'O95544', 'TCR'})"
"frozenset({'Q8IZ07', 'TCR', 'Q9Y3C5'})"
"frozenset({'O15431', 'Q9HCE1', 'TCR'})"
"frozenset({'Q9UGI0', 'P17021', 'TCR'})"
"frozenset({'P27487', 'P01303', 'TCR'})"
"frozenset({'O95793', 'P67870', 'TCR'})"
"frozenset({'TCR', 'Q9Y6K9', 'Q15907'})"
"frozenset({'P63104', 'P36897', 'TCR'})"
"frozenset({'Q96LC9', 'TCR', 'Q9Y252'})"
"frozenset({'TCR', 'P62253', 'Q92813'})"
"frozenset({'Q9NZJ0', 'P51965', 'TCR'})"
"frozenset({'Q92529', 'P06241', 'TCR'})"
"frozenset({'O14640', 'TCR', 'Q96MT3'})"
"frozenset({'P18859', 'P19438', 'TCR'})"
"frozenset({'Q96DZ1', 'P14625', 'TCR'})"
"frozenset({'Q14790', 'TCR', 'Q14627'})"
"frozenset({'TCR', 'P43243', 'Q9H4L7'})"
"frozenset({'P35222', 'P49790', 'TCR'})"
"frozenset({'Q9UPZ3', 'O95988', 'TCR'})"
"frozenset({'Q8WYA6', 'Q13573', 'TCR'})"
"frozenset({'P30153', 'P42285', 'TCR'})"
"frozenset({'Q9UBY8', 'O43169', 'TCR'})"
"frozenset({'P68366', 'Q9BVA1', 'TCR'})"
"frozenset({'Q9BV40', 'Q99871', 'TCR'})"
"frozenset({'Q16777', 'O94972', 'TCR'})"
"frozenset({'P08151', 'P49407', 'TCR'})"
"frozenset({'Q9HBM6', 'Q9Y6J9', 'TCR'})"
"frozenset({'P07947', 'Q14999', 'TCR'})"
"frozenset({'TCR', 'Q02790', 'Q15185'})"
"frozenset({'P21283', 'P36543', 'TCR'})"
"frozenset({'TCR', 'Q15233', 'P07951'})"
"frozenset({'Q9NQ76', 'P19174', 'TCR'})"
"frozenset({'TCR', 'Q9BRL7', 'P18510'})"
"frozenset({'TCR', 'P45984', 'P63000'})"
"frozenset({'O95073', 'Q00987', 'TCR'})"
"frozenset({'O95568', 'Q13347', 'TCR'})"
"frozenset({'TCR', 'Q9NR12', 'Q7L8S5'})"
"frozenset({'P08865', 'Q07021', 'TCR'})"
"frozenset({'Q96EA4', 'TCR', 'Q96EB6'})"
"frozenset({'Q15599', 'Q3MHD2', 'TCR'})"
"frozenset({'Q9P0P8', 'Q9BYD1', 'TCR'})"
"frozenset({'P24588', 'Q9Y5S1', 'TCR'})"
"frozenset({'P49736', 'Q14974', 'TCR'})"
"frozenset({'Q13617', 'P06733', 'TCR'})"
"frozenset({'P62701', 'Q92731', 'TCR'})"
"frozenset({'Q8TAA3', 'TCR', 'P28072'})"
"frozenset({'Q5GJ75', 'Q9Y3M2', 'TCR'})"
"frozenset({'P61769', 'P43629', 'TCR'})"
