negatives
"frozenset({'O43390', 'Q6PJ61', 'Leptin'})"
"frozenset({'Leptin', 'Q12873', 'Q13422'})"
"frozenset({'O15027', 'Leptin', 'Q96H55'})"
"frozenset({'Leptin', 'Q96G46', 'Q96H20'})"
"frozenset({'Q6A162', 'Leptin', 'Q2TBE0'})"
"frozenset({'Q9BWT7', 'Leptin', 'Q8TAE8'})"
"frozenset({'O14775', 'Leptin', 'P04899'})"
"frozenset({'Q7RTX0', 'Leptin', 'Q9P2W3'})"
"frozenset({'Leptin', 'Q9P258', 'Q9H0W5'})"
"frozenset({'Leptin', 'P48730', 'Q8N5Z5'})"
"frozenset({'P12931', 'Leptin', 'Q15118'})"
"frozenset({'P15036', 'Leptin', 'P05412'})"
"frozenset({'P54253', 'Leptin', 'P26368'})"
"frozenset({'Leptin', 'Q96RU7', 'P31751'})"
"frozenset({'Leptin', 'Q9P2D0', 'Q01860'})"
"frozenset({'P61586', 'Leptin', 'Q8N392'})"
"frozenset({'P12235', 'Leptin', 'Q9BXK5'})"
"frozenset({'P17252', 'P21926', 'Leptin'})"
"frozenset({'Q9HAV0', 'Leptin', 'P03372'})"
"frozenset({'Leptin', 'Q9P2F6', 'P62745'})"
"frozenset({'Q9HCE1', 'Leptin', 'Q6P4A7'})"
"frozenset({'Leptin', 'Q04206', 'P30154'})"
"frozenset({'Leptin', 'Q00534', 'P42773'})"
"frozenset({'Q13616', 'Leptin', 'P61513'})"
"frozenset({'Leptin', 'Q9BZJ0', 'P04792'})"
"frozenset({'Q93009', 'Leptin', 'Q8IYS2'})"
"frozenset({'Leptin', 'P17987', 'P63104'})"
"frozenset({'Leptin', 'Q9BVP2', 'P42771'})"
"frozenset({'Leptin', 'Q8IYX8', 'O95257'})"
"frozenset({'Leptin', 'O75533', 'P03372'})"
"frozenset({'Q8WXA9', 'Leptin', 'P09651'})"
"frozenset({'Leptin', 'P11940', 'P33240'})"
"frozenset({'Q9HCE1', 'Leptin', 'Q9NWU2'})"
"frozenset({'Leptin', 'P53618', 'Q9NVI7'})"
"frozenset({'P12980', 'Leptin', 'P18146'})"
"frozenset({'Q86WJ1', 'Leptin', 'P09874'})"
"frozenset({'Leptin', 'O15155', 'O75396'})"
"frozenset({'Leptin', 'Q16777', 'Q16576'})"
"frozenset({'Leptin', 'O75578', 'P35442'})"
"frozenset({'Leptin', 'P49756', 'P21980'})"
"frozenset({'Q6P9B9', 'Leptin', 'Q8N1G0'})"
"frozenset({'Q9Y2A7', 'Leptin', 'O43639'})"
"frozenset({'Leptin', 'P05362', 'Q14103'})"
"frozenset({'Leptin', 'P30279', 'P31314'})"
"frozenset({'Q9UMX0', 'Leptin', 'P49810'})"
"frozenset({'Q9BRK4', 'Leptin', 'Q9BXY8'})"
"frozenset({'Leptin', 'P62244', 'P46779'})"
"frozenset({'Leptin', 'Q96I15', 'Q969S3'})"
"frozenset({'Leptin', 'Q01718', 'P01225'})"
"frozenset({'Q9BRJ2', 'Leptin', 'P57105'})"
"frozenset({'Q14832', 'Leptin', 'P01185'})"
"frozenset({'Leptin', 'P62140', 'Q71U36'})"
"frozenset({'P20671', 'Q9UKV0', 'Leptin'})"
"frozenset({'Leptin', 'P04264', 'P15924'})"
"frozenset({'Leptin', 'P62258', 'Q6IBS0'})"
"frozenset({'Leptin', 'Q13490', 'P51965'})"
"frozenset({'Q9BW83', 'Leptin', 'Q9UPY5'})"
"frozenset({'Leptin', 'P0DP23', 'P28335'})"
"frozenset({'Leptin', 'Q969P0', 'P69905'})"
"frozenset({'Leptin', 'P35398', 'Q9NPJ4'})"
"frozenset({'Leptin', 'Q9BRR9', 'P52198'})"
"frozenset({'Leptin', 'P20340', 'Q9Y3P9'})"
"frozenset({'P52788', 'P10275', 'Leptin'})"
"frozenset({'O75143', 'Leptin', 'P78527'})"
"frozenset({'Leptin', 'P28324', 'P28482'})"
"frozenset({'Leptin', 'O14556', 'Q9NZC3'})"
"frozenset({'Leptin', 'Q8TAT6', 'Q15717'})"
"frozenset({'P31040', 'Leptin', 'Q14CZ7'})"
"frozenset({'Leptin', 'O95503', 'P01106'})"
"frozenset({'P30626', 'Leptin', 'Q15796'})"
"frozenset({'Leptin', 'P58753', 'P27986'})"
"frozenset({'Q9UBM7', 'Leptin', 'O94822'})"
"frozenset({'Leptin', 'Q13867', 'Q96HA8'})"
"frozenset({'Q8IX21', 'Leptin', 'Q8WV22'})"
"frozenset({'Q8N960', 'Q99871', 'Leptin'})"
"frozenset({'Q9NQC3', 'Leptin', 'P42677'})"
"frozenset({'Q96N21', 'Leptin', 'Q15323'})"
"frozenset({'Leptin', 'Q9NUL3', 'Q96HE9'})"
"frozenset({'Q96NG8', 'Leptin', 'Q96NY8'})"
"frozenset({'Leptin', 'P07333', 'O95231'})"
"frozenset({'P60484', 'Leptin', 'P22681'})"
"frozenset({'P52292', 'Leptin', 'Q68CJ9'})"
"frozenset({'P00367', 'Leptin', 'Q9NPB6'})"
"frozenset({'Leptin', 'Q13573', 'P84098'})"
"frozenset({'Leptin', 'Q6NZY4', 'Q96RU2'})"
"frozenset({'P45983', 'Leptin', 'Q12796'})"
"frozenset({'P49736', 'P11274', 'Leptin'})"
"frozenset({'Q9Y285', 'P04629', 'Leptin'})"
"frozenset({'Leptin', 'Q8WYH8', 'Q15154'})"
"frozenset({'P35626', 'Leptin', 'Q8NH69'})"
"frozenset({'Leptin', 'Q9NXE4', 'P58012'})"
"frozenset({'Leptin', 'Q8N6F1', 'Q96B33'})"
"frozenset({'Q9BVC3', 'Leptin', 'Q8TBE7'})"
"frozenset({'P04150', 'Leptin', 'P63244'})"
"frozenset({'Q9H9D4', 'Leptin', 'P98175'})"
"frozenset({'Leptin', 'P52739', 'Q9H7D7'})"
"frozenset({'Q9BYR6', 'Leptin', 'Q9BYQ6'})"
"frozenset({'Q9GZR7', 'Leptin', 'O15018'})"
"frozenset({'Leptin', 'P05412', 'P53779'})"
"frozenset({'Q9Y5Z7', 'Leptin', 'P51610'})"
"frozenset({'Leptin', 'Q04206', 'P01116'})"
"frozenset({'Leptin', 'Q9UHC7', 'P11940'})"
"frozenset({'Leptin', 'P50914', 'Q9P2K5'})"
"frozenset({'Leptin', 'Q5GLZ8', 'P23381'})"
"frozenset({'Leptin', 'Q00325', 'Q9NP92'})"
"frozenset({'O60812', 'Leptin', 'P05412'})"
"frozenset({'Q9NQW6', 'Leptin', 'Q16181'})"
"frozenset({'Leptin', 'Q99470', 'Q14103'})"
"frozenset({'Leptin', 'P14060', 'Q9H204'})"
"frozenset({'Leptin', 'Q9UJP4', 'Q13618'})"
"frozenset({'Leptin', 'Q6STE5', 'P09429'})"
"frozenset({'Leptin', 'Q13451', 'Q9UQB9'})"
"frozenset({'Leptin', 'Q9HC78', 'Q15717'})"
"frozenset({'P00533', 'Leptin', 'O15269'})"
"frozenset({'Leptin', 'P55769', 'Q8N4C6'})"
"frozenset({'Q96KQ7', 'Leptin', 'Q9Y3R0'})"
"frozenset({'Leptin', 'Q9UNH7', 'Q9HCU9'})"
"frozenset({'Leptin', 'Q15051', 'P17066'})"
"frozenset({'Leptin', 'P26373', 'P19105'})"
"frozenset({'Leptin', 'P04629', 'P51659'})"
"frozenset({'Leptin', 'Q96RR4', 'P08238'})"
"frozenset({'P37802', 'Leptin', 'P22392'})"
"frozenset({'O00303', 'Leptin', 'Q6ZTW0'})"
"frozenset({'P51114', 'Leptin', 'Q96MT8'})"
"frozenset({'Q401N2', 'Leptin', 'Q6NUQ4'})"
"frozenset({'Leptin', 'O95232', 'Q9BQ15'})"
"frozenset({'Leptin', 'O43707', 'P35222'})"
"frozenset({'Q9HCN6', 'Leptin', 'Q14289'})"
"frozenset({'P04843', 'Leptin', 'Q49AN0'})"
"frozenset({'Q99570', 'Leptin', 'P29597'})"
"frozenset({'Q8N9W6', 'Leptin', 'Q66K41'})"
"frozenset({'Leptin', 'Q86UP2', 'P12830'})"
"frozenset({'Leptin', 'O75821', 'O75822'})"
"frozenset({'Leptin', 'Q8N112', 'Q96AN5'})"
"frozenset({'Leptin', 'Q96MT8', 'Q9UPQ9'})"
"frozenset({'O14976', 'Leptin', 'Q96PK6'})"
"frozenset({'Q2NL82', 'Leptin', 'P04629'})"
"frozenset({'Q9H0U4', 'Leptin', 'P51148'})"
"frozenset({'Leptin', 'P10599', 'P49458'})"
"frozenset({'Leptin', 'O00257', 'Q5T7N2'})"
"frozenset({'Q14657', 'Leptin', 'P61020'})"
"frozenset({'P52735', 'Leptin', 'Q9Y4X5'})"
"frozenset({'Q93009', 'Leptin', 'Q9UGU0'})"
"frozenset({'Q9UHF7', 'Leptin', 'P63279'})"
"frozenset({'Leptin', 'Q02446', 'Q9ULK2'})"
"frozenset({'P78352', 'Leptin', 'Q9UHC3'})"
"frozenset({'O95478', 'Leptin', 'Q9H6F5'})"
"frozenset({'Leptin', 'Q5T7P3', 'P60328'})"
"frozenset({'Leptin', 'Q9HB71', 'Q16254'})"
"frozenset({'Leptin', 'Q9BXP5', 'P20248'})"
"frozenset({'Leptin', 'Q53FT3', 'P0DMV9'})"
"frozenset({'Leptin', 'P63279', 'O95073'})"
"frozenset({'Leptin', 'P53350', 'Q92994'})"
"frozenset({'Q13616', 'Q00526', 'Leptin'})"
"frozenset({'Leptin', 'Q96H96', 'Q9NWU5'})"
"frozenset({'Q15007', 'Leptin', 'P23528'})"
"frozenset({'O00358', 'P40426', 'Leptin'})"
"frozenset({'Leptin', 'P19387', 'Q00403'})"
"frozenset({'P04150', 'Leptin', 'O43765'})"
"frozenset({'Leptin', 'Q14118', 'O95994'})"
"frozenset({'Q6PD62', 'Leptin', 'P36954'})"
"frozenset({'Leptin', 'Q14005', 'O60341'})"
"frozenset({'Leptin', 'P61353', 'P08865'})"
"frozenset({'Q9UNE7', 'Leptin', 'O95429'})"
"frozenset({'Leptin', 'P42766', 'P31947'})"
"frozenset({'Leptin', 'Q9UBU9', 'Q96QK1'})"
"frozenset({'Leptin', 'P61812', 'Q8NER5'})"
"frozenset({'Leptin', 'O75533', 'Q15029'})"
"frozenset({'P60903', 'Leptin', 'Q00341'})"
"frozenset({'Leptin', 'Q14152', 'P26368'})"
"frozenset({'P04150', 'Leptin', 'P23246'})"
"frozenset({'Leptin', 'Q9UIB8', 'O14796'})"
"frozenset({'Leptin', 'Q99417', 'Q01804'})"
"frozenset({'O00560', 'Leptin', 'Q9H079'})"
"frozenset({'Leptin', 'Q01081', 'Q6NUN9'})"
"frozenset({'P98170', 'Leptin', 'Q9BQ70'})"
"frozenset({'Leptin', 'Q13283', 'P09651'})"
"frozenset({'P45983', 'Leptin', 'P54259'})"
"frozenset({'Q9H1J5', 'Leptin', 'Q14332'})"
"frozenset({'Leptin', 'P29590', 'O15169'})"
"frozenset({'Leptin', 'P05388', 'P61254'})"
"frozenset({'Leptin', 'Q14186', 'Q15365'})"
"frozenset({'Leptin', 'P16871', 'Q9GZX6'})"
"frozenset({'Leptin', 'P48431', 'P28300'})"
"frozenset({'P62166', 'Q9NZN1', 'Leptin'})"
"frozenset({'Q7L9L4', 'Leptin', 'Q9Y2L9'})"
"frozenset({'Leptin', 'P49790', 'P33240'})"
"frozenset({'Leptin', 'Q9UPN4', 'Q9HC77'})"
"frozenset({'Q9BW83', 'Leptin', 'P08195'})"
"frozenset({'P21579', 'Leptin', 'O60506'})"
"frozenset({'Leptin', 'P46459', 'Q6IQ23'})"
"frozenset({'Leptin', 'Q9BVA6', 'P55263'})"
"frozenset({'Leptin', 'O15145', 'P48552'})"
"frozenset({'Q8NGR1', 'P38405', 'Leptin'})"
"frozenset({'O43918', 'Leptin', 'P12004'})"
"frozenset({'Leptin', 'Q9NYF8', 'Q05655'})"
"frozenset({'Leptin', 'Q15562', 'P14859'})"
"frozenset({'P17655', 'P48431', 'Leptin'})"
"frozenset({'P35908', 'Leptin', 'Q01844'})"
"frozenset({'Q5JSL3', 'Leptin', 'P17081'})"
"frozenset({'Leptin', 'Q9H944', 'Q8WWK9'})"
"frozenset({'Q9NPJ6', 'Leptin', 'Q6SJ93'})"
"frozenset({'P23582', 'P16066', 'Leptin'})"
"frozenset({'Q9UL46', 'Leptin', 'Q13200'})"
"frozenset({'Leptin', 'P04196', 'Q9BSM1'})"
"frozenset({'P30153', 'Leptin', 'P54277'})"
"frozenset({'P62701', 'Q9NQ39', 'Leptin'})"
"frozenset({'Leptin', 'P14373', 'O60573'})"
"frozenset({'Leptin', 'P30685', 'P01732'})"
"frozenset({'Leptin', 'Q9BTT0', 'Q96A08'})"
"frozenset({'P62834', 'Leptin', 'P42336'})"
"frozenset({'Leptin', 'Q5BKU9', 'P51649'})"
"frozenset({'Leptin', 'O43318', 'P14625'})"
"frozenset({'P04179', 'Leptin', 'P07237'})"
"frozenset({'Leptin', 'Q9Y263', 'Q13885'})"
"frozenset({'Q14444', 'Leptin', 'Q96KR7'})"
"frozenset({'Leptin', 'Q9HBU9', 'Q8N2G8'})"
"frozenset({'Leptin', 'Q86T65', 'P60331'})"
"frozenset({'Q0VD86', 'Leptin', 'Q9BSK4'})"
"frozenset({'Leptin', 'P02766', 'Q6UXH1'})"
"frozenset({'Leptin', 'Q9UHJ3', 'Q16695'})"
"frozenset({'Leptin', 'P48431', 'P30740'})"
"frozenset({'Leptin', 'P07919', 'Q9Y225'})"
"frozenset({'Q16774', 'Leptin', 'Q9UBU9'})"
"frozenset({'Leptin', 'P11021', 'Q6E0U4'})"
"frozenset({'P61326', 'Leptin', 'O60508'})"
"frozenset({'Leptin', 'Q8WZ42', 'Q13557'})"
"frozenset({'Leptin', 'Q9BZF9', 'Q15276'})"
"frozenset({'Q6WCQ1', 'Leptin', 'Q9UKW4'})"
"frozenset({'Q96RF0', 'Leptin', 'O75031'})"
"frozenset({'Q96T60', 'Leptin', 'Q15025'})"
"frozenset({'Leptin', 'Q9Y4W6', 'Q14197'})"
"frozenset({'Leptin', 'Q14974', 'P02751'})"
"frozenset({'P20809', 'Leptin', 'P26992'})"
"frozenset({'Leptin', 'Q86YR5', 'Q5M9N0'})"
"frozenset({'Leptin', 'Q9NYG5', 'Q9UJX4'})"
"frozenset({'O14782', 'Leptin', 'Q9Y496'})"
"frozenset({'Leptin', 'Q3SY84', 'Q7Z3Y7'})"
"frozenset({'Leptin', 'P46940', 'P24588'})"
"frozenset({'P05455', 'Leptin', 'Q13617'})"
"frozenset({'Leptin', 'O43752', 'P54920'})"
"frozenset({'Leptin', 'Q13522', 'Q96LA8'})"
"frozenset({'Q9UHD8', 'Leptin', 'O75396'})"
"frozenset({'Q9NRX1', 'P24593', 'Leptin'})"
"frozenset({'Leptin', 'P04629', 'Q2M389'})"
"frozenset({'Leptin', 'A2VEC9', 'Q9ULK2'})"
"frozenset({'P68036', 'Leptin', 'Q5TC82'})"
"frozenset({'Q13526', 'Leptin', 'P01106'})"
"frozenset({'Leptin', 'P00338', 'Q8IZH2'})"
"frozenset({'Leptin', 'Q9BX46', 'P14923'})"
"frozenset({'P78371', 'Leptin', 'Q16659'})"
"frozenset({'Q9BTE7', 'Leptin', 'Q86VP6'})"
"frozenset({'P12643', 'Leptin', 'Q6ZVN8'})"
"frozenset({'Leptin', 'Q09028', 'P06400'})"
"frozenset({'Leptin', 'Q6UWR7', 'Q01968'})"
"frozenset({'Leptin', 'P52565', 'P48023'})"
"frozenset({'O95817', 'Leptin', 'P08263'})"
"frozenset({'Leptin', 'Q7Z3S7', 'P36873'})"
"frozenset({'Leptin', 'Q9HAU4', 'Q8N8S7'})"
"frozenset({'Leptin', 'O15143', 'Q9Y6W5'})"
"frozenset({'Q07817', 'Leptin', 'A8MW95'})"
"frozenset({'Q13635', 'Leptin', 'Q4KMG0'})"
"frozenset({'Leptin', 'Q5S007', 'Q92558'})"
"frozenset({'Leptin', 'P07900', 'P31751'})"
"frozenset({'Leptin', 'Q14204', 'Q92499'})"
"frozenset({'Q9UBC3', 'Leptin', 'Q96KQ7'})"
"frozenset({'P60033', 'Leptin', 'P18621'})"
"frozenset({'Q9BVC4', 'Q9BWD1', 'Leptin'})"
"frozenset({'P30085', 'Leptin', 'Q15717'})"
"frozenset({'Leptin', 'P68371', 'O60216'})"
"frozenset({'Leptin', 'Q9NP92', 'Q96A35'})"
"frozenset({'P30050', 'Q93034', 'Leptin'})"
"frozenset({'Leptin', 'Q86X55', 'Q9HB71'})"
"frozenset({'P61201', 'Leptin', 'Q9BW61'})"
"frozenset({'P52294', 'Q9UBN7', 'Leptin'})"
"frozenset({'Leptin', 'O95363', 'P05161'})"
"frozenset({'Leptin', 'O15239', 'O43674'})"
"frozenset({'Q92905', 'Leptin', 'P13807'})"
"frozenset({'O43829', 'Leptin', 'Q96RE7'})"
"frozenset({'Q14192', 'Leptin', 'Q13011'})"
"frozenset({'Leptin', 'Q9UBU9', 'Q8NCD3'})"
"frozenset({'Leptin', 'P00390', 'P12955'})"
"frozenset({'Leptin', 'Q09028', 'Q16777'})"
"frozenset({'Q9H4X1', 'Leptin', 'P04637'})"
"frozenset({'Leptin', 'Q9UMS4', 'Q92733'})"
"frozenset({'Leptin', 'P80723', 'P25705'})"
"frozenset({'Q8IWL3', 'Q7L3T8', 'Leptin'})"
"frozenset({'Q13009', 'Leptin', 'Q6ZW31'})"
"frozenset({'Q9NQX4', 'Leptin', 'P28289'})"
"frozenset({'P23258', 'Leptin', 'Q9P209'})"
"frozenset({'Leptin', 'O14965', 'O15111'})"
"frozenset({'Q96SB4', 'Leptin', 'O43290'})"
"frozenset({'Leptin', 'Q04917', 'Q15276'})"
"frozenset({'Leptin', 'O60271', 'Q9Y4E8'})"
"frozenset({'Leptin', 'P04264', 'Q14525'})"
"frozenset({'P05023', 'Leptin', 'Q15628'})"
"frozenset({'Q7KZN9', 'Q9P015', 'Leptin'})"
"frozenset({'Leptin', 'P68400', 'P55010'})"
"frozenset({'Q401N2', 'Leptin', 'Q96QT4'})"
"frozenset({'Q9NQW6', 'Leptin', 'Q13573'})"
"frozenset({'Leptin', 'Q00535', 'P82979'})"
"frozenset({'O14867', 'Leptin', 'Q9BTX3'})"
"frozenset({'Leptin', 'O14965', 'Q08211'})"
"frozenset({'Leptin', 'Q8WZ19', 'Q14315'})"
"frozenset({'Leptin', 'P61981', 'Q4VCS5'})"
"frozenset({'Leptin', 'P39656', 'P07550'})"
"frozenset({'Leptin', 'Q6RW13', 'Q9BW61'})"
"frozenset({'Leptin', 'Q8N0S2', 'Q13515'})"
"frozenset({'P54253', 'Leptin', 'Q9UBE8'})"
"frozenset({'Q92922', 'Leptin', 'Q01201'})"
"frozenset({'Leptin', 'O76011', 'Q86UY5'})"
"frozenset({'Leptin', 'Q9NYF0', 'P01106'})"
"frozenset({'Q00987', 'Leptin', 'Q03468'})"
"frozenset({'P22694', 'Leptin', 'Q9H207'})"
"frozenset({'Leptin', 'Q9UNP9', 'Q13535'})"
"frozenset({'Q9NV58', 'Leptin', 'P55072'})"
"frozenset({'Q9UMX0', 'Leptin', 'Q53GQ0'})"
"frozenset({'Leptin', 'Q8WUY3', 'Q01844'})"
"frozenset({'Leptin', 'P14927', 'P47985'})"
"frozenset({'Leptin', 'Q9HCL2', 'Q13011'})"
"frozenset({'Q9H244', 'Leptin', 'Q8NHS3'})"
"frozenset({'P22087', 'Q9Y230', 'Leptin'})"
"frozenset({'Leptin', 'O60934', 'P54274'})"
"frozenset({'O15520', 'Leptin', 'P09619'})"
"frozenset({'Q8NEK8', 'Leptin', 'Q03989'})"
"frozenset({'Q15654', 'Q15468', 'Leptin'})"
"frozenset({'P58107', 'Leptin', 'Q9UMR2'})"
"frozenset({'Leptin', 'P32189', 'P22736'})"
"frozenset({'Q9P0L0', 'Q14254', 'Leptin'})"
"frozenset({'Q9Y5S9', 'Leptin', 'Q9H7E2'})"
"frozenset({'P38405', 'Leptin', 'Q8NHB8'})"
"frozenset({'Leptin', 'P05106', 'A4D0S4'})"
"frozenset({'Leptin', 'P03372', 'P22392'})"
"frozenset({'Leptin', 'O95071', 'P35226'})"
"frozenset({'Leptin', 'Q03181', 'P56524'})"
"frozenset({'Q16512', 'Leptin', 'Q9ULK5'})"
"frozenset({'P00558', 'Leptin', 'P68366'})"
"frozenset({'P35658', 'Q9UBU9', 'Leptin'})"
"frozenset({'Leptin', 'Q7KZF4', 'P11309'})"
"frozenset({'Leptin', 'Q9UK08', 'P45984'})"
"frozenset({'Leptin', 'Q9Y239', 'P42575'})"
"frozenset({'P17483', 'P18146', 'Leptin'})"
"frozenset({'Leptin', 'Q9Y314', 'P05412'})"
"frozenset({'Leptin', 'Q9GZQ8', 'Q92734'})"
"frozenset({'Leptin', 'Q13509', 'Q9NU22'})"
"frozenset({'Leptin', 'Q96GF1', 'P04844'})"
"frozenset({'Leptin', 'P62987', 'Q15078'})"
"frozenset({'P14784', 'Leptin', 'Q969D9'})"
"frozenset({'Q9HCE1', 'Leptin', 'Q9Y3D9'})"
"frozenset({'Q14206', 'Leptin', 'P49840'})"
"frozenset({'O95817', 'Leptin', 'Q01844'})"
"frozenset({'Leptin', 'Q8IVF5', 'P61587'})"
"frozenset({'Leptin', 'Q9Y2D8', 'Q9Y295'})"
"frozenset({'Leptin', 'Q9P212', 'P24723'})"
"frozenset({'Leptin', 'O95757', 'P30480'})"
"frozenset({'Leptin', 'Q00839', 'O15371'})"
"frozenset({'Leptin', 'O14733', 'Q02779'})"
"frozenset({'O95817', 'Leptin', 'Q8NFG4'})"
"frozenset({'Q9UP83', 'Leptin', 'Q96MW5'})"
"frozenset({'Leptin', 'Q9Y6X2', 'P10276'})"
"frozenset({'Leptin', 'Q9HD36', 'P55957'})"
"frozenset({'Leptin', 'Q96ST3', 'Q3SY56'})"
"frozenset({'Leptin', 'P01903', 'P62258'})"
"frozenset({'Q5T160', 'Leptin', 'Q14197'})"
"frozenset({'Q07157', 'Leptin', 'Q9BX67'})"
"frozenset({'Leptin', 'Q12802', 'Q99707'})"
"frozenset({'Leptin', 'Q8TEP8', 'Q9C0D2'})"
"frozenset({'Leptin', 'Q9HCU9', 'Q14627'})"
"frozenset({'Leptin', 'Q6R327', 'Q969H0'})"
"frozenset({'Leptin', 'P13612', 'P62280'})"
"frozenset({'Leptin', 'P27448', 'Q9NPI8'})"
"frozenset({'P00533', 'Leptin', 'P00403'})"
"frozenset({'Q9H6R6', 'Leptin', 'P62079'})"
"frozenset({'Leptin', 'P61981', 'Q13049'})"
"frozenset({'Leptin', 'Q5JR59', 'Q08117'})"
"frozenset({'Leptin', 'P68371', 'Q9ULC4'})"
"frozenset({'Leptin', 'P01023', 'P36776'})"
"frozenset({'P54253', 'Leptin', 'P63279'})"
"frozenset({'Leptin', 'Q8NA61', 'Q9H204'})"
"frozenset({'Q13610', 'Q63HR2', 'Leptin'})"
"frozenset({'Leptin', 'O95239', 'P05067'})"
"frozenset({'P52757', 'Leptin', 'P61586'})"
"frozenset({'Q9Y230', 'Q9UHK0', 'Leptin'})"
"frozenset({'Leptin', 'P00338', 'P84077'})"
"frozenset({'Leptin', 'P07333', 'P08238'})"
"frozenset({'Q9Y5X1', 'Leptin', 'P01106'})"
"frozenset({'Leptin', 'Q96CF2', 'O14980'})"
"frozenset({'Q13547', 'Leptin', 'Q96A08'})"
"frozenset({'Leptin', 'Q8TBB1', 'P15531'})"
"frozenset({'P13647', 'Leptin', 'Q2M2I5'})"
"frozenset({'Q92794', 'Leptin', 'P68431'})"
"frozenset({'Q92665', 'P19838', 'Leptin'})"
"frozenset({'Leptin', 'Q99933', 'Q38SD2'})"
"frozenset({'P18858', 'Q9HCE1', 'Leptin'})"
"frozenset({'Q9Y2J2', 'Leptin', 'O00203'})"
"frozenset({'P10275', 'Leptin', 'Q15648'})"
"frozenset({'Q92569', 'Leptin', 'P31751'})"
"frozenset({'Leptin', 'Q9BQ95', 'P36776'})"
"frozenset({'O14561', 'Q9HD34', 'Leptin'})"
"frozenset({'Leptin', 'P53355', 'Q92574'})"
"frozenset({'Leptin', 'P08621', 'P24001'})"
"frozenset({'Q15052', 'P30613', 'Leptin'})"
"frozenset({'Leptin', 'Q05655', 'P58753'})"
"frozenset({'Q93009', 'Leptin', 'O75083'})"
"frozenset({'P04632', 'Leptin', 'Q04917'})"
"frozenset({'Leptin', 'P04629', 'O15228'})"
"frozenset({'O94782', 'Leptin', 'O75449'})"
"frozenset({'Leptin', 'Q9ULM3', 'Q13535'})"
"frozenset({'Leptin', 'Q92754', 'Q5SZK8'})"
"frozenset({'Q96SB4', 'Leptin', 'Q15326'})"
"frozenset({'O95070', 'Leptin', 'Q9UBN1'})"
"frozenset({'Leptin', 'P0DP23', 'P60660'})"
"frozenset({'P51858', 'Leptin', 'Q9NR30'})"
"frozenset({'Leptin', 'Q9P2W3', 'Q9UGF5'})"
"frozenset({'Leptin', 'P50148', 'P14555'})"
"frozenset({'Leptin', 'Q9Y3A4', 'Q99496'})"
"frozenset({'Leptin', 'Q15185', 'P13569'})"
"frozenset({'Leptin', 'Q6NXP0', 'Q13643'})"
"frozenset({'Leptin', 'Q96HW7', 'Q96SY0'})"
"frozenset({'Leptin', 'Q8IXH7', 'P09669'})"
"frozenset({'P68104', 'Leptin', 'Q9NS56'})"
"frozenset({'Q01167', 'Leptin', 'Q9HCU9'})"
"frozenset({'P52732', 'Q9BWH6', 'Leptin'})"
"frozenset({'P68104', 'Q99460', 'Leptin'})"
"frozenset({'Leptin', 'P05230', 'P35968'})"
"frozenset({'Leptin', 'P46108', 'Q9H1R2'})"
"frozenset({'Leptin', 'Q13535', 'O60341'})"
"frozenset({'P35680', 'Leptin', 'P20823'})"
"frozenset({'O75027', 'P61019', 'Leptin'})"
"frozenset({'Leptin', 'Q15111', 'P18505'})"
"frozenset({'Leptin', 'P25705', 'P11308'})"
"frozenset({'Leptin', 'O14965', 'Q96C92'})"
"frozenset({'Leptin', 'Q9BPZ7', 'Q16539'})"
"frozenset({'Q15149', 'Leptin', 'Q92997'})"
"frozenset({'Leptin', 'Q16854', 'P20336'})"
"frozenset({'Leptin', 'Q6IA86', 'O76071'})"
"frozenset({'O75937', 'Leptin', 'P08758'})"
"frozenset({'Q9NXC2', 'Leptin', 'P60369'})"
"frozenset({'Leptin', 'Q16643', 'P62070'})"
"frozenset({'O43678', 'Leptin', 'O75251'})"
"frozenset({'Leptin', 'P01912', 'Q8IUH5'})"
"frozenset({'O95905', 'Leptin', 'Q9H6T3'})"
"frozenset({'O75448', 'Leptin', 'Q92830'})"
"frozenset({'P61006', 'Leptin', 'P51553'})"
"frozenset({'O95817', 'Leptin', 'P53396'})"
"frozenset({'Leptin', 'Q08211', 'P11171'})"
"frozenset({'Leptin', 'Q9H0I2', 'P45984'})"
"frozenset({'Leptin', 'Q9Y4K3', 'Q86XR7'})"
"frozenset({'Leptin', 'O95865', 'Q6P1J9'})"
"frozenset({'Leptin', 'P41586', 'O95467'})"
"frozenset({'Q9BTL4', 'Leptin', 'O75031'})"
"frozenset({'O60858', 'Leptin', 'P78545'})"
"frozenset({'Leptin', 'P63010', 'P40692'})"
"frozenset({'Leptin', 'P27986', 'P15509'})"
"frozenset({'Q9P0J7', 'Leptin', 'Q9NP81'})"
"frozenset({'P56645', 'Q13315', 'Leptin'})"
"frozenset({'Q5TA82', 'Leptin', 'Q92504'})"
"frozenset({'P38405', 'Leptin', 'Q9H339'})"
"frozenset({'Q9UQE7', 'Leptin', 'P49286'})"
"frozenset({'Leptin', 'O00232', 'Q9UET6'})"
"frozenset({'O95299', 'Leptin', 'Q8TB22'})"
"frozenset({'O94955', 'Leptin', 'Q16665'})"
"frozenset({'Leptin', 'P15927', 'Q15907'})"
"frozenset({'Leptin', 'P38398', 'P36873'})"
"frozenset({'Q01105', 'Leptin', 'P22234'})"
"frozenset({'P29474', 'Leptin', 'Q6ZW49'})"
