negatives
"frozenset({'Q9BPW8', 'TSH', 'P41220'})"
"frozenset({'Q13616', 'Q14653', 'TSH'})"
"frozenset({'TSH', 'P22607', 'Q9ULV8'})"
"frozenset({'TSH', 'P52732', 'P61247'})"
"frozenset({'TSH', 'P19235', 'P27986'})"
"frozenset({'TSH', 'O60828', 'O75152'})"
"frozenset({'TSH', 'P49368', 'P02751'})"
"frozenset({'TSH', 'Q9NRR5', 'Q04323'})"
"frozenset({'TSH', 'Q9UHY8', 'Q05513'})"
"frozenset({'TSH', 'Q9UBD0', 'Q2TAC2'})"
"frozenset({'TSH', 'P00338', 'P00558'})"
"frozenset({'Q8TCS8', 'P23508', 'TSH'})"
"frozenset({'TSH', 'O14980', 'O43172'})"
"frozenset({'TSH', 'O95801', 'Q86SG6'})"
"frozenset({'TSH', 'Q07627', 'Q12891'})"
"frozenset({'TSH', 'Q96EV8', 'Q13753'})"
"frozenset({'TSH', 'P26371', 'P60412'})"
"frozenset({'TSH', 'Q96BR5', 'Q5T0N5'})"
"frozenset({'Q9Y2H9', 'P05067', 'TSH'})"
"frozenset({'TSH', 'P63104', 'Q13049'})"
"frozenset({'TSH', 'Q15052', 'P37173'})"
"frozenset({'O15235', 'Q99549', 'TSH'})"
"frozenset({'Q5T3J3', 'Q99873', 'TSH'})"
"frozenset({'P31327', 'P04264', 'TSH'})"
"frozenset({'TSH', 'Q86XP3', 'P04629'})"
"frozenset({'TSH', 'P14778', 'Q9Y4K3'})"
"frozenset({'TSH', 'P35414', 'Q14344'})"
"frozenset({'TSH', 'Q9UNU6', 'P41235'})"
"frozenset({'P48643', 'O43684', 'TSH'})"
"frozenset({'TSH', 'O43463', 'Q9NWQ4'})"
"frozenset({'TSH', 'Q13315', 'P52701'})"
"frozenset({'Q92737', 'P61586', 'TSH'})"
"frozenset({'P25686', 'P60900', 'TSH'})"
"frozenset({'O75083', 'P07195', 'TSH'})"
"frozenset({'O60888', 'P06493', 'TSH'})"
"frozenset({'P62745', 'Q9NZN5', 'TSH'})"
"frozenset({'Q9NW64', 'TSH', 'Q8N0Y2'})"
"frozenset({'Q99442', 'TSH', 'Q86VR2'})"
"frozenset({'Q9BZ29', 'P08134', 'TSH'})"
"frozenset({'TSH', 'P09493', 'Q8NI27'})"
"frozenset({'TSH', 'P62330', 'Q9Y4L1'})"
"frozenset({'TSH', 'Q9UFF9', 'Q8WYP3'})"
"frozenset({'TSH', 'P46531', 'Q9Y224'})"
"frozenset({'TSH', 'P10644', 'Q9BXW4'})"
"frozenset({'TSH', 'P50222', 'Q9Y3D7'})"
"frozenset({'TSH', 'Q8IVT5', 'Q7Z569'})"
"frozenset({'TSH', 'P08183', 'Q8NCQ5'})"
"frozenset({'TSH', 'Q92793', 'Q04206'})"
"frozenset({'TSH', 'P07437', 'P17844'})"
"frozenset({'TSH', 'Q8WVE6', 'Q92797'})"
"frozenset({'TSH', 'Q9Y3D6', 'Q5S007'})"
"frozenset({'TSH', 'P05412', 'P40938'})"
"frozenset({'Q9Y5J1', 'O00567', 'TSH'})"
"frozenset({'Q9H6H4', 'Q15910', 'TSH'})"
"frozenset({'O75161', 'Q16531', 'TSH'})"
"frozenset({'TSH', 'Q8TAB5', 'P37198'})"
"frozenset({'TSH', 'Q9Y575', 'Q14257'})"
"frozenset({'TSH', 'Q99750', 'Q06141'})"
"frozenset({'TSH', 'P04156', 'Q00535'})"
"frozenset({'TSH', 'P53007', 'P32969'})"
"frozenset({'TSH', 'Q9NQ11', 'Q9UBU6'})"
"frozenset({'TSH', 'Q06609', 'Q14676'})"
"frozenset({'P50553', 'Q06413', 'TSH'})"
"frozenset({'Q9NR20', 'P46934', 'TSH'})"
"frozenset({'TSH', 'Q92611', 'P01889'})"
"frozenset({'TSH', 'Q7Z333', 'P01106'})"
"frozenset({'TSH', 'P17947', 'P04150'})"
"frozenset({'TSH', 'Q7Z6Z7', 'P04181'})"
"frozenset({'P07237', 'Q96EI5', 'TSH'})"
"frozenset({'Q15366', 'Q01085', 'TSH'})"
"frozenset({'TSH', 'Q92569', 'P42338'})"
"frozenset({'TSH', 'P10721', 'O14544'})"
"frozenset({'TSH', 'P60410', 'Q02930'})"
"frozenset({'Q9UMS0', 'Q6RW13', 'TSH'})"
"frozenset({'TSH', 'Q9Y6D5', 'P21333'})"
"frozenset({'TSH', 'O75604', 'Q9NS91'})"
"frozenset({'TSH', 'Q9UL63', 'Q15287'})"
"frozenset({'TSH', 'P19838', 'P61457'})"
"frozenset({'TSH', 'Q92731', 'P17066'})"
"frozenset({'TSH', 'P62873', 'P31749'})"
"frozenset({'Q969P0', 'TSH', 'Q92688'})"
"frozenset({'TSH', 'P62993', 'Q96EV2'})"
"frozenset({'Q13469', 'O60264', 'TSH'})"
"frozenset({'Q15907', 'P33764', 'TSH'})"
"frozenset({'Q5T3J3', 'TSH', 'P02774'})"
"frozenset({'TSH', 'Q9UNZ2', 'P07954'})"
"frozenset({'TSH', 'O43426', 'Q9UKS6'})"
"frozenset({'TSH', 'Q07820', 'P27361'})"
"frozenset({'TSH', 'Q15700', 'P28482'})"
"frozenset({'P31946', 'Q86SQ0', 'TSH'})"
"frozenset({'Q9UPN4', 'O94986', 'TSH'})"
"frozenset({'TSH', 'Q9BQ95', 'O75489'})"
"frozenset({'TSH', 'P25025', 'P30153'})"
"frozenset({'TSH', 'O60716', 'Q86X19'})"
"frozenset({'TSH', 'Q969Q1', 'P00568'})"
"frozenset({'TSH', 'Q9NZJ7', 'P43686'})"
"frozenset({'TSH', 'Q92997', 'Q12933'})"
"frozenset({'O95201', 'Q9UBN7', 'TSH'})"
"frozenset({'Q9BZD4', 'Q8WYN0', 'TSH'})"
"frozenset({'O15165', 'Q96QZ7', 'TSH'})"
"frozenset({'TSH', 'Q9UPZ9', 'Q96AJ1'})"
"frozenset({'TSH', 'Q96D03', 'Q8N9Q2'})"
"frozenset({'TSH', 'Q9P0J7', 'Q9H944'})"
"frozenset({'P40426', 'P31269', 'TSH'})"
"frozenset({'TSH', 'O60684', 'P35998'})"
"frozenset({'TSH', 'Q08379', 'P25800'})"
"frozenset({'Q96RD3', 'P38405', 'TSH'})"
"frozenset({'TSH', 'P02786', 'P61006'})"
"frozenset({'Q92633', 'O60831', 'TSH'})"
"frozenset({'Q9UKD2', 'Q9Y4K3', 'TSH'})"
"frozenset({'TSH', 'Q9NS91', 'P63146'})"
"frozenset({'Q9H845', 'Q6GQQ9', 'TSH'})"
"frozenset({'TSH', 'O75533', 'Q15428'})"
"frozenset({'TSH', 'Q66GS9', 'Q8WWI1'})"
"frozenset({'TSH', 'O94762', 'P41214'})"
"frozenset({'TSH', 'Q13557', 'P54289'})"
"frozenset({'P61221', 'TSH', 'P63218'})"
"frozenset({'TSH', 'P08238', 'P14616'})"
"frozenset({'TSH', 'P78334', 'Q15005'})"
"frozenset({'TSH', 'P43364', 'Q9P2R7'})"
"frozenset({'TSH', 'Q9UPQ3', 'Q9BQ89'})"
"frozenset({'O95602', 'Q9BUI4', 'TSH'})"
"frozenset({'TSH', 'P54289', 'Q12907'})"
"frozenset({'TSH', 'P0DPB3', 'P05455'})"
"frozenset({'TSH', 'Q9HAV4', 'P02751'})"
"frozenset({'TSH', 'Q9UGC6', 'P49639'})"
"frozenset({'TSH', 'Q9UBH6', 'P04629'})"
"frozenset({'TSH', 'Q9NP55', 'A8MUP2'})"
"frozenset({'P12004', 'P43246', 'TSH'})"
"frozenset({'TSH', 'Q8N8B7', 'Q8IZU0'})"
"frozenset({'Q00613', 'TSH', 'P34932'})"
"frozenset({'Q04637', 'Q12933', 'TSH'})"
"frozenset({'TSH', 'O60925', 'Q14164'})"
"frozenset({'TSH', 'P63173', 'Q5TC82'})"
"frozenset({'P49959', 'O00425', 'TSH'})"
"frozenset({'TSH', 'P05412', 'Q8WUY8'})"
"frozenset({'TSH', 'O15143', 'P21333'})"
"frozenset({'Q3ZCM7', 'Q13748', 'TSH'})"
"frozenset({'TSH', 'Q9UIM3', 'Q92993'})"
"frozenset({'TSH', 'Q9UBE0', 'P26367'})"
"frozenset({'TSH', 'Q15561', 'Q15834'})"
"frozenset({'TSH', 'Q00839', 'Q9NR30'})"
"frozenset({'P36542', 'Q15022', 'TSH'})"
"frozenset({'TSH', 'Q9NZJ7', 'P49327'})"
"frozenset({'TSH', 'P82914', 'Q00839'})"
"frozenset({'TSH', 'Q9UNA0', 'P35625'})"
"frozenset({'TSH', 'Q6IAN0', 'P00533'})"
"frozenset({'TSH', 'P63279', 'Q16665'})"
"frozenset({'TSH', 'P04637', 'Q96EI5'})"
"frozenset({'TSH', 'Q9H9Q2', 'Q9BS26'})"
"frozenset({'TSH', 'Q6NUN9', 'P62753'})"
"frozenset({'TSH', 'P49354', 'Q9NQ87'})"
"frozenset({'Q8IWL3', 'P30519', 'TSH'})"
"frozenset({'TSH', 'P04406', 'A1L020'})"
"frozenset({'TSH', 'O00560', 'P52435'})"
"frozenset({'TSH', 'O43852', 'P80303'})"
"frozenset({'TSH', 'Q8NGF0', 'P35626'})"
"frozenset({'TSH', 'Q9BYD2', 'Q8N5N7'})"
"frozenset({'TSH', 'Q9UGK3', 'P22681'})"
"frozenset({'TSH', 'Q9BYG4', 'Q04917'})"
"frozenset({'O15379', 'P51608', 'TSH'})"
"frozenset({'TSH', 'O15111', 'P60709'})"
"frozenset({'TSH', 'O60830', 'O43889'})"
"frozenset({'TSH', 'Q14CZ7', 'Q9Y2S7'})"
"frozenset({'TSH', 'O43295', 'Q9Y6N7'})"
"frozenset({'Q9H8G2', 'Q9Y6K9', 'TSH'})"
"frozenset({'TSH', 'P49711', 'Q7Z3B3'})"
"frozenset({'TSH', 'P11274', 'P53618'})"
"frozenset({'TSH', 'Q9UQP3', 'P06756'})"
"frozenset({'O75487', 'TSH', 'P48431'})"
"frozenset({'TSH', 'P36578', 'Q9UNX3'})"
"frozenset({'TSH', 'P60371', 'Q8IYI8'})"
"frozenset({'TSH', 'P82650', 'P11441'})"
"frozenset({'TSH', 'P62820', 'P84077'})"
"frozenset({'TSH', 'Q9HBJ0', 'Q9NV56'})"
"frozenset({'Q7Z3T8', 'P84022', 'TSH'})"
"frozenset({'TSH', 'O75822', 'P05198'})"
"frozenset({'TSH', 'Q9UI14', 'O95758'})"
"frozenset({'Q96CW1', 'P06127', 'TSH'})"
"frozenset({'TSH', 'Q8WYB5', 'Q3LXA3'})"
"frozenset({'TSH', 'P26006', 'O75369'})"
"frozenset({'TSH', 'P62993', 'Q92747'})"
"frozenset({'Q8N8K9', 'TSH', 'Q13057'})"
"frozenset({'TSH', 'P47756', 'Q68EM7'})"
"frozenset({'TSH', 'Q14CS0', 'Q9GZN1'})"
"frozenset({'TSH', 'P53602', 'P00390'})"
"frozenset({'TSH', 'P14923', 'Q71U36'})"
"frozenset({'TSH', 'O60341', 'P51970'})"
"frozenset({'TSH', 'P51684', 'P42830'})"
"frozenset({'TSH', 'Q13114', 'P40933'})"
"frozenset({'TSH', 'Q96MY7', 'A6NEM1'})"
"frozenset({'Q9BZV1', 'Q5VVQ6', 'TSH'})"
"frozenset({'TSH', 'Q9Y2F5', 'Q9HB65'})"
"frozenset({'TSH', 'O14980', 'Q6Y7W6'})"
"frozenset({'TSH', 'Q13617', 'P31483'})"
"frozenset({'TSH', 'Q16891', 'P51955'})"
"frozenset({'TSH', 'Q8N6C8', 'O43776'})"
"frozenset({'TSH', 'A1KZ92', 'Q86X55'})"
"frozenset({'TSH', 'Q6UX41', 'Q9P2B2'})"
"frozenset({'TSH', 'Q15369', 'Q15370'})"
"frozenset({'TSH', 'P01023', 'P55001'})"
"frozenset({'TSH', 'Q6VAB6', 'P81605'})"
"frozenset({'TSH', 'Q14999', 'Q92945'})"
"frozenset({'TSH', 'P48736', 'Q9Y243'})"
"frozenset({'TSH', 'P05412', 'O00541'})"
"frozenset({'TSH', 'P61266', 'O95292'})"
"frozenset({'TSH', 'Q6NUN9', 'P08708'})"
"frozenset({'Q8IWL3', 'O95674', 'TSH'})"
"frozenset({'TSH', 'Q8TAA3', 'P20618'})"
"frozenset({'Q8TCT1', 'Q15084', 'TSH'})"
"frozenset({'TSH', 'O14965', 'Q96EI5'})"
"frozenset({'TSH', 'P04637', 'Q13164'})"
"frozenset({'TSH', 'O75400', 'Q08211'})"
"frozenset({'Q9UNQ2', 'P67809', 'TSH'})"
"frozenset({'TSH', 'Q8TB45', 'Q8TCJ0'})"
"frozenset({'TSH', 'P62249', 'Q86XR8'})"
"frozenset({'Q8N3Z0', 'P55809', 'TSH'})"
"frozenset({'TSH', 'P22694', 'O76001'})"
"frozenset({'O14633', 'A8MQ03', 'TSH'})"
"frozenset({'TSH', 'O76003', 'Q96PX9'})"
"frozenset({'TSH', 'Q99576', 'P08235'})"
"frozenset({'TSH', 'P05388', 'Q32MZ4'})"
"frozenset({'TSH', 'P21333', 'P01106'})"
"frozenset({'TSH', 'Q08AD1', 'Q5VZ89'})"
"frozenset({'Q9UI08', 'P02549', 'TSH'})"
"frozenset({'TSH', 'O60341', 'Q9Y2Z2'})"
"frozenset({'TSH', 'O60637', 'P21802'})"
"frozenset({'TSH', 'O00308', 'Q01860'})"
"frozenset({'TSH', 'O15264', 'O14733'})"
"frozenset({'TSH', 'Q9H244', 'Q8NDZ6'})"
"frozenset({'P13385', 'O00170', 'TSH'})"
"frozenset({'TSH', 'P10145', 'P25024'})"
"frozenset({'TSH', 'P21741', 'P78362'})"
"frozenset({'TSH', 'P30518', 'P27361'})"
"frozenset({'Q8TF50', 'TSH', 'Q6ZN55'})"
"frozenset({'TSH', 'O43242', 'Q13200'})"
"frozenset({'TSH', 'Q4G0J3', 'P04150'})"
"frozenset({'TSH', 'Q96DI7', 'Q14999'})"
"frozenset({'TSH', 'P78417', 'P04629'})"
"frozenset({'TSH', 'Q9H6D7', 'Q96ST8'})"
"frozenset({'Q9H492', 'Q96T37', 'TSH'})"
"frozenset({'Q06587', 'TSH', 'P06400'})"
"frozenset({'TSH', 'O60674', 'P29597'})"
"frozenset({'TSH', 'Q99816', 'Q7Z417'})"
"frozenset({'TSH', 'Q9NPI8', 'O15287'})"
"frozenset({'Q86VP6', 'P38646', 'TSH'})"
"frozenset({'TSH', 'P15291', 'P07437'})"
"frozenset({'TSH', 'Q96A65', 'Q9UHD2'})"
"frozenset({'TSH', 'Q9BYH8', 'P40763'})"
"frozenset({'TSH', 'P12268', 'P62330'})"
"frozenset({'TSH', 'Q9H9S0', 'Q93074'})"
"frozenset({'TSH', 'P0DPB6', 'Q9UDY4'})"
"frozenset({'TSH', 'Q8IVL1', 'P01106'})"
"frozenset({'P45880', 'TSH', 'P15735'})"
"frozenset({'P32927', 'Q86WN2', 'TSH'})"
"frozenset({'TSH', 'Q9UMS4', 'Q15022'})"
"frozenset({'TSH', 'Q8WYA6', 'Q9NR30'})"
"frozenset({'P31321', 'Q99747', 'TSH'})"
"frozenset({'TSH', 'Q8IXJ6', 'Q92831'})"
"frozenset({'Q969H0', 'P24864', 'TSH'})"
"frozenset({'TSH', 'O00743', 'Q92974'})"
"frozenset({'TSH', 'P62330', 'P27695'})"
"frozenset({'TSH', 'Q8N0Z6', 'Q7Z353'})"
"frozenset({'TSH', 'Q15436', 'Q9HC77'})"
"frozenset({'TSH', 'Q13509', 'Q99615'})"
"frozenset({'TSH', 'P17612', 'Q6IF63'})"
"frozenset({'Q8TCX1', 'Q8NG06', 'TSH'})"
"frozenset({'P35222', 'Q13363', 'TSH'})"
"frozenset({'TSH', 'P11940', 'P05387'})"
"frozenset({'TSH', 'O60664', 'Q9UK76'})"
"frozenset({'Q9BSD3', 'Q5S007', 'TSH'})"
"frozenset({'TSH', 'Q9NXF1', 'Q99661'})"
"frozenset({'Q14457', 'P19474', 'TSH'})"
"frozenset({'TSH', 'Q13404', 'Q9HCM9'})"
"frozenset({'TSH', 'Q9BV38', 'Q14137'})"
"frozenset({'TSH', 'P35968', 'P17948'})"
"frozenset({'Q8IVF5', 'TSH', 'P60763'})"
"frozenset({'TSH', 'P62140', 'P31749'})"
"frozenset({'TSH', 'P05067', 'O00534'})"
"frozenset({'TSH', 'Q8N0Z3', 'O14777'})"
"frozenset({'TSH', 'O14656', 'Q8NFQ8'})"
"frozenset({'Q33E94', 'P48378', 'TSH'})"
"frozenset({'TSH', 'A8MW95', 'Q9P2Y5'})"
"frozenset({'Q9Y2R4', 'O76021', 'TSH'})"
"frozenset({'TSH', 'Q9Y2J2', 'Q9H7D7'})"
"frozenset({'TSH', 'Q2KHT4', 'P03372'})"
"frozenset({'TSH', 'P19256', 'P17931'})"
"frozenset({'TSH', 'Q9GZV7', 'A6NEM1'})"
"frozenset({'TSH', 'O75530', 'P51991'})"
"frozenset({'TSH', 'Q8TDY2', 'Q9BXW4'})"
"frozenset({'TSH', 'Q92796', 'Q15393'})"
"frozenset({'TSH', 'O95819', 'P07900'})"
"frozenset({'TSH', 'Q99496', 'Q14690'})"
"frozenset({'TSH', 'P60484', 'P11182'})"
"frozenset({'P42768', 'Q9UHR4', 'TSH'})"
"frozenset({'TSH', 'P05067', 'P49207'})"
"frozenset({'TSH', 'P09619', 'Q92529'})"
"frozenset({'TSH', 'P29374', 'Q9H160'})"
"frozenset({'TSH', 'O43236', 'P98170'})"
"frozenset({'TSH', 'P36954', 'O94762'})"
"frozenset({'TSH', 'B0FP48', 'P58658'})"
"frozenset({'TSH', 'Q13620', 'Q9UNE7'})"
"frozenset({'TSH', 'Q9NZ71', 'P13010'})"
"frozenset({'TSH', 'Q6P1W5', 'Q9UI26'})"
"frozenset({'TSH', 'Q8WXF0', 'Q6ZW31'})"
"frozenset({'P48039', 'P12814', 'TSH'})"
"frozenset({'P25205', 'Q6NUN9', 'TSH'})"
"frozenset({'TSH', 'Q9HCM1', 'O60343'})"
"frozenset({'Q01167', 'TSH', 'P28347'})"
"frozenset({'O15379', 'P10276', 'TSH'})"
"frozenset({'Q9Y5M8', 'Q8WVC6', 'TSH'})"
"frozenset({'TSH', 'Q5GLZ8', 'P08238'})"
"frozenset({'TSH', 'P60484', 'O00763'})"
"frozenset({'TSH', 'Q8N8N0', 'P43628'})"
"frozenset({'TSH', 'Q07955', 'P78362'})"
"frozenset({'TSH', 'Q7L590', 'Q9Y2I6'})"
"frozenset({'TSH', 'Q86Z02', 'Q9BZS1'})"
"frozenset({'TSH', 'P35711', 'Q6PF18'})"
"frozenset({'TSH', 'Q9UM73', 'O00329'})"
"frozenset({'TSH', 'P55081', 'O75147'})"
"frozenset({'TSH', 'Q9NX70', 'P50570'})"
"frozenset({'TSH', 'Q8TAU3', 'Q86X51'})"
"frozenset({'TSH', 'Q86UX7', 'O60573'})"
"frozenset({'TSH', 'P10276', 'P49639'})"
"frozenset({'TSH', 'Q92905', 'O43399'})"
"frozenset({'TSH', 'Q96S55', 'Q15054'})"
"frozenset({'TSH', 'Q86TH1', 'Q7Z6G3'})"
"frozenset({'TSH', 'O75150', 'P03372'})"
"frozenset({'TSH', 'Q9Y4K3', 'P41250'})"
"frozenset({'TSH', 'P62993', 'Q9NRF2'})"
"frozenset({'TSH', 'P35637', 'P51991'})"
"frozenset({'P62068', 'Q9Y6N9', 'TSH'})"
"frozenset({'P52298', 'TSH', 'P52597'})"
"frozenset({'P62937', 'TSH', 'P55036'})"
"frozenset({'TSH', 'P52209', 'P42765'})"
"frozenset({'TSH', 'P18848', 'Q9H6Z9'})"
"frozenset({'P12931', 'P40818', 'TSH'})"
"frozenset({'TSH', 'P43686', 'Q53HC0'})"
"frozenset({'Q12983', 'TSH', 'Q07817'})"
"frozenset({'TSH', 'P12830', 'O60645'})"
"frozenset({'TSH', 'P61968', 'O15198'})"
"frozenset({'TSH', 'Q99836', 'O94885'})"
"frozenset({'TSH', 'P23497', 'Q15554'})"
"frozenset({'TSH', 'Q9NV31', 'Q9P2E3'})"
"frozenset({'TSH', 'O76021', 'O95819'})"
"frozenset({'Q96T60', 'P49321', 'TSH'})"
"frozenset({'P26368', 'TSH', 'Q00610'})"
"frozenset({'TSH', 'Q9H0U3', 'Q9UNL2'})"
"frozenset({'P84022', 'P24158', 'TSH'})"
"frozenset({'TSH', 'Q53H96', 'O95429'})"
"frozenset({'TSH', 'O43639', 'Q8TF74'})"
"frozenset({'TSH', 'Q92731', 'Q15759'})"
"frozenset({'TSH', 'P42566', 'P26045'})"
"frozenset({'TSH', 'Q96FV9', 'Q13838'})"
"frozenset({'TSH', 'Q9Y2T2', 'Q14194'})"
"frozenset({'TSH', 'Q5T124', 'P25786'})"
"frozenset({'TSH', 'Q8IZY2', 'Q99523'})"
"frozenset({'Q9NVC6', 'TSH', 'O60244'})"
"frozenset({'TSH', 'P62873', 'Q9UGI9'})"
"frozenset({'TSH', 'O95182', 'Q96HC4'})"
"frozenset({'TSH', 'O00141', 'Q15008'})"
"frozenset({'TSH', 'Q9UER7', 'Q13114'})"
"frozenset({'TSH', 'Q9HCY8', 'O95817'})"
"frozenset({'Q9BXW9', 'TSH', 'P38398'})"
"frozenset({'O95125', 'P23508', 'TSH'})"
"frozenset({'TSH', 'P15313', 'Q14108'})"
"frozenset({'TSH', 'Q9BQE3', 'Q92616'})"
"frozenset({'TSH', 'Q13200', 'P60896'})"
"frozenset({'TSH', 'Q9BZJ0', 'O75643'})"
"frozenset({'TSH', 'O00116', 'Q8NBN3'})"
"frozenset({'Q8WVY7', 'P53370', 'TSH'})"
"frozenset({'TSH', 'Q14204', 'Q13561'})"
"frozenset({'TSH', 'Q8WV44', 'P68400'})"
"frozenset({'TSH', 'P29016', 'Q9BZM4'})"
"frozenset({'TSH', 'P19838', 'P19875'})"
"frozenset({'Q8TA86', 'Q07955', 'TSH'})"
"frozenset({'TSH', 'Q15051', 'P69905'})"
"frozenset({'Q9H0E3', 'P29590', 'TSH'})"
"frozenset({'TSH', 'Q9BZE1', 'Q9P015'})"
"frozenset({'TSH', 'P49796', 'Q15768'})"
"frozenset({'TSH', 'Q7L2J0', 'P40937'})"
"frozenset({'TSH', 'P21359', 'O43896'})"
"frozenset({'TSH', 'P32121', 'Q9H346'})"
"frozenset({'TSH', 'P15976', 'P56524'})"
"frozenset({'TSH', 'Q93075', 'Q9HBV2'})"
"frozenset({'TSH', 'Q9UNN5', 'Q04323'})"
"frozenset({'TSH', 'Q66LE6', 'P56704'})"
"frozenset({'P23258', 'O14965', 'TSH'})"
"frozenset({'TSH', 'Q99759', 'P49368'})"
"frozenset({'TSH', 'P14778', 'Q6IA17'})"
"frozenset({'TSH', 'Q9NV44', 'Q9Y6K9'})"
"frozenset({'TSH', 'Q9H0A8', 'Q15154'})"
"frozenset({'TSH', 'P41279', 'Q04206'})"
"frozenset({'TSH', 'Q13263', 'Q9Y4K3'})"
"frozenset({'TSH', 'P62736', 'Q9Y399'})"
"frozenset({'TSH', 'Q8NFH3', 'Q7Z407'})"
"frozenset({'TSH', 'Q9NV70', 'Q7Z3B4'})"
"frozenset({'TSH', 'Q86X02', 'P10606'})"
"frozenset({'Q9NSC5', 'Q16512', 'TSH'})"
"frozenset({'TSH', 'Q15149', 'Q13573'})"
"frozenset({'TSH', 'O60573', 'Q15323'})"
"frozenset({'TSH', 'Q9NWU5', 'P15880'})"
"frozenset({'TSH', 'Q29974', 'P55072'})"
"frozenset({'TSH', 'P51532', 'Q9BUI4'})"
"frozenset({'TSH', 'P26045', 'Q04917'})"
"frozenset({'P43243', 'Q92905', 'TSH'})"
"frozenset({'TSH', 'Q9Y561', 'P35609'})"
"frozenset({'TSH', 'O14980', 'Q9NY61'})"
"frozenset({'TSH', 'O75147', 'Q3ZCQ8'})"
"frozenset({'Q6S5L8', 'Q05397', 'TSH'})"
"frozenset({'TSH', 'O14980', 'O60573'})"
"frozenset({'TSH', 'O96017', 'Q9UD71'})"
"frozenset({'TSH', 'Q9BYM8', 'O14920'})"
"frozenset({'TSH', 'Q08379', 'Q96ME1'})"
"frozenset({'P63092', 'Q8NFM4', 'TSH'})"
"frozenset({'Q9P2G9', 'P06732', 'TSH'})"
"frozenset({'TSH', 'O75820', 'P01116'})"
"frozenset({'TSH', 'P23528', 'P63261'})"
"frozenset({'TSH', 'Q9BUF5', 'Q9H0W5'})"
"frozenset({'TSH', 'Q6PI48', 'Q12952'})"
"frozenset({'TSH', 'P55854', 'Q96IT1'})"
"frozenset({'TSH', 'P09651', 'O95816'})"
"frozenset({'TSH', 'P62070', 'Q02156'})"
"frozenset({'Q9C0F1', 'Q2KHM9', 'TSH'})"
"frozenset({'TSH', 'O15047', 'Q99880'})"
"frozenset({'P35222', 'O75147', 'TSH'})"
"frozenset({'TSH', 'Q9NS23', 'Q9H4B6'})"
"frozenset({'TSH', 'Q3B7T1', 'Q5XUX0'})"
"frozenset({'O00159', 'Q5T5U3', 'TSH'})"
"frozenset({'P14780', 'P35070', 'TSH'})"
"frozenset({'TSH', 'O15259', 'Q9NRR5'})"
"frozenset({'TSH', 'O60716', 'P15336'})"
"frozenset({'TSH', 'O43423', 'P58012'})"
"frozenset({'TSH', 'Q6NUP7', 'P60510'})"
"frozenset({'P67936', 'P52739', 'TSH'})"
"frozenset({'P16104', 'P62979', 'TSH'})"
"frozenset({'TSH', 'P61019', 'P51149'})"
"frozenset({'TSH', 'P46531', 'Q9UPP1'})"
"frozenset({'TSH', 'P17181', 'Q16539'})"
"frozenset({'TSH', 'Q8N8F7', 'P21145'})"
"frozenset({'TSH', 'Q92547', 'Q01664'})"
"frozenset({'TSH', 'Q8N6I1', 'Q9HAY2'})"
"frozenset({'TSH', 'Q7Z3S9', 'P18084'})"
"frozenset({'TSH', 'Q9Y2T2', 'Q9NXB0'})"
"frozenset({'Q14687', 'O60341', 'TSH'})"
"frozenset({'TSH', 'P37173', 'P02750'})"
"frozenset({'Q86UL8', 'P24928', 'TSH'})"
"frozenset({'TSH', 'Q14164', 'P55072'})"
"frozenset({'TSH', 'P10145', 'P51677'})"
"frozenset({'TSH', 'P0C869', 'P16220'})"
"frozenset({'TSH', 'Q8N5P1', 'P62241'})"
"frozenset({'P32302', 'P80098', 'TSH'})"
"frozenset({'TSH', 'P00734', 'P08514'})"
"frozenset({'TSH', 'Q16891', 'P15336'})"
"frozenset({'Q07890', 'Q9P2F6', 'TSH'})"
"frozenset({'TSH', 'P25490', 'P06733'})"
"frozenset({'TSH', 'Q8NHQ1', 'Q96GY3'})"
"frozenset({'TSH', 'P26371', 'Q2WGJ6'})"
"frozenset({'TSH', 'Q9Y490', 'Q9UKX5'})"
"frozenset({'TSH', 'Q15051', 'Q13445'})"
"frozenset({'Q7L190', 'P22735', 'TSH'})"
"frozenset({'TSH', 'P53779', 'P01116'})"
"frozenset({'TSH', 'P04792', 'Q9NV56'})"
"frozenset({'P42768', 'P61158', 'TSH'})"
"frozenset({'TSH', 'Q8NDV7', 'A5YKK6'})"
"frozenset({'Q15139', 'Q92934', 'TSH'})"
"frozenset({'TSH', 'P30876', 'Q9P2P5'})"
"frozenset({'P25205', 'P24941', 'TSH'})"
"frozenset({'TSH', 'Q6P1L8', 'Q8TAE8'})"
"frozenset({'TSH', 'P08708', 'P62263'})"
"frozenset({'TSH', 'P39687', 'Q16778'})"
"frozenset({'TSH', 'P04843', 'Q00325'})"
"frozenset({'TSH', 'Q05655', 'Q14643'})"
"frozenset({'TSH', 'P78385', 'Q7Z3S9'})"
"frozenset({'TSH', 'P46013', 'P27635'})"
"frozenset({'P48544', 'P16520', 'TSH'})"
"frozenset({'TSH', 'O75564', 'Q9BRQ0'})"
"frozenset({'TSH', 'Q14157', 'Q9P0L0'})"
"frozenset({'Q15466', 'Q969G3', 'TSH'})"
"frozenset({'TSH', 'Q5T5P2', 'Q9NYB9'})"
"frozenset({'TSH', 'Q9UM11', 'Q9H211'})"
"frozenset({'TSH', 'P26651', 'P19338'})"
