negatives
"frozenset({'Q9UKB1', 'Q14671', 'Wnt'})"
"frozenset({'Wnt', 'Q9BXM7', 'A8MW95'})"
"frozenset({'Wnt', 'O15015', 'Q9Y2I6'})"
"frozenset({'Wnt', 'Q14166', 'Q9C0B0'})"
"frozenset({'Wnt', 'Q14789', 'O76038'})"
"frozenset({'Q9BPZ7', 'P38398', 'Wnt'})"
"frozenset({'O75909', 'Q9BQ66', 'Wnt'})"
"frozenset({'P55036', 'Q13200', 'Wnt'})"
"frozenset({'Wnt', 'Q8N7H5', 'O15514'})"
"frozenset({'Q5T0N5', 'Wnt', 'P50570'})"
"frozenset({'Wnt', 'Q9HCM2', 'P63000'})"
"frozenset({'Q96KS0', 'Q93052', 'Wnt'})"
"frozenset({'O75380', 'Wnt', 'O95168'})"
"frozenset({'P01106', 'P50897', 'Wnt'})"
"frozenset({'Q8NGC6', 'Wnt', 'P22694'})"
"frozenset({'Q9UJY5', 'Wnt', 'Q8IVB5'})"
"frozenset({'P11586', 'Wnt', 'P03372'})"
"frozenset({'Wnt', 'P45973', 'Q9UBC3'})"
"frozenset({'Q8WXD5', 'P55085', 'Wnt'})"
"frozenset({'Wnt', 'Q86TG7', 'O43255'})"
"frozenset({'P54849', 'Q8NHQ1', 'Wnt'})"
"frozenset({'Wnt', 'O60216', 'O15066'})"
"frozenset({'Wnt', 'Q6ZPD8', 'O95219'})"
"frozenset({'Wnt', 'Q13936', 'P0DP23'})"
"frozenset({'Q8WTT2', 'Wnt', 'P22087'})"
"frozenset({'P98095', 'P18754', 'Wnt'})"
"frozenset({'Wnt', 'P05067', 'Q8N0X7'})"
"frozenset({'P17612', 'Wnt', 'Q9P1Q5'})"
"frozenset({'Wnt', 'Q13155', 'Q9NYB0'})"
"frozenset({'Wnt', 'P11182', 'P09913'})"
"frozenset({'Wnt', 'Q13618', 'P51532'})"
"frozenset({'Wnt', 'Q00536', 'Q6IQ23'})"
"frozenset({'Q9GZU8', 'Wnt', 'P49286'})"
"frozenset({'P13747', 'P01889', 'Wnt'})"
"frozenset({'P48443', 'Wnt', 'P09016'})"
"frozenset({'P49916', 'Wnt', 'P05067'})"
"frozenset({'Wnt', 'Q08211', 'P57678'})"
"frozenset({'O15111', 'Wnt', 'Q9BYM8'})"
"frozenset({'Wnt', 'Q01130', 'P38919'})"
"frozenset({'Wnt', 'Q13617', 'P21281'})"
"frozenset({'O14773', 'P00533', 'Wnt'})"
"frozenset({'P52756', 'Q9BQA1', 'Wnt'})"
"frozenset({'Wnt', 'Q13043', 'Q562R1'})"
"frozenset({'P62306', 'P62312', 'Wnt'})"
"frozenset({'Q03164', 'Q9P2P5', 'Wnt'})"
"frozenset({'Q9HCK0', 'Q96KB5', 'Wnt'})"
"frozenset({'O95407', 'Wnt', 'P60369'})"
"frozenset({'P02787', 'Wnt', 'P20339'})"
"frozenset({'O94966', 'Wnt', 'Q9Y490'})"
"frozenset({'O15131', 'Wnt', 'Q14839'})"
"frozenset({'Q02952', 'Q92630', 'Wnt'})"
"frozenset({'Q9HCE7', 'Wnt', 'Q9Y2J2'})"
"frozenset({'Q08378', 'Wnt', 'Q8N4H0'})"
"frozenset({'P22888', 'Wnt', 'P63092'})"
"frozenset({'P52799', 'Q9UI10', 'Wnt'})"
"frozenset({'Q15542', 'Wnt', 'Q92830'})"
"frozenset({'Q9UBP5', 'A8MQ03', 'Wnt'})"
"frozenset({'Wnt', 'Q9H9D4', 'Q96PQ6'})"
"frozenset({'Wnt', 'Q12906', 'Q96AG4'})"
"frozenset({'Q9C086', 'Q96MF2', 'Wnt'})"
"frozenset({'P51610', 'Wnt', 'P13639'})"
"frozenset({'Q9BVP2', 'Wnt', 'Q02543'})"
"frozenset({'Q9NYF8', 'Wnt', 'O75152'})"
"frozenset({'Wnt', 'O14965', 'P23258'})"
"frozenset({'P62701', 'Wnt', 'O75530'})"
"frozenset({'Q8IWL3', 'Wnt', 'Q9HCU5'})"
"frozenset({'P11021', 'Wnt', 'Q8WW22'})"
"frozenset({'Wnt', 'Q9H063', 'Q96JH7'})"
"frozenset({'Q92543', 'Wnt', 'Q9H2H9'})"
"frozenset({'P49910', 'Q9NWQ4', 'Wnt'})"
"frozenset({'P10809', 'Wnt', 'P55212'})"
"frozenset({'Wnt', 'P60709', 'P31749'})"
"frozenset({'P00519', 'Wnt', 'Q13188'})"
"frozenset({'Q6NXT2', 'Q9NVH1', 'Wnt'})"
"frozenset({'Wnt', 'O00182', 'Q5VZM2'})"
"frozenset({'Q8NHQ1', 'Wnt', 'Q5EB52'})"
"frozenset({'Wnt', 'P04440', 'Q9BXB1'})"
"frozenset({'P01106', 'Wnt', 'Q13951'})"
"frozenset({'P40189', 'Wnt', 'Q9UHD0'})"
"frozenset({'Wnt', 'Q8IUH5', 'A2RUH7'})"
"frozenset({'O43711', 'O95967', 'Wnt'})"
"frozenset({'Wnt', 'Q13243', 'Q16637'})"
"frozenset({'Q9NYA3', 'Wnt', 'Q2WGJ6'})"
"frozenset({'Wnt', 'P35372', 'Q8TEW6'})"
"frozenset({'P62277', 'P46777', 'Wnt'})"
"frozenset({'Q9NYG5', 'Wnt', 'P30260'})"
"frozenset({'P61964', 'Q13114', 'Wnt'})"
"frozenset({'Wnt', 'Q9H078', 'Q9BXB5'})"
"frozenset({'Wnt', 'P78362', 'Q9UNM6'})"
"frozenset({'Q9BUZ4', 'O15111', 'Wnt'})"
"frozenset({'P31323', 'P48431', 'Wnt'})"
"frozenset({'P53708', 'Wnt', 'P20849'})"
"frozenset({'P84090', 'Wnt', 'Q6ZW49'})"
"frozenset({'Q9NY27', 'Wnt', 'O60664'})"
"frozenset({'Q07960', 'Wnt', 'Q15369'})"
"frozenset({'O60832', 'Q96GQ7', 'Wnt'})"
"frozenset({'Q9H2G4', 'P24941', 'Wnt'})"
"frozenset({'Q01860', 'Wnt', 'O60481'})"
"frozenset({'Wnt', 'Q9P209', 'Q6U841'})"
"frozenset({'Wnt', 'Q8NE86', 'Q9P0L0'})"
"frozenset({'O95249', 'Wnt', 'P05067'})"
"frozenset({'Q8N108', 'Wnt', 'Q9H4B7'})"
"frozenset({'Wnt', 'O14964', 'Q7Z3K3'})"
"frozenset({'Wnt', 'O14639', 'Q9HC77'})"
"frozenset({'P11142', 'Wnt', 'Q9NX65'})"
"frozenset({'P50402', 'Wnt', 'Q9UNY5'})"
"frozenset({'Q13618', 'Q13829', 'Wnt'})"
"frozenset({'P20933', 'Wnt', 'Q9NRD1'})"
"frozenset({'P48547', 'Wnt', 'Q9UQM7'})"
"frozenset({'P29972', 'Q7Z3S9', 'Wnt'})"
"frozenset({'P09493', 'Q86YM7', 'Wnt'})"
"frozenset({'O14641', 'Wnt', 'O75901'})"
"frozenset({'Q7Z2K8', 'Wnt', 'P12830'})"
"frozenset({'P27824', 'Q92611', 'Wnt'})"
"frozenset({'Q9H2C0', 'Q16352', 'Wnt'})"
"frozenset({'Wnt', 'Q9NVP1', 'Q16666'})"
"frozenset({'Q15773', 'Wnt', 'P78346'})"
"frozenset({'Wnt', 'Q9H0B6', 'P33176'})"
"frozenset({'Q9Y4E8', 'Wnt', 'O15519'})"
"frozenset({'Q16543', 'Wnt', 'Q96EG3'})"
"frozenset({'Wnt', 'Q14CZ7', 'Q96RQ3'})"
"frozenset({'Wnt', 'P00533', 'Q8N111'})"
"frozenset({'P60370', 'Wnt', 'Q9NUL5'})"
"frozenset({'P32969', 'Wnt', 'P62273'})"
"frozenset({'P58166', 'Wnt', 'P60484'})"
"frozenset({'Q8WVE6', 'Wnt', 'Q96B77'})"
"frozenset({'P62487', 'P0CAP1', 'Wnt'})"
"frozenset({'O75376', 'Q86Y13', 'Wnt'})"
"frozenset({'Wnt', 'Q13077', 'Q15025'})"
"frozenset({'Wnt', 'Q13618', 'O75165'})"
"frozenset({'P28702', 'Wnt', 'P10276'})"
"frozenset({'Q5VWX1', 'O60506', 'Wnt'})"
"frozenset({'P21860', 'Wnt', 'O15431'})"
"frozenset({'P25205', 'Wnt', 'A2A3N6'})"
"frozenset({'Wnt', 'Q14344', 'O14640'})"
"frozenset({'P42357', 'Wnt', 'P49765'})"
"frozenset({'Wnt', 'Q8IZJ0', 'P09619'})"
"frozenset({'Q9Y3M2', 'Wnt', 'O95544'})"
"frozenset({'Wnt', 'Q16637', 'Q9Y3C7'})"
"frozenset({'Wnt', 'Q13283', 'P03372'})"
"frozenset({'Q13043', 'Wnt', 'Q96GD4'})"
"frozenset({'P20674', 'Wnt', 'P49821'})"
"frozenset({'Q9UNN5', 'Q13362', 'Wnt'})"
"frozenset({'Wnt', 'P40939', 'Q14CZ7'})"
"frozenset({'P01023', 'P50613', 'Wnt'})"
"frozenset({'Q9UJX5', 'Wnt', 'P60484'})"
"frozenset({'P33681', 'Wnt', 'Q9NZQ7'})"
"frozenset({'Q14683', 'P35240', 'Wnt'})"
"frozenset({'Wnt', 'Q9Y6K9', 'Q9H6Z9'})"
"frozenset({'P86478', 'Wnt', 'P86479'})"
"frozenset({'Wnt', 'P62753', 'O95166'})"
"frozenset({'Q8TDF6', 'Wnt', 'P01111'})"
"frozenset({'Wnt', 'O15360', 'O00141'})"
"frozenset({'P62979', 'P08047', 'Wnt'})"
"frozenset({'Wnt', 'Q04206', 'Q9Y2T4'})"
"frozenset({'Wnt', 'O95721', 'P23763'})"
"frozenset({'Wnt', 'Q63HR2', 'P63241'})"
"frozenset({'Q92974', 'Wnt', 'P04629'})"
"frozenset({'Wnt', 'P05412', 'O14980'})"
"frozenset({'Wnt', 'Q96JC9', 'Q12872'})"
"frozenset({'P15927', 'Wnt', 'Q9UKK9'})"
"frozenset({'Wnt', 'Q8TCJ0', 'Q9H3U1'})"
"frozenset({'Wnt', 'P62837', 'Q9Y675'})"
"frozenset({'P23771', 'Wnt', 'P10276'})"
"frozenset({'Q92616', 'Q9NWA0', 'Wnt'})"
"frozenset({'Q32MZ4', 'Q92499', 'Wnt'})"
"frozenset({'Q92979', 'Wnt', 'O15078'})"
"frozenset({'Wnt', 'Q9C040', 'Q15717'})"
"frozenset({'P46063', 'Wnt', 'Q8IW19'})"
"frozenset({'Wnt', 'Q99853', 'Q9BUH6'})"
"frozenset({'Q9BQD3', 'Q8IY31', 'Wnt'})"
"frozenset({'Q9HCE1', 'Wnt', 'P52272'})"
"frozenset({'Q96B97', 'Wnt', 'Q99963'})"
"frozenset({'P04062', 'Wnt', 'Q15392'})"
"frozenset({'Q8N5R6', 'Q9NWQ4', 'Wnt'})"
"frozenset({'O15265', 'Wnt', 'Q86TJ2'})"
"frozenset({'Q5JRV8', 'Wnt', 'O95487'})"
"frozenset({'Q92905', 'P18621', 'Wnt'})"
"frozenset({'Q14978', 'Q9HCE1', 'Wnt'})"
"frozenset({'Q8NAP3', 'O95793', 'Wnt'})"
"frozenset({'Q9UJS0', 'Wnt', 'P15336'})"
"frozenset({'Wnt', 'Q8ND24', 'Q08379'})"
"frozenset({'Q9HBH7', 'O76011', 'Wnt'})"
"frozenset({'P49863', 'Wnt', 'P49917'})"
"frozenset({'P80748', 'Wnt', 'O95817'})"
"frozenset({'Wnt', 'O75626', 'P26010'})"
"frozenset({'Q6L8H1', 'Q5T754', 'Wnt'})"
"frozenset({'P63272', 'Wnt', 'P05067'})"
"frozenset({'Q01201', 'Wnt', 'P62263'})"
"frozenset({'Q8N488', 'P35227', 'Wnt'})"
"frozenset({'O75791', 'Wnt', 'Q8WV28'})"
"frozenset({'Q92905', 'Wnt', 'Q9UMR2'})"
"frozenset({'P41229', 'Wnt', 'O94842'})"
"frozenset({'Wnt', 'P15056', 'Q6VAB6'})"
"frozenset({'O00217', 'P38646', 'Wnt'})"
"frozenset({'Q16552', 'Wnt', 'Q9Y6K1'})"
"frozenset({'Wnt', 'P00846', 'P24539'})"
"frozenset({'Wnt', 'P35749', 'P47756'})"
"frozenset({'Wnt', 'P56537', 'Q8TC92'})"
"frozenset({'Q86V20', 'P09651', 'Wnt'})"
"frozenset({'Q9Y6G3', 'Wnt', 'P07910'})"
"frozenset({'Q8N0Z3', 'Wnt', 'Q8IWC1'})"
"frozenset({'P46777', 'P25398', 'Wnt'})"
"frozenset({'Wnt', 'P62140', 'Q99941'})"
"frozenset({'Wnt', 'Q9NPJ6', 'Q96ES7'})"
"frozenset({'Q92995', 'Wnt', 'Q9Y5A9'})"
"frozenset({'P23458', 'Wnt', 'P52630'})"
"frozenset({'Q9H9E3', 'Wnt', 'O14530'})"
"frozenset({'Q9GZT9', 'Q9UGP4', 'Wnt'})"
"frozenset({'P38398', 'O15131', 'Wnt'})"
"frozenset({'Q8WVZ7', 'Wnt', 'P63279'})"
"frozenset({'P00519', 'Wnt', 'P52272'})"
"frozenset({'Wnt', 'P63208', 'O14777'})"
"frozenset({'Wnt', 'Q15843', 'Q15370'})"
"frozenset({'O60907', 'Q71DI3', 'Wnt'})"
"frozenset({'Wnt', 'Q14CB8', 'Q9NSB8'})"
"frozenset({'Q9H2G2', 'Q14164', 'Wnt'})"
"frozenset({'Wnt', 'P61952', 'P08172'})"
"frozenset({'Q8IXZ2', 'Q8IWZ3', 'Wnt'})"
"frozenset({'Q9UBN1', 'Wnt', 'Q15172'})"
"frozenset({'Q9HCE1', 'Wnt', 'P20339'})"
"frozenset({'Wnt', 'Q8IXK0', 'P35226'})"
"frozenset({'Wnt', 'P07355', 'P62913'})"
"frozenset({'P14618', 'Wnt', 'Q05639'})"
"frozenset({'O95866', 'Wnt', 'Q06124'})"
"frozenset({'Q5T6S3', 'Q15365', 'Wnt'})"
"frozenset({'Wnt', 'Q9BT40', 'Q96T91'})"
"frozenset({'P61962', 'Q6IQ23', 'Wnt'})"
"frozenset({'P38405', 'Wnt', 'P47893'})"
"frozenset({'Wnt', 'P0DMV8', 'Q15233'})"
"frozenset({'Wnt', 'Q99973', 'Q9UKK3'})"
"frozenset({'O75027', 'P35558', 'Wnt'})"
"frozenset({'Q16878', 'P40337', 'Wnt'})"
"frozenset({'Wnt', 'O15379', 'Q9Y618'})"
"frozenset({'P31948', 'O60232', 'Wnt'})"
"frozenset({'Q69YN2', 'O75674', 'Wnt'})"
"frozenset({'Wnt', 'Q86X19', 'P05023'})"
"frozenset({'Wnt', 'Q9BVC4', 'Q92526'})"
"frozenset({'Q9NVP1', 'Q15717', 'Wnt'})"
"frozenset({'Wnt', 'O95817', 'Q8TD19'})"
"frozenset({'Wnt', 'Q9P2H0', 'Q9BVJ7'})"
"frozenset({'Wnt', 'Q16778', 'Q16777'})"
"frozenset({'Q13190', 'Wnt', 'P12830'})"
"frozenset({'Wnt', 'Q13588', 'O43561'})"
"frozenset({'Q99879', 'Q99878', 'Wnt'})"
"frozenset({'O00625', 'P20749', 'Wnt'})"
"frozenset({'O75340', 'Wnt', 'P14174'})"
"frozenset({'Wnt', 'Q86UD0', 'O75901'})"
"frozenset({'P06733', 'Wnt', 'P35241'})"
"frozenset({'Wnt', 'P18124', 'P22736'})"
"frozenset({'Wnt', 'Q9NX40', 'P63092'})"
"frozenset({'Wnt', 'P50750', 'P35813'})"
"frozenset({'Wnt', 'P05455', 'Q96GQ7'})"
"frozenset({'Wnt', 'P52209', 'P37837'})"
"frozenset({'P43362', 'Wnt', 'O95478'})"
"frozenset({'Wnt', 'Q9H2P9', 'Q15942'})"
"frozenset({'Q8N2R8', 'Wnt', 'Q12788'})"
"frozenset({'Q14103', 'Wnt', 'Q01130'})"
"frozenset({'Q8IXK0', 'P35227', 'Wnt'})"
"frozenset({'Q96FF9', 'Wnt', 'Q9C0D3'})"
"frozenset({'Wnt', 'Q13568', 'P42224'})"
"frozenset({'Q86VP6', 'Wnt', 'Q9H814'})"
"frozenset({'P11171', 'Wnt', 'P61923'})"
"frozenset({'Q5VZL5', 'Wnt', 'O75496'})"
"frozenset({'P51965', 'Wnt', 'O00308'})"
"frozenset({'Q9NZC7', 'Wnt', 'Q5VT52'})"
"frozenset({'Q8IXZ2', 'Wnt', 'Q96EY7'})"
"frozenset({'Q14999', 'Wnt', 'P00505'})"
"frozenset({'Wnt', 'P50148', 'Q9H1C0'})"
"frozenset({'Wnt', 'Q9C0J9', 'P19784'})"
"frozenset({'Q9UMY4', 'Wnt', 'P06241'})"
"frozenset({'P29459', 'P17181', 'Wnt'})"
"frozenset({'Q15759', 'Wnt', 'O75676'})"
"frozenset({'Wnt', 'Q13153', 'P14598'})"
"frozenset({'P15927', 'Wnt', 'Q9UPQ0'})"
"frozenset({'Wnt', 'P07900', 'P51398'})"
"frozenset({'Wnt', 'P11047', 'P25391'})"
"frozenset({'Wnt', 'Q9UK61', 'P35226'})"
"frozenset({'P20810', 'Wnt', 'P17655'})"
"frozenset({'Wnt', 'O94868', 'Q15811'})"
"frozenset({'Q7Z3S9', 'Wnt', 'Q96S52'})"
"frozenset({'Q9P2E3', 'Wnt', 'Q96KG7'})"
"frozenset({'Q9C0C2', 'Wnt', 'P62491'})"
"frozenset({'P28482', 'Wnt', 'Q15700'})"
"frozenset({'Wnt', 'P22061', 'P23467'})"
"frozenset({'P51168', 'P40818', 'Wnt'})"
"frozenset({'P39023', 'Wnt', 'P08238'})"
"frozenset({'Wnt', 'Q12906', 'P62750'})"
"frozenset({'O15067', 'Wnt', 'Q9BRX5'})"
"frozenset({'Q08380', 'O43172', 'Wnt'})"
"frozenset({'Q6PGP7', 'Wnt', 'P06748'})"
"frozenset({'Wnt', 'P51679', 'Q16627'})"
"frozenset({'Q02878', 'Wnt', 'Q9NUL3'})"
"frozenset({'Q7Z6J4', 'Q58EX7', 'Wnt'})"
"frozenset({'Wnt', 'P01116', 'P53779'})"
"frozenset({'Q96I51', 'Q969Z0', 'Wnt'})"
"frozenset({'P45983', 'P49023', 'Wnt'})"
"frozenset({'Q9P2P5', 'O15350', 'Wnt'})"
"frozenset({'Q93034', 'O95831', 'Wnt'})"
"frozenset({'Q9UJX5', 'Wnt', 'Q9UJX6'})"
"frozenset({'Wnt', 'P30086', 'P05129'})"
"frozenset({'Wnt', 'Q96HE9', 'Q49A26'})"
"frozenset({'Wnt', 'P05067', 'P51570'})"
"frozenset({'Wnt', 'P63167', 'Q9Y6G9'})"
"frozenset({'Q9H2C0', 'Q9NYQ7', 'Wnt'})"
"frozenset({'Wnt', 'O14640', 'Q14332'})"
"frozenset({'Wnt', 'P05000', 'P38484'})"
"frozenset({'Q16864', 'O43504', 'Wnt'})"
"frozenset({'O14964', 'Wnt', 'P16615'})"
"frozenset({'Q92560', 'Wnt', 'P52788'})"
"frozenset({'P62979', 'Wnt', 'Q9NRQ2'})"
"frozenset({'Q71UI9', 'Q08AD1', 'Wnt'})"
"frozenset({'P02489', 'Q16082', 'Wnt'})"
"frozenset({'Q9BXB4', 'Wnt', 'P05067'})"
"frozenset({'P17931', 'Wnt', 'Q5T0J7'})"
"frozenset({'Q93062', 'Wnt', 'Q14296'})"
"frozenset({'Wnt', 'Q14192', 'Q00872'})"
"frozenset({'P26842', 'Wnt', 'P62879'})"
"frozenset({'Wnt', 'O00141', 'P01833'})"
"frozenset({'Q00013', 'Wnt', 'P41134'})"
"frozenset({'Q9NS23', 'Wnt', 'Q13315'})"
"frozenset({'P01584', 'Wnt', 'Q8WX94'})"
"frozenset({'Q15022', 'P57740', 'Wnt'})"
"frozenset({'O43432', 'Wnt', 'Q86VU5'})"
"frozenset({'Q8IYB3', 'Wnt', 'Q9NR30'})"
"frozenset({'P04899', 'P63215', 'Wnt'})"
"frozenset({'P10809', 'Q15323', 'Wnt'})"
"frozenset({'Wnt', 'Q9P2M7', 'Q9BQK8'})"
"frozenset({'Wnt', 'O60266', 'Q8WZA2'})"
"frozenset({'P15391', 'P00519', 'Wnt'})"
"frozenset({'Q15796', 'Q9H160', 'Wnt'})"
"frozenset({'O14654', 'Wnt', 'Q9Y2I1'})"
"frozenset({'Wnt', 'P50851', 'Q86X19'})"
"frozenset({'Wnt', 'Q969Q1', 'O76041'})"
"frozenset({'P08123', 'Wnt', 'Q504Q3'})"
"frozenset({'Wnt', 'Q9H0W5', 'Q96N67'})"
"frozenset({'Wnt', 'A8K4G0', 'O43914'})"
"frozenset({'Wnt', 'O95807', 'Q8WVR3'})"
"frozenset({'Q6NT76', 'Wnt', 'Q9H7E9'})"
"frozenset({'Q9BSD7', 'Wnt', 'Q9H2H9'})"
"frozenset({'P78386', 'Wnt', 'Q6IBS0'})"
"frozenset({'P49810', 'Wnt', 'Q07817'})"
"frozenset({'O00257', 'P48431', 'Wnt'})"
"frozenset({'Wnt', 'P21333', 'P84022'})"
"frozenset({'Q00987', 'Wnt', 'Q9H3D4'})"
"frozenset({'Q68DY1', 'Wnt', 'Q02535'})"
"frozenset({'Q07973', 'Wnt', 'P04637'})"
"frozenset({'Q16695', 'Wnt', 'P17252'})"
"frozenset({'Q96D03', 'Wnt', 'P41227'})"
"frozenset({'Wnt', 'Q6EMK4', 'Q92542'})"
"frozenset({'Q8TF42', 'Wnt', 'Q13547'})"
"frozenset({'Q92608', 'Wnt', 'Q8IXI1'})"
"frozenset({'Q8IW50', 'O95260', 'Wnt'})"
"frozenset({'Wnt', 'Q96T88', 'P07900'})"
"frozenset({'P04908', 'Wnt', 'Q9UKV8'})"
"frozenset({'Wnt', 'Q9NZT2', 'Q9Y2Q3'})"
"frozenset({'P50749', 'Wnt', 'O00505'})"
"frozenset({'Q8NCQ2', 'Q93062', 'Wnt'})"
"frozenset({'Wnt', 'P48556', 'Q99436'})"
"frozenset({'Wnt', 'P10809', 'Q96L14'})"
"frozenset({'Q8TAQ2', 'P19387', 'Wnt'})"
"frozenset({'Q9UPY8', 'Wnt', 'Q14008'})"
"frozenset({'Wnt', 'Q92731', 'Q13257'})"
"frozenset({'Wnt', 'Q00526', 'Q07869'})"
"frozenset({'Q9Y467', 'Q6ZWI9', 'Wnt'})"
"frozenset({'Q9UMZ2', 'Wnt', 'Q92624'})"
"frozenset({'Wnt', 'Q14203', 'P41227'})"
"frozenset({'Q9NS73', 'Wnt', 'Q6P597'})"
"frozenset({'Wnt', 'O00232', 'O43765'})"
"frozenset({'Wnt', 'P12004', 'Q9NTI5'})"
"frozenset({'Wnt', 'Q6XUX3', 'Q13257'})"
"frozenset({'Q86Y07', 'Wnt', 'Q9UHP3'})"
"frozenset({'P0DPB3', 'Q9Y2I1', 'Wnt'})"
"frozenset({'P42768', 'Q86TM6', 'Wnt'})"
"frozenset({'Wnt', 'P12830', 'P56962'})"
"frozenset({'Wnt', 'P50542', 'Q2T9J0'})"
"frozenset({'Wnt', 'Q8TAF3', 'O15372'})"
"frozenset({'P48507', 'Wnt', 'Q6ZVD7'})"
"frozenset({'Q14011', 'Wnt', 'P78330'})"
"frozenset({'Wnt', 'Q8WVS4', 'P84243'})"
"frozenset({'P43353', 'Wnt', 'Q9GZZ8'})"
"frozenset({'Wnt', 'P35579', 'P67775'})"
"frozenset({'P10301', 'Q92565', 'Wnt'})"
"frozenset({'Wnt', 'P01160', 'P41235'})"
"frozenset({'P06733', 'Q99497', 'Wnt'})"
"frozenset({'Wnt', 'Q9BR76', 'P61158'})"
"frozenset({'O14817', 'Q5T5A8', 'Wnt'})"
"frozenset({'Wnt', 'Q9BYZ2', 'O43463'})"
"frozenset({'Q9NSV4', 'Q9NZQ3', 'Wnt'})"
"frozenset({'Q8IXZ2', 'Wnt', 'P46087'})"
"frozenset({'Q5TA81', 'Wnt', 'Q12805'})"
"frozenset({'Q9UQL6', 'Wnt', 'P62879'})"
"frozenset({'Wnt', 'Q6NUS6', 'O95470'})"
"frozenset({'Q92621', 'Wnt', 'Q6ZQN5'})"
"frozenset({'Q8TBX8', 'Q06187', 'Wnt'})"
"frozenset({'P62266', 'Q969P0', 'Wnt'})"
"frozenset({'Wnt', 'O75323', 'Q9H492'})"
"frozenset({'Wnt', 'Q9H9B1', 'O43463'})"
"frozenset({'Wnt', 'P36543', 'P12956'})"
"frozenset({'Q9NRR4', 'Wnt', 'Q16665'})"
"frozenset({'Q15024', 'Q6IQ23', 'Wnt'})"
"frozenset({'Q5VWN6', 'Wnt', 'Q96T49'})"
"frozenset({'Wnt', 'Q9ULT8', 'Q68CZ1'})"
"frozenset({'O75665', 'Wnt', 'P53621'})"
"frozenset({'Q8NGL1', 'Wnt', 'P49407'})"
"frozenset({'P49639', 'Q701N4', 'Wnt'})"
"frozenset({'P21359', 'Wnt', 'Q96QZ7'})"
"frozenset({'Wnt', 'Q9BRR0', 'P50222'})"
"frozenset({'Wnt', 'Q15019', 'O00422'})"
"frozenset({'Q53EZ4', 'Q96I25', 'Wnt'})"
"frozenset({'Q8WXF3', 'Wnt', 'Q8TDU9'})"
"frozenset({'Q96CW1', 'Wnt', 'P60709'})"
"frozenset({'Q92841', 'Wnt', 'Q9H492'})"
"frozenset({'P32121', 'Q8NGN4', 'Wnt'})"
"frozenset({'Wnt', 'P49763', 'O60462'})"
"frozenset({'Q96RS0', 'Wnt', 'O15084'})"
"frozenset({'P35222', 'Wnt', 'P51817'})"
"frozenset({'Q13618', 'Wnt', 'Q8WWY3'})"
"frozenset({'P11308', 'Wnt', 'P07437'})"
"frozenset({'Wnt', 'O95251', 'Q9UNL4'})"
"frozenset({'P09651', 'Wnt', 'P51398'})"
"frozenset({'Wnt', 'Q96L21', 'Q07020'})"
"frozenset({'Q9NP77', 'Wnt', 'Q9UQE7'})"
"frozenset({'Q15185', 'Wnt', 'Q16665'})"
"frozenset({'Q6FHJ7', 'Wnt', 'Q9UHQ1'})"
"frozenset({'Q02086', 'Wnt', 'Q15466'})"
"frozenset({'Q9UNN5', 'P05187', 'Wnt'})"
"frozenset({'P14384', 'Wnt', 'Q9NQW6'})"
"frozenset({'Wnt', 'P0DMS8', 'P63096'})"
"frozenset({'Wnt', 'O14757', 'Q5T8P6'})"
"frozenset({'Wnt', 'P26599', 'Q8TCS8'})"
"frozenset({'Wnt', 'P55209', 'Q96A08'})"
"frozenset({'Wnt', 'Q9BY44', 'Q9P2K8'})"
"frozenset({'Wnt', 'Q99081', 'Q13315'})"
"frozenset({'O95995', 'Wnt', 'Q9BW85'})"
"frozenset({'Q9P2P5', 'Wnt', 'Q8IYH5'})"
"frozenset({'Q8NFZ0', 'Wnt', 'P11233'})"
"frozenset({'Wnt', 'P42336', 'Q13480'})"
"frozenset({'O00358', 'P14866', 'Wnt'})"
"frozenset({'Wnt', 'P36897', 'Q13153'})"
"frozenset({'Wnt', 'Q12906', 'P49736'})"
"frozenset({'Q96IX5', 'Wnt', 'Q9BUV8'})"
"frozenset({'Wnt', 'O95347', 'Q9ULT8'})"
"frozenset({'P04844', 'Wnt', 'Q8NBN7'})"
"frozenset({'O43303', 'Wnt', 'P41002'})"
"frozenset({'Q9UQL6', 'P06899', 'Wnt'})"
"frozenset({'Q99832', 'O43172', 'Wnt'})"
"frozenset({'Q93034', 'Wnt', 'P23396'})"
"frozenset({'O60568', 'Q96GX1', 'Wnt'})"
"frozenset({'Q9NYZ3', 'Wnt', 'P51149'})"
"frozenset({'Wnt', 'Q9Y5L4', 'Q13547'})"
"frozenset({'P42858', 'P68431', 'Wnt'})"
"frozenset({'Wnt', 'O60939', 'Q05193'})"
"frozenset({'Wnt', 'Q13895', 'Q16666'})"
"frozenset({'Wnt', 'Q06187', 'P07900'})"
"frozenset({'Q6T4R5', 'Wnt', 'Q8IZP0'})"
"frozenset({'P45983', 'Wnt', 'Q16777'})"
"frozenset({'Q02156', 'Wnt', 'P51828'})"
"frozenset({'Q92600', 'Wnt', 'Q9NZN8'})"
"frozenset({'P39748', 'Wnt', 'P05067'})"
"frozenset({'Wnt', 'Q9ULJ3', 'Q9P0V3'})"
"frozenset({'Q13618', 'Wnt', 'Q9H0D6'})"
"frozenset({'Wnt', 'P62837', 'P14373'})"
"frozenset({'P27361', 'P31645', 'Wnt'})"
