negatives
"frozenset({'Q9Y624', 'TNFalpha', 'P12830'})"
"frozenset({'P83876', 'TNFalpha', 'Q96D03'})"
"frozenset({'Q9BVJ7', 'TNFalpha', 'Q96B26'})"
"frozenset({'Q86Z20', 'TNFalpha', 'Q8NAP3'})"
"frozenset({'Q86T24', 'TNFalpha', 'O75376'})"
"frozenset({'Q9H1D9', 'TNFalpha', 'P53803'})"
"frozenset({'Q99832', 'TNFalpha', 'Q9UBS0'})"
"frozenset({'P84077', 'P26641', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q92922', 'Q9NPI1'})"
"frozenset({'P58335', 'TNFalpha', 'P11047'})"
"frozenset({'P29475', 'TNFalpha', 'Q13557'})"
"frozenset({'Q9UNN5', 'TNFalpha', 'P18754'})"
"frozenset({'P34741', 'P33260', 'TNFalpha'})"
"frozenset({'P17693', 'TNFalpha', 'P43630'})"
"frozenset({'Q99590', 'Q7L190', 'TNFalpha'})"
"frozenset({'Q99832', 'Q6UXN9', 'TNFalpha'})"
"frozenset({'Q8N6Y0', 'TNFalpha', 'Q13561'})"
"frozenset({'Q92736', 'TNFalpha', 'Q13023'})"
"frozenset({'Q9C0C7', 'Q13619', 'TNFalpha'})"
"frozenset({'P46531', 'O00587', 'TNFalpha'})"
"frozenset({'P41732', 'P50222', 'TNFalpha'})"
"frozenset({'Q13216', 'TNFalpha', 'P67870'})"
"frozenset({'TNFalpha', 'P22455', 'Q9HCE7'})"
"frozenset({'Q53TS8', 'Q9UBB9', 'TNFalpha'})"
"frozenset({'Q9UL18', 'P62701', 'TNFalpha'})"
"frozenset({'P61956', 'TNFalpha', 'Q9BUF5'})"
"frozenset({'Q99706', 'TNFalpha', 'P14921'})"
"frozenset({'P05362', 'P05107', 'TNFalpha'})"
"frozenset({'P13569', 'Q15075', 'TNFalpha'})"
"frozenset({'P01562', 'P42701', 'TNFalpha'})"
"frozenset({'P48039', 'Q01959', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q99958', 'Q9UIV1'})"
"frozenset({'P25490', 'P26651', 'TNFalpha'})"
"frozenset({'Q9UPZ9', 'P06493', 'TNFalpha'})"
"frozenset({'Q9NQ69', 'TNFalpha', 'Q9BWW4'})"
"frozenset({'TNFalpha', 'P80303', 'O43852'})"
"frozenset({'P63167', 'TNFalpha', 'P01889'})"
"frozenset({'TNFalpha', 'P20591', 'O15360'})"
"frozenset({'P0C5Y9', 'Q969S8', 'TNFalpha'})"
"frozenset({'Q16543', 'TNFalpha', 'Q9GZS3'})"
"frozenset({'P13805', 'TNFalpha', 'Q9Y2L8'})"
"frozenset({'Q9NXF1', 'TNFalpha', 'Q9H9J4'})"
"frozenset({'TNFalpha', 'O00238', 'Q6KF10'})"
"frozenset({'Q9NXH9', 'Q8WWY8', 'TNFalpha'})"
"frozenset({'Q9UIL1', 'TNFalpha', 'P0DPB3'})"
"frozenset({'P62945', 'TNFalpha', 'P62888'})"
"frozenset({'P46527', 'TNFalpha', 'O94806'})"
"frozenset({'P06241', 'TNFalpha', 'Q13796'})"
"frozenset({'P54725', 'TNFalpha', 'Q01831'})"
"frozenset({'P40227', 'O75381', 'TNFalpha'})"
"frozenset({'Q9HCE1', 'Q9BV99', 'TNFalpha'})"
"frozenset({'Q99996', 'P43360', 'TNFalpha'})"
"frozenset({'Q8IYE0', 'Q7Z6G3', 'TNFalpha'})"
"frozenset({'P30307', 'O95067', 'TNFalpha'})"
"frozenset({'P83731', 'Q00839', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9UBT2', 'P04629'})"
"frozenset({'TNFalpha', 'Q92793', 'Q12834'})"
"frozenset({'Q6ZU80', 'TNFalpha', 'P14635'})"
"frozenset({'O95197', 'Q6NUS6', 'TNFalpha'})"
"frozenset({'Q6ZUT1', 'TNFalpha', 'Q5HYN5'})"
"frozenset({'O60840', 'P16520', 'TNFalpha'})"
"frozenset({'Q9UMX0', 'TNFalpha', 'O75436'})"
"frozenset({'TNFalpha', 'P11586', 'Q01813'})"
"frozenset({'O75323', 'Q8IU60', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q92499', 'O60568'})"
"frozenset({'Q8NI22', 'TNFalpha', 'Q9H0D6'})"
"frozenset({'TNFalpha', 'Q13568', 'P52630'})"
"frozenset({'Q9UKJ5', 'TNFalpha', 'Q8NEC5'})"
"frozenset({'P10073', 'Q8TF39', 'TNFalpha'})"
"frozenset({'Q9UKT4', 'Q9HCE1', 'TNFalpha'})"
"frozenset({'P06865', 'Q9NRD1', 'TNFalpha'})"
"frozenset({'Q8NH90', 'TNFalpha', 'P49407'})"
"frozenset({'P10398', 'Q03113', 'TNFalpha'})"
"frozenset({'P10415', 'Q01543', 'TNFalpha'})"
"frozenset({'Q9BRK4', 'Q9H257', 'TNFalpha'})"
"frozenset({'P01106', 'TNFalpha', 'Q13952'})"
"frozenset({'P43487', 'TNFalpha', 'P18754'})"
"frozenset({'Q15047', 'TNFalpha', 'O14980'})"
"frozenset({'Q9NYF8', 'Q9Y657', 'TNFalpha'})"
"frozenset({'O43707', 'O95466', 'TNFalpha'})"
"frozenset({'Q96FW1', 'Q9UG63', 'TNFalpha'})"
"frozenset({'Q8NHQ1', 'O95391', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9UBS0', 'Q06830'})"
"frozenset({'O60684', 'TNFalpha', 'O14893'})"
"frozenset({'P16070', 'O95466', 'TNFalpha'})"
"frozenset({'P22694', 'P46019', 'TNFalpha'})"
"frozenset({'O75487', 'Q9NPG1', 'TNFalpha'})"
"frozenset({'O60266', 'Q8WZA2', 'TNFalpha'})"
"frozenset({'P46459', 'O00161', 'TNFalpha'})"
"frozenset({'P00558', 'P09972', 'TNFalpha'})"
"frozenset({'P01106', 'TNFalpha', 'Q9GZN8'})"
"frozenset({'TNFalpha', 'P25787', 'P25789'})"
"frozenset({'Q13643', 'O95297', 'TNFalpha'})"
"frozenset({'P55196', 'P63267', 'TNFalpha'})"
"frozenset({'Q13315', 'TNFalpha', 'Q9H9B1'})"
"frozenset({'P62750', 'P08708', 'TNFalpha'})"
"frozenset({'P53804', 'Q8NI77', 'TNFalpha'})"
"frozenset({'Q9BTX3', 'Q9NZD8', 'TNFalpha'})"
"frozenset({'Q6K0P9', 'P49116', 'TNFalpha'})"
"frozenset({'Q6RW13', 'Q99757', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NVV9', 'Q86V42'})"
"frozenset({'Q01085', 'TNFalpha', 'P35226'})"
"frozenset({'TNFalpha', 'Q9NP81', 'Q13813'})"
"frozenset({'P09874', 'Q13043', 'TNFalpha'})"
"frozenset({'P01106', 'TNFalpha', 'Q5SY16'})"
"frozenset({'P35579', 'Q01968', 'TNFalpha'})"
"frozenset({'Q6UXN9', 'TNFalpha', 'Q6PHR2'})"
"frozenset({'Q8TCJ2', 'TNFalpha', 'P54289'})"
"frozenset({'Q93034', 'TNFalpha', 'O94889'})"
"frozenset({'Q9UM73', 'TNFalpha', 'P07900'})"
"frozenset({'P63208', 'TNFalpha', 'P21281'})"
"frozenset({'P62258', 'P50402', 'TNFalpha'})"
"frozenset({'Q00653', 'TNFalpha', 'P01563'})"
"frozenset({'TNFalpha', 'Q96PU5', 'Q9NV92'})"
"frozenset({'P16885', 'Q9P0L1', 'TNFalpha'})"
"frozenset({'P05198', 'TNFalpha', 'Q16656'})"
"frozenset({'TNFalpha', 'P61978', 'Q9HCE7'})"
"frozenset({'Q14676', 'TNFalpha', 'O94762'})"
"frozenset({'Q9Y508', 'TNFalpha', 'P27361'})"
"frozenset({'O95999', 'P62807', 'TNFalpha'})"
"frozenset({'P22087', 'Q9Y237', 'TNFalpha'})"
"frozenset({'Q9H4G0', 'TNFalpha', 'P05067'})"
"frozenset({'Q6P1W5', 'O95231', 'TNFalpha'})"
"frozenset({'P14784', 'Q13261', 'TNFalpha'})"
"frozenset({'O15067', 'P84996', 'TNFalpha'})"
"frozenset({'Q9UMX5', 'P08865', 'TNFalpha'})"
"frozenset({'P02751', 'Q96AG4', 'TNFalpha'})"
"frozenset({'P15882', 'P61587', 'TNFalpha'})"
"frozenset({'O14576', 'TNFalpha', 'Q9BQ89'})"
"frozenset({'P42858', 'TNFalpha', 'Q6ZMR3'})"
"frozenset({'TNFalpha', 'Q13823', 'P04629'})"
"frozenset({'P80370', 'P13637', 'TNFalpha'})"
"frozenset({'Q9BWT7', 'TNFalpha', 'O75127'})"
"frozenset({'TNFalpha', 'P02452', 'Q9UKX5'})"
"frozenset({'P35579', 'Q504Q3', 'TNFalpha'})"
"frozenset({'Q99426', 'O14562', 'TNFalpha'})"
"frozenset({'Q15717', 'Q8N157', 'TNFalpha'})"
"frozenset({'Q8TBN0', 'Q96Q05', 'TNFalpha'})"
"frozenset({'P07949', 'TNFalpha', 'P27361'})"
"frozenset({'TNFalpha', 'Q7Z3B4', 'Q96CS2'})"
"frozenset({'Q9C0B0', 'O94826', 'TNFalpha'})"
"frozenset({'P05019', 'P11362', 'TNFalpha'})"
"frozenset({'P68431', 'TNFalpha', 'O75533'})"
"frozenset({'Q8NGK9', 'TNFalpha', 'Q9P2W3'})"
"frozenset({'P37840', 'P20336', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13309', 'Q9NRM7'})"
"frozenset({'Q01094', 'TNFalpha', 'P50876'})"
"frozenset({'P52789', 'TNFalpha', 'P06733'})"
"frozenset({'P55010', 'O00273', 'TNFalpha'})"
"frozenset({'Q6RFH8', 'P48643', 'TNFalpha'})"
"frozenset({'Q08752', 'TNFalpha', 'P48506'})"
"frozenset({'Q9BSM1', 'Q7L190', 'TNFalpha'})"
"frozenset({'Q92974', 'Q96NL6', 'TNFalpha'})"
"frozenset({'P43243', 'O14757', 'TNFalpha'})"
"frozenset({'O43189', 'O14503', 'TNFalpha'})"
"frozenset({'Q9UL46', 'Q14164', 'TNFalpha'})"
"frozenset({'P32121', 'Q8NGL1', 'TNFalpha'})"
"frozenset({'Q15014', 'Q9NRD5', 'TNFalpha'})"
"frozenset({'Q5TB80', 'Q9H7B2', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P43360', 'Q92797'})"
"frozenset({'Q96N21', 'Q6PI77', 'TNFalpha'})"
"frozenset({'Q9NPJ6', 'P69905', 'TNFalpha'})"
"frozenset({'Q9NPA0', 'Q9P0I2', 'TNFalpha'})"
"frozenset({'Q01196', 'Q99706', 'TNFalpha'})"
"frozenset({'Q9P1Y6', 'Q92905', 'TNFalpha'})"
"frozenset({'Q14145', 'TNFalpha', 'Q9H492'})"
"frozenset({'P36957', 'O60684', 'TNFalpha'})"
"frozenset({'Q14999', 'TNFalpha', 'O00231'})"
"frozenset({'Q93008', 'P49761', 'TNFalpha'})"
"frozenset({'Q5JR98', 'Q99750', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q5THR3', 'Q13547'})"
"frozenset({'Q9Y5K5', 'TNFalpha', 'Q9UMS4'})"
"frozenset({'Q86UT6', 'Q7Z434', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P42858', 'Q14982'})"
"frozenset({'P00395', 'P50222', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P04629', 'Q92541'})"
"frozenset({'P23497', 'P78318', 'TNFalpha'})"
"frozenset({'Q99459', 'TNFalpha', 'P22626'})"
"frozenset({'Q9BQ66', 'Q8TBP0', 'TNFalpha'})"
"frozenset({'Q9C000', 'TNFalpha', 'Q309B1'})"
"frozenset({'O75323', 'O75385', 'TNFalpha'})"
"frozenset({'P98170', 'O00238', 'TNFalpha'})"
"frozenset({'O00165', 'Q9HB75', 'TNFalpha'})"
"frozenset({'Q8TF40', 'TNFalpha', 'O95166'})"
"frozenset({'A5PL33', 'P55345', 'TNFalpha'})"
"frozenset({'Q15404', 'P35520', 'TNFalpha'})"
"frozenset({'Q9NPJ6', 'Q9BTT4', 'TNFalpha'})"
"frozenset({'P22694', 'O43306', 'TNFalpha'})"
"frozenset({'Q9Y666', 'Q9UEW8', 'TNFalpha'})"
"frozenset({'Q06323', 'TNFalpha', 'P17980'})"
"frozenset({'Q14999', 'Q9BY77', 'TNFalpha'})"
"frozenset({'Q13616', 'TNFalpha', 'P61353'})"
"frozenset({'O60566', 'O60293', 'TNFalpha'})"
"frozenset({'P60709', 'TNFalpha', 'P25788'})"
"frozenset({'TNFalpha', 'Q7L5N1', 'Q92466'})"
"frozenset({'P22455', 'TNFalpha', 'P46934'})"
"frozenset({'TNFalpha', 'P49286', 'Q9UPN7'})"
"frozenset({'P16144', 'TNFalpha', 'A6NMZ7'})"
"frozenset({'Q9NRD1', 'TNFalpha', 'P08514'})"
"frozenset({'P40939', 'TNFalpha', 'Q96HR8'})"
"frozenset({'Q5RL73', 'TNFalpha', 'P21673'})"
"frozenset({'Q13200', 'P25398', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q00325', 'P04626'})"
"frozenset({'P54646', 'Q16877', 'TNFalpha'})"
"frozenset({'P17535', 'P18146', 'TNFalpha'})"
"frozenset({'P35544', 'TNFalpha', 'P46782'})"
"frozenset({'P26639', 'P62979', 'TNFalpha'})"
"frozenset({'O75449', 'TNFalpha', 'Q9NZ71'})"
"frozenset({'TNFalpha', 'P98174', 'Q03519'})"
"frozenset({'TNFalpha', 'Q9BR76', 'P46940'})"
"frozenset({'P63316', 'P48788', 'TNFalpha'})"
"frozenset({'Q5VYK3', 'O75976', 'TNFalpha'})"
"frozenset({'P51003', 'TNFalpha', 'Q9C0J8'})"
"frozenset({'P43115', 'Q9UI26', 'TNFalpha'})"
"frozenset({'P19388', 'P29590', 'TNFalpha'})"
"frozenset({'Q12965', 'P50402', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q15306', 'P42226'})"
"frozenset({'Q9H4L4', 'TNFalpha', 'Q96LK0'})"
"frozenset({'P45983', 'TNFalpha', 'Q13547'})"
"frozenset({'TNFalpha', 'Q9NRG4', 'P08579'})"
"frozenset({'P54646', 'P50570', 'TNFalpha'})"
"frozenset({'Q8IVT5', 'TNFalpha', 'P52756'})"
"frozenset({'Q6UXH1', 'TNFalpha', 'Q5EB52'})"
"frozenset({'Q9Y265', 'TNFalpha', 'P19838'})"
"frozenset({'O75901', 'TNFalpha', 'Q13625'})"
"frozenset({'TNFalpha', 'Q9HC24', 'Q13505'})"
"frozenset({'Q9H1C4', 'Q8TCT9', 'TNFalpha'})"
"frozenset({'Q99519', 'TNFalpha', 'P51681'})"
"frozenset({'P26038', 'P78545', 'TNFalpha'})"
"frozenset({'P35222', 'TNFalpha', 'P55287'})"
"frozenset({'P47914', 'P23396', 'TNFalpha'})"
"frozenset({'P62258', 'Q07955', 'TNFalpha'})"
"frozenset({'P61086', 'P22314', 'TNFalpha'})"
"frozenset({'O95352', 'TNFalpha', 'O60701'})"
"frozenset({'Q9NVP2', 'TNFalpha', 'P61247'})"
"frozenset({'O95376', 'TNFalpha', 'P51965'})"
"frozenset({'TNFalpha', 'P35968', 'P05230'})"
"frozenset({'Q13557', 'TNFalpha', 'P62269'})"
"frozenset({'Q9Y496', 'O00203', 'TNFalpha'})"
"frozenset({'Q14994', 'TNFalpha', 'P43686'})"
"frozenset({'Q9UHI7', 'TNFalpha', 'P27986'})"
"frozenset({'Q9GZV5', 'P62714', 'TNFalpha'})"
"frozenset({'P26599', 'P27824', 'TNFalpha'})"
"frozenset({'Q6EMK4', 'P50222', 'TNFalpha'})"
"frozenset({'Q9HCP0', 'TNFalpha', 'Q96NL0'})"
"frozenset({'P80723', 'TNFalpha', 'O14980'})"
"frozenset({'Q05193', 'TNFalpha', 'O75925'})"
"frozenset({'TNFalpha', 'Q9HAV4', 'P20333'})"
"frozenset({'P68363', 'P61956', 'TNFalpha'})"
"frozenset({'P21860', 'P25705', 'TNFalpha'})"
"frozenset({'Q5T5Y3', 'TNFalpha', 'Q66GS9'})"
"frozenset({'Q9H9A5', 'O94986', 'TNFalpha'})"
"frozenset({'P52292', 'Q6A162', 'TNFalpha'})"
"frozenset({'O00165', 'Q9UQM7', 'TNFalpha'})"
"frozenset({'P04899', 'TNFalpha', 'Q9NVN3'})"
"frozenset({'P08779', 'P78385', 'TNFalpha'})"
"frozenset({'Q96DN5', 'Q15691', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O15535', 'Q96LA8'})"
"frozenset({'P01106', 'Q9H0E9', 'TNFalpha'})"
"frozenset({'Q05195', 'TNFalpha', 'Q9HCU9'})"
"frozenset({'Q9HCU4', 'P34925', 'TNFalpha'})"
"frozenset({'Q13444', 'TNFalpha', 'Q9Y371'})"
"frozenset({'O14981', 'Q9NQM4', 'TNFalpha'})"
"frozenset({'Q9UI12', 'P61019', 'TNFalpha'})"
"frozenset({'Q8N1G4', 'TNFalpha', 'Q7L5N1'})"
"frozenset({'TNFalpha', 'Q8N6Y0', 'Q9NX63'})"
"frozenset({'Q7Z6Z7', 'P19784', 'TNFalpha'})"
"frozenset({'Q9UQ84', 'P12004', 'TNFalpha'})"
"frozenset({'Q8N3U4', 'O14579', 'TNFalpha'})"
"frozenset({'Q9ULU8', 'Q99755', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9NZQ7', 'Q8IZR5'})"
"frozenset({'P35658', 'Q8NFH3', 'TNFalpha'})"
"frozenset({'P49682', 'O00585', 'TNFalpha'})"
"frozenset({'P16234', 'Q9GZP0', 'TNFalpha'})"
"frozenset({'Q14444', 'TNFalpha', 'Q9NRC8'})"
"frozenset({'P49447', 'Q8TAZ6', 'TNFalpha'})"
"frozenset({'P80370', 'TNFalpha', 'Q8TDN4'})"
"frozenset({'Q9Y253', 'P05067', 'TNFalpha'})"
"frozenset({'Q9BQG0', 'TNFalpha', 'Q96GD4'})"
"frozenset({'P03372', 'Q92793', 'TNFalpha'})"
"frozenset({'P56817', 'Q00535', 'TNFalpha'})"
"frozenset({'Q7Z2W4', 'TNFalpha', 'Q99523'})"
"frozenset({'P25800', 'TNFalpha', 'Q9UKT9'})"
"frozenset({'P08588', 'P63092', 'TNFalpha'})"
"frozenset({'O75348', 'Q13404', 'TNFalpha'})"
"frozenset({'P31942', 'TNFalpha', 'P36873'})"
"frozenset({'Q96MT4', 'P30039', 'TNFalpha'})"
"frozenset({'O14818', 'Q9Y5K5', 'TNFalpha'})"
"frozenset({'P27816', 'TNFalpha', 'P54274'})"
"frozenset({'P05161', 'Q15019', 'TNFalpha'})"
"frozenset({'P68431', 'P07949', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q71U36', 'Q14126'})"
"frozenset({'P52333', 'Q16698', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O00425', 'P35249'})"
"frozenset({'TNFalpha', 'P62906', 'Q9UKV8'})"
"frozenset({'TNFalpha', 'O94966', 'Q8NBU5'})"
"frozenset({'P18583', 'Q06455', 'TNFalpha'})"
"frozenset({'P38936', 'Q16254', 'TNFalpha'})"
"frozenset({'Q13573', 'Q01130', 'TNFalpha'})"
"frozenset({'Q9UKX7', 'Q9NRA8', 'TNFalpha'})"
"frozenset({'Q9BYQ2', 'O43597', 'TNFalpha'})"
"frozenset({'P19320', 'TNFalpha', 'P99999'})"
"frozenset({'P35222', 'TNFalpha', 'P06239'})"
"frozenset({'TNFalpha', 'Q09666', 'P60903'})"
"frozenset({'Q96C01', 'TNFalpha', 'O75380'})"
"frozenset({'TNFalpha', 'P40225', 'Q14626'})"
"frozenset({'TNFalpha', 'Q7L5N1', 'P04406'})"
"frozenset({'Q8IZV5', 'Q14964', 'TNFalpha'})"
"frozenset({'Q9BSM1', 'Q9P2D0', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P62277', 'P36578'})"
"frozenset({'Q8IY92', 'P51610', 'TNFalpha'})"
"frozenset({'P10809', 'P01116', 'TNFalpha'})"
"frozenset({'Q14738', 'P60510', 'TNFalpha'})"
"frozenset({'P19174', 'Q92569', 'TNFalpha'})"
"frozenset({'O95831', 'Q9NX70', 'TNFalpha'})"
"frozenset({'Q9NY65', 'Q96RT8', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8IZU0', 'Q6NSX1'})"
"frozenset({'Q99853', 'Q29RF7', 'TNFalpha'})"
"frozenset({'P61224', 'Q96FS4', 'TNFalpha'})"
"frozenset({'Q68CJ9', 'Q09472', 'TNFalpha'})"
"frozenset({'P00492', 'TNFalpha', 'P35637'})"
"frozenset({'P15498', 'TNFalpha', 'P10721'})"
"frozenset({'TNFalpha', 'Q9H992', 'P51965'})"
"frozenset({'Q8WWI1', 'P24941', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q52LG2', 'Q86SG6'})"
"frozenset({'Q9Y265', 'TNFalpha', 'Q9WJR5'})"
"frozenset({'Q9UGV2', 'Q8NDH3', 'TNFalpha'})"
"frozenset({'Q13882', 'Q92841', 'TNFalpha'})"
"frozenset({'Q13155', 'Q16659', 'TNFalpha'})"
"frozenset({'Q9Y2T4', 'Q13371', 'TNFalpha'})"
"frozenset({'Q9Y6K9', 'Q9H9B4', 'TNFalpha'})"
"frozenset({'Q13547', 'TNFalpha', 'Q86YP4'})"
"frozenset({'TNFalpha', 'Q16540', 'Q9H0E7'})"
"frozenset({'O75147', 'Q09028', 'TNFalpha'})"
"frozenset({'O95257', 'TNFalpha', 'P29622'})"
"frozenset({'P31371', 'P09619', 'TNFalpha'})"
"frozenset({'P51858', 'TNFalpha', 'Q5TZA2'})"
"frozenset({'O15230', 'Q13797', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O15350', 'Q7Z4G4'})"
"frozenset({'Q99459', 'TNFalpha', 'P61163'})"
"frozenset({'P53350', 'TNFalpha', 'Q96NT0'})"
"frozenset({'P10599', 'Q9BSM1', 'TNFalpha'})"
"frozenset({'P29372', 'TNFalpha', 'Q5VST9'})"
"frozenset({'O60603', 'TNFalpha', 'P07437'})"
"frozenset({'Q9UM47', 'Q96JK9', 'TNFalpha'})"
"frozenset({'Q15418', 'P21333', 'TNFalpha'})"
"frozenset({'P46695', 'TNFalpha', 'P05067'})"
"frozenset({'Q71DI3', 'TNFalpha', 'Q9NPI1'})"
"frozenset({'Q99665', 'P05015', 'TNFalpha'})"
"frozenset({'Q9H0W5', 'Q16630', 'TNFalpha'})"
"frozenset({'Q12888', 'TNFalpha', 'P49327'})"
"frozenset({'P32241', 'TNFalpha', 'P09683'})"
"frozenset({'P05231', 'P35367', 'TNFalpha'})"
"frozenset({'O60341', 'TNFalpha', 'O14737'})"
"frozenset({'P00540', 'TNFalpha', 'Q9UJV3'})"
"frozenset({'TNFalpha', 'Q14195', 'Q9NVT9'})"
"frozenset({'O14818', 'TNFalpha', 'P62195'})"
"frozenset({'Q9BQ48', 'P26373', 'TNFalpha'})"
"frozenset({'P49674', 'Q5TB80', 'TNFalpha'})"
"frozenset({'Q9ULG1', 'P25490', 'TNFalpha'})"
"frozenset({'Q6P1J9', 'O00203', 'TNFalpha'})"
"frozenset({'Q3LI64', 'Q9NZ81', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9HC77', 'P0DP23'})"
"frozenset({'Q96BZ8', 'Q8WW34', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8TEW0', 'P08311'})"
"frozenset({'Q13616', 'P30041', 'TNFalpha'})"
"frozenset({'Q13243', 'TNFalpha', 'Q2TAY7'})"
"frozenset({'P68036', 'O15033', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q14232', 'Q13126'})"
"frozenset({'TNFalpha', 'P50225', 'P63146'})"
"frozenset({'Q9NVZ3', 'Q86XK2', 'TNFalpha'})"
"frozenset({'Q9NSI2', 'Q8N128', 'TNFalpha'})"
"frozenset({'P78396', 'P10244', 'TNFalpha'})"
"frozenset({'Q08AG5', 'A6NEM1', 'TNFalpha'})"
"frozenset({'Q8WV28', 'Q9UKW4', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q12906', 'P34947'})"
"frozenset({'Q13362', 'Q15172', 'TNFalpha'})"
"frozenset({'P03372', 'Q14103', 'TNFalpha'})"
"frozenset({'O14828', 'P15927', 'TNFalpha'})"
"frozenset({'Q8TAQ2', 'TNFalpha', 'Q9NPI1'})"
"frozenset({'Q96LK0', 'TNFalpha', 'Q9UKD1'})"
"frozenset({'O60216', 'Q12870', 'TNFalpha'})"
"frozenset({'Q9Y383', 'TNFalpha', 'P26368'})"
"frozenset({'Q8NA61', 'Q96NC0', 'TNFalpha'})"
"frozenset({'Q9UBX2', 'TNFalpha', 'P78527'})"
"frozenset({'Q14203', 'Q9BXJ9', 'TNFalpha'})"
"frozenset({'Q03252', 'TNFalpha', 'P27361'})"
"frozenset({'TNFalpha', 'Q12955', 'P33991'})"
"frozenset({'Q9NPJ6', 'Q96LB3', 'TNFalpha'})"
"frozenset({'P33778', 'Q86WJ1', 'TNFalpha'})"
"frozenset({'P22607', 'P46109', 'TNFalpha'})"
"frozenset({'P06241', 'P01375', 'TNFalpha'})"
"frozenset({'Q96FE7', 'Q9UHD9', 'TNFalpha'})"
"frozenset({'Q96BR9', 'Q8WTP8', 'TNFalpha'})"
"frozenset({'Q9NYL2', 'P52564', 'TNFalpha'})"
"frozenset({'Q9BSB4', 'TNFalpha', 'Q9Y4P1'})"
"frozenset({'P17612', 'Q8N6U8', 'TNFalpha'})"
"frozenset({'Q86V81', 'P14866', 'TNFalpha'})"
"frozenset({'P17028', 'P25791', 'TNFalpha'})"
"frozenset({'P49736', 'P12235', 'TNFalpha'})"
"frozenset({'Q14416', 'Q9Y3R0', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q14315', 'Q9H492'})"
"frozenset({'P53611', 'Q8IW50', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13573', 'Q92499'})"
"frozenset({'Q9BQE3', 'TNFalpha', 'Q9H3D4'})"
"frozenset({'TNFalpha', 'P11940', 'Q00653'})"
"frozenset({'O15297', 'TNFalpha', 'Q00987'})"
"frozenset({'Q99943', 'Q9UBU9', 'TNFalpha'})"
"frozenset({'O96008', 'P09622', 'TNFalpha'})"
"frozenset({'P02545', 'TNFalpha', 'P22626'})"
"frozenset({'P54253', 'Q15038', 'TNFalpha'})"
"frozenset({'O14777', 'TNFalpha', 'Q96ES7'})"
"frozenset({'Q8N3L3', 'TNFalpha', 'Q96EV8'})"
"frozenset({'Q15119', 'Q9Y279', 'TNFalpha'})"
"frozenset({'P38936', 'TNFalpha', 'P07437'})"
"frozenset({'TNFalpha', 'P55061', 'Q9NZS9'})"
"frozenset({'Q15139', 'TNFalpha', 'P12830'})"
"frozenset({'Q9UKA4', 'TNFalpha', 'P62136'})"
"frozenset({'Q13535', 'Q9Y4R8', 'TNFalpha'})"
"frozenset({'Q16854', 'P11137', 'TNFalpha'})"
"frozenset({'P33993', 'Q02086', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q8TEW0', 'Q9H2G2'})"
"frozenset({'P49418', 'Q16659', 'TNFalpha'})"
"frozenset({'Q02156', 'P40763', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P61221', 'Q9NQG5'})"
"frozenset({'Q9H3P2', 'P30876', 'TNFalpha'})"
"frozenset({'P28702', 'TNFalpha', 'Q15648'})"
"frozenset({'Q8TCE9', 'TNFalpha', 'Q9UJV3'})"
"frozenset({'Q92734', 'TNFalpha', 'Q96LM6'})"
"frozenset({'Q96JP5', 'TNFalpha', 'Q99496'})"
"frozenset({'Q08426', 'P35520', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q92733', 'Q96ST2'})"
"frozenset({'O75132', 'O00716', 'TNFalpha'})"
"frozenset({'P11802', 'P42771', 'TNFalpha'})"
"frozenset({'P32121', 'TNFalpha', 'Q8NGK5'})"
"frozenset({'Q9H8S9', 'Q04917', 'TNFalpha'})"
"frozenset({'P33993', 'P00533', 'TNFalpha'})"
