negatives
"frozenset({'P61960', 'Q96EK5', 'IL4'})"
"frozenset({'Q15554', 'O95817', 'IL4'})"
"frozenset({'Q9NQH7', 'IL4', 'P16278'})"
"frozenset({'P38405', 'Q8NH90', 'IL4'})"
"frozenset({'Q9Y6Y0', 'P53350', 'IL4'})"
"frozenset({'Q96B67', 'P54646', 'IL4'})"
"frozenset({'Q96ES7', 'Q9UBB9', 'IL4'})"
"frozenset({'O00487', 'IL4', 'P23508'})"
"frozenset({'P30260', 'IL4', 'Q9NR09'})"
"frozenset({'Q9Y446', 'IL4', 'Q00610'})"
"frozenset({'O15357', 'Q9H4G0', 'IL4'})"
"frozenset({'Q8N8R5', 'IL4', 'O75436'})"
"frozenset({'P32121', 'Q9H9Y6', 'IL4'})"
"frozenset({'Q8TAI1', 'Q7Z3S9', 'IL4'})"
"frozenset({'P13569', 'IL4', 'P08238'})"
"frozenset({'P31321', 'IL4', 'Q92569'})"
"frozenset({'IL4', 'O96000', 'P48047'})"
"frozenset({'P27361', 'P08237', 'IL4'})"
"frozenset({'Q08379', 'Q93034', 'IL4'})"
"frozenset({'P49715', 'Q05516', 'IL4'})"
"frozenset({'P24928', 'P29083', 'IL4'})"
"frozenset({'Q99816', 'IL4', 'Q16891'})"
"frozenset({'Q9P253', 'IL4', 'P56181'})"
"frozenset({'P62910', 'P62249', 'IL4'})"
"frozenset({'P50416', 'P35558', 'IL4'})"
"frozenset({'Q8ND25', 'Q96B02', 'IL4'})"
"frozenset({'Q99707', 'IL4', 'Q9Y4U1'})"
"frozenset({'P02766', 'P10909', 'IL4'})"
"frozenset({'Q6NYC1', 'P55081', 'IL4'})"
"frozenset({'O75436', 'IL4', 'Q641Q2'})"
"frozenset({'P62993', 'IL4', 'P10644'})"
"frozenset({'Q9ULZ3', 'O43353', 'IL4'})"
"frozenset({'Q9H444', 'P63279', 'IL4'})"
"frozenset({'Q9H269', 'IL4', 'Q9Y2R5'})"
"frozenset({'Q15942', 'IL4', 'Q9Y266'})"
"frozenset({'Q6NUS6', 'P30837', 'IL4'})"
"frozenset({'P13612', 'IL4', 'A4D0S4'})"
"frozenset({'Q9NPE2', 'Q6XE24', 'IL4'})"
"frozenset({'O14965', 'IL4', 'P60002'})"
"frozenset({'P19438', 'Q9UHD2', 'IL4'})"
"frozenset({'Q92832', 'Q9BSC4', 'IL4'})"
"frozenset({'Q8NEB9', 'Q14457', 'IL4'})"
"frozenset({'Q9BT22', 'Q9NRD1', 'IL4'})"
"frozenset({'P28340', 'P18887', 'IL4'})"
"frozenset({'Q14031', 'IL4', 'P26012'})"
"frozenset({'Q13501', 'P17931', 'IL4'})"
"frozenset({'Q9H0W5', 'P04040', 'IL4'})"
"frozenset({'P23588', 'P35579', 'IL4'})"
"frozenset({'Q9BYG5', 'P63104', 'IL4'})"
"frozenset({'Q6PK04', 'Q9UGY1', 'IL4'})"
"frozenset({'P51116', 'Q5VSY0', 'IL4'})"
"frozenset({'Q14152', 'IL4', 'O00571'})"
"frozenset({'P00441', 'IL4', 'P16871'})"
"frozenset({'Q71U36', 'Q9Y490', 'IL4'})"
"frozenset({'O00470', 'IL4', 'Q04743'})"
"frozenset({'O95897', 'IL4', 'Q96QV1'})"
"frozenset({'Q9P2S5', 'Q6P2I7', 'IL4'})"
"frozenset({'Q12899', 'IL4', 'Q86VQ0'})"
"frozenset({'Q01968', 'IL4', 'P52907'})"
"frozenset({'Q9H444', 'P61421', 'IL4'})"
"frozenset({'Q96I51', 'IL4', 'Q7Z6E9'})"
"frozenset({'Q8NGG4', 'O60262', 'IL4'})"
"frozenset({'P26368', 'P23284', 'IL4'})"
"frozenset({'Q8IUH5', 'Q08170', 'IL4'})"
"frozenset({'Q9HCH0', 'IL4', 'Q96BD5'})"
"frozenset({'P62807', 'IL4', 'Q9H147'})"
"frozenset({'Q9H0R1', 'Q96JI7', 'IL4'})"
"frozenset({'IL4', 'Q14669', 'Q9NRC8'})"
"frozenset({'Q13885', 'P27348', 'IL4'})"
"frozenset({'O43924', 'P62834', 'IL4'})"
"frozenset({'Q14209', 'Q9Y5K5', 'IL4'})"
"frozenset({'Q04206', 'P51580', 'IL4'})"
"frozenset({'Q49AN0', 'Q16531', 'IL4'})"
"frozenset({'P23769', 'IL4', 'P86478'})"
"frozenset({'O43166', 'O60307', 'IL4'})"
"frozenset({'Q9UPQ3', 'P60953', 'IL4'})"
"frozenset({'P16035', 'P35625', 'IL4'})"
"frozenset({'P61964', 'Q99816', 'IL4'})"
"frozenset({'Q9Y597', 'IL4', 'Q5VZ89'})"
"frozenset({'Q8N5A5', 'Q09161', 'IL4'})"
"frozenset({'Q99623', 'IL4', 'Q16566'})"
"frozenset({'Q9P2R7', 'IL4', 'Q9NQR4'})"
"frozenset({'Q8WVV9', 'P04629', 'IL4'})"
"frozenset({'Q13148', 'O43290', 'IL4'})"
"frozenset({'O75478', 'O60244', 'IL4'})"
"frozenset({'Q149N8', 'Q969H0', 'IL4'})"
"frozenset({'P49736', 'Q13835', 'IL4'})"
"frozenset({'Q9H6Y2', 'Q9UBU9', 'IL4'})"
"frozenset({'P40692', 'IL4', 'P43246'})"
"frozenset({'P54274', 'IL4', 'O15198'})"
"frozenset({'Q8N1G4', 'Q6XQN6', 'IL4'})"
"frozenset({'P30084', 'P30480', 'IL4'})"
"frozenset({'O95777', 'IL4', 'Q2TAY7'})"
"frozenset({'Q9Y3I0', 'IL4', 'O14980'})"
"frozenset({'Q99496', 'Q93034', 'IL4'})"
"frozenset({'Q15038', 'Q96G28', 'IL4'})"
"frozenset({'P61247', 'Q969G5', 'IL4'})"
"frozenset({'P01116', 'IL4', 'Q02156'})"
"frozenset({'Q9Y603', 'P41212', 'IL4'})"
"frozenset({'Q14160', 'IL4', 'Q9UDY2'})"
"frozenset({'Q9NR12', 'IL4', 'Q4KMQ1'})"
"frozenset({'Q6RFH5', 'IL4', 'Q96DB2'})"
"frozenset({'P35568', 'P08138', 'IL4'})"
"frozenset({'Q10570', 'IL4', 'Q9C0J8'})"
"frozenset({'Q8TCU6', 'IL4', 'P63211'})"
"frozenset({'Q92499', 'Q9NZC7', 'IL4'})"
"frozenset({'Q9Y580', 'IL4', 'P42285'})"
"frozenset({'P04899', 'IL4', 'Q14832'})"
"frozenset({'P15692', 'IL4', 'O14964'})"
"frozenset({'Q6A162', 'O60573', 'IL4'})"
"frozenset({'Q9UJC3', 'O60296', 'IL4'})"
"frozenset({'O60292', 'IL4', 'P47755'})"
"frozenset({'O00764', 'IL4', 'P04181'})"
"frozenset({'Q96BR9', 'P26196', 'IL4'})"
"frozenset({'P23416', 'Q9H490', 'IL4'})"
"frozenset({'P63000', 'IL4', 'O60684'})"
"frozenset({'P12272', 'P24941', 'IL4'})"
"frozenset({'P05543', 'IL4', 'P02751'})"
"frozenset({'P25116', 'IL4', 'Q9P2W3'})"
"frozenset({'P60604', 'IL4', 'Q96PX1'})"
"frozenset({'Q71SY5', 'O95402', 'IL4'})"
"frozenset({'Q86W47', 'IL4', 'P16220'})"
"frozenset({'P13682', 'Q9GZM8', 'IL4'})"
"frozenset({'Q9HC78', 'Q9UHB6', 'IL4'})"
"frozenset({'Q16543', 'Q8IYT8', 'IL4'})"
"frozenset({'Q04721', 'Q9NRM7', 'IL4'})"
"frozenset({'Q9HAV0', 'IL4', 'P51828'})"
"frozenset({'Q32M84', 'Q6ZW49', 'IL4'})"
"frozenset({'P60709', 'Q07157', 'IL4'})"
"frozenset({'Q9Y6K9', 'IL4', 'P12931'})"
"frozenset({'Q96GD4', 'P38646', 'IL4'})"
"frozenset({'IL4', 'O75147', 'P08579'})"
"frozenset({'Q9NWZ3', 'Q01638', 'IL4'})"
"frozenset({'P53350', 'IL4', 'P06748'})"
"frozenset({'O95429', 'IL4', 'Q15843'})"
"frozenset({'Q96JC9', 'Q9BU76', 'IL4'})"
"frozenset({'Q86X59', 'IL4', 'P61758'})"
"frozenset({'Q9UJV9', 'IL4', 'Q9UKM9'})"
"frozenset({'P36894', 'IL4', 'Q96FW1'})"
"frozenset({'Q13243', 'Q86V81', 'IL4'})"
"frozenset({'P30260', 'Q86T82', 'IL4'})"
"frozenset({'Q9BX63', 'Q86T82', 'IL4'})"
"frozenset({'Q5SW79', 'IL4', 'Q66GS9'})"
"frozenset({'Q15560', 'IL4', 'P52435'})"
"frozenset({'IL4', 'P22736', 'P40939'})"
"frozenset({'Q6FI13', 'Q9Y3T9', 'IL4'})"
"frozenset({'P06899', 'IL4', 'Q16594'})"
"frozenset({'P28340', 'P12931', 'IL4'})"
"frozenset({'Q969T4', 'IL4', 'Q92560'})"
"frozenset({'Q96L33', 'O43639', 'IL4'})"
"frozenset({'Q9H2X0', 'Q7Z3S9', 'IL4'})"
"frozenset({'Q96IZ0', 'IL4', 'Q9H0W5'})"
"frozenset({'P04150', 'O43491', 'IL4'})"
"frozenset({'Q14192', 'IL4', 'P36508'})"
"frozenset({'P35968', 'IL4', 'Q92529'})"
"frozenset({'Q96EV2', 'Q15554', 'IL4'})"
"frozenset({'O95249', 'O75396', 'IL4'})"
"frozenset({'O14965', 'Q9NYA4', 'IL4'})"
"frozenset({'P55036', 'Q13155', 'IL4'})"
"frozenset({'P12236', 'P31930', 'IL4'})"
"frozenset({'P29274', 'IL4', 'Q99418'})"
"frozenset({'P02751', 'IL4', 'P08253'})"
"frozenset({'P46977', 'Q15717', 'IL4'})"
"frozenset({'Q9BQ52', 'IL4', 'Q8NBJ4'})"
"frozenset({'Q6ZYL4', 'P51946', 'IL4'})"
"frozenset({'O43852', 'P17612', 'IL4'})"
"frozenset({'P11274', 'P60953', 'IL4'})"
"frozenset({'Q8TAB5', 'Q4VCS5', 'IL4'})"
"frozenset({'Q8IU85', 'Q13564', 'IL4'})"
"frozenset({'Q92731', 'IL4', 'Q7Z4L5'})"
"frozenset({'Q00013', 'IL4', 'Q86X19'})"
"frozenset({'Q8IWI9', 'Q6K0P9', 'IL4'})"
"frozenset({'P01106', 'P49321', 'IL4'})"
"frozenset({'Q9NZ08', 'IL4', 'P01889'})"
"frozenset({'Q9BRP1', 'Q9UKP3', 'IL4'})"
"frozenset({'O95433', 'IL4', 'P31948'})"
"frozenset({'IL4', 'P57078', 'P25685'})"
"frozenset({'O75150', 'Q15019', 'IL4'})"
"frozenset({'P27348', 'IL4', 'Q9GZS3'})"
"frozenset({'O75781', 'IL4', 'Q86X19'})"
"frozenset({'Q92830', 'O43318', 'IL4'})"
"frozenset({'P11142', 'P31689', 'IL4'})"
"frozenset({'Q13287', 'IL4', 'Q6PEY2'})"
"frozenset({'Q9Y2Q3', 'IL4', 'Q92797'})"
"frozenset({'Q6S5L8', 'IL4', 'P10275'})"
"frozenset({'Q8IWL3', 'IL4', 'Q9NR56'})"
"frozenset({'Q08ET2', 'O43914', 'IL4'})"
"frozenset({'Q8IUF1', 'IL4', 'P51957'})"
"frozenset({'IL4', 'Q96PM5', 'P51668'})"
"frozenset({'Q15717', 'Q99943', 'IL4'})"
"frozenset({'Q9UL18', 'IL4', 'P04637'})"
"frozenset({'P62256', 'Q9BRZ2', 'IL4'})"
"frozenset({'Q5VST9', 'Q01484', 'IL4'})"
"frozenset({'O14965', 'O95983', 'IL4'})"
"frozenset({'P14598', 'IL4', 'P08253'})"
"frozenset({'Q9UJZ1', 'IL4', 'O14949'})"
"frozenset({'P20749', 'P10145', 'IL4'})"
"frozenset({'P0DMV8', 'Q9UDY4', 'IL4'})"
"frozenset({'P36578', 'Q86VP6', 'IL4'})"
"frozenset({'Q01968', 'Q7LGA3', 'IL4'})"
"frozenset({'Q9Y2I6', 'O95425', 'IL4'})"
"frozenset({'P28074', 'IL4', 'Q14318'})"
"frozenset({'Q9Y4E8', 'P51784', 'IL4'})"
"frozenset({'Q9HBY8', 'P17987', 'IL4'})"
"frozenset({'P54709', 'P23786', 'IL4'})"
"frozenset({'P50991', 'Q99759', 'IL4'})"
"frozenset({'Q8IX90', 'Q9H8V3', 'IL4'})"
"frozenset({'Q96HI0', 'Q96RG2', 'IL4'})"
"frozenset({'P11021', 'P27694', 'IL4'})"
"frozenset({'P12270', 'Q05519', 'IL4'})"
"frozenset({'Q9Y6E0', 'IL4', 'Q9UJA5'})"
"frozenset({'P49795', 'IL4', 'P30793'})"
"frozenset({'P52597', 'Q14683', 'IL4'})"
"frozenset({'P37198', 'Q86VP6', 'IL4'})"
"frozenset({'P35968', 'Q9H3M7', 'IL4'})"
"frozenset({'Q9H0G5', 'Q96PU5', 'IL4'})"
"frozenset({'Q9GZT8', 'O15197', 'IL4'})"
"frozenset({'Q9NRD5', 'Q4KWH8', 'IL4'})"
"frozenset({'P49427', 'IL4', 'P10244'})"
"frozenset({'Q9P253', 'Q16659', 'IL4'})"
"frozenset({'Q9UBC3', 'IL4', 'Q15843'})"
"frozenset({'P53680', 'IL4', 'Q6PD74'})"
"frozenset({'P22223', 'P35221', 'IL4'})"
"frozenset({'Q96SF7', 'Q86UW9', 'IL4'})"
"frozenset({'O75478', 'IL4', 'Q8WW24'})"
"frozenset({'Q8WZ74', 'IL4', 'P48643'})"
"frozenset({'Q9ULX6', 'Q99759', 'IL4'})"
"frozenset({'P35226', 'IL4', 'Q9UN86'})"
"frozenset({'O75581', 'IL4', 'Q13467'})"
"frozenset({'P04843', 'Q8NBX0', 'IL4'})"
"frozenset({'Q16623', 'IL4', 'O95183'})"
"frozenset({'Q01850', 'IL4', 'Q9H0I2'})"
"frozenset({'Q03252', 'IL4', 'P33993'})"
"frozenset({'Q7Z4I7', 'Q7Z3S9', 'IL4'})"
"frozenset({'IL4', 'Q99460', 'Q13561'})"
"frozenset({'Q9UKV8', 'Q9NXH9', 'IL4'})"
"frozenset({'P42680', 'P62993', 'IL4'})"
"frozenset({'Q16637', 'IL4', 'O15116'})"
"frozenset({'Q08379', 'IL4', 'Q15398'})"
"frozenset({'P05412', 'IL4', 'P21796'})"
"frozenset({'Q16543', 'IL4', 'Q6NZI2'})"
"frozenset({'Q13043', 'Q13418', 'IL4'})"
"frozenset({'O76071', 'IL4', 'O76031'})"
"frozenset({'Q68E01', 'IL4', 'Q96CB8'})"
"frozenset({'P19320', 'Q9H444', 'IL4'})"
"frozenset({'Q96FJ2', 'IL4', 'Q9P2Z0'})"
"frozenset({'P12931', 'Q9Y3L3', 'IL4'})"
"frozenset({'P10145', 'P14780', 'IL4'})"
"frozenset({'Q96RT1', 'P20020', 'IL4'})"
"frozenset({'Q9BZF3', 'IL4', 'Q5VZ89'})"
"frozenset({'P62753', 'P49207', 'IL4'})"
"frozenset({'P14618', 'Q6P1J9', 'IL4'})"
"frozenset({'Q9BV73', 'A7MCY6', 'IL4'})"
"frozenset({'Q9H8V3', 'Q8N1F7', 'IL4'})"
"frozenset({'Q7L8L6', 'IL4', 'Q8TF05'})"
"frozenset({'IL4', 'O14980', 'P25054'})"
"frozenset({'O15297', 'O43707', 'IL4'})"
"frozenset({'Q9BR76', 'Q16531', 'IL4'})"
"frozenset({'Q9P203', 'Q13618', 'IL4'})"
"frozenset({'Q9Y287', 'IL4', 'Q86X19'})"
"frozenset({'Q6FI13', 'P62937', 'IL4'})"
"frozenset({'Q7Z353', 'IL4', 'Q5TD97'})"
"frozenset({'Q9NR50', 'IL4', 'P32249'})"
"frozenset({'P63010', 'IL4', 'Q9H0H5'})"
"frozenset({'P31483', 'Q13619', 'IL4'})"
"frozenset({'Q08334', 'Q9NPF7', 'IL4'})"
"frozenset({'O95257', 'P12814', 'IL4'})"
"frozenset({'P05109', 'Q9BQ83', 'IL4'})"
"frozenset({'O15111', 'IL4', 'Q9BXL7'})"
"frozenset({'Q14254', 'IL4', 'O75147'})"
"frozenset({'P14314', 'Q5JRX3', 'IL4'})"
"frozenset({'Q9UKI2', 'Q38SD2', 'IL4'})"
"frozenset({'O43741', 'IL4', 'Q16609'})"
"frozenset({'Q96T37', 'IL4', 'Q9NRC8'})"
"frozenset({'Q14197', 'Q6IN84', 'IL4'})"
"frozenset({'Q9NZM3', 'IL4', 'P42566'})"
"frozenset({'Q9NR30', 'IL4', 'O43390'})"
"frozenset({'P11387', 'Q13618', 'IL4'})"
"frozenset({'IL4', 'Q5T751', 'Q9UKJ5'})"
"frozenset({'Q86TW2', 'IL4', 'Q16891'})"
"frozenset({'P21912', 'P19320', 'IL4'})"
"frozenset({'O95568', 'IL4', 'Q92522'})"
"frozenset({'P20248', 'Q13309', 'IL4'})"
"frozenset({'Q96KN8', 'P05067', 'IL4'})"
"frozenset({'P27987', 'Q08499', 'IL4'})"
"frozenset({'P99999', 'IL4', 'Q8WUK0'})"
"frozenset({'P57086', 'P27361', 'IL4'})"
"frozenset({'Q9UNM6', 'IL4', 'Q06323'})"
"frozenset({'P10914', 'Q03001', 'IL4'})"
"frozenset({'Q13418', 'P06576', 'IL4'})"
"frozenset({'Q13310', 'O43290', 'IL4'})"
"frozenset({'Q96PK6', 'Q15633', 'IL4'})"
"frozenset({'Q92733', 'Q9P2S5', 'IL4'})"
"frozenset({'Q6ZRQ5', 'IL4', 'P33993'})"
"frozenset({'P20618', 'Q9UNM6', 'IL4'})"
"frozenset({'P62837', 'Q2KHR3', 'IL4'})"
"frozenset({'P19320', 'P53990', 'IL4'})"
"frozenset({'Q8IWZ5', 'IL4', 'Q7L273'})"
"frozenset({'P43243', 'IL4', 'O00161'})"
"frozenset({'Q6PK04', 'Q15554', 'IL4'})"
"frozenset({'Q6L8G9', 'IL4', 'P60370'})"
"frozenset({'Q15717', 'IL4', 'Q15022'})"
"frozenset({'P54652', 'Q9Y6K9', 'IL4'})"
"frozenset({'P14373', 'Q9NNX1', 'IL4'})"
"frozenset({'Q6NUS6', 'O75306', 'IL4'})"
"frozenset({'Q14511', 'Q96J02', 'IL4'})"
"frozenset({'Q13347', 'P62995', 'IL4'})"
"frozenset({'O60216', 'P49746', 'IL4'})"
"frozenset({'Q6VN20', 'IL4', 'P46531'})"
"frozenset({'Q13573', 'Q15560', 'IL4'})"
"frozenset({'IL4', 'P63172', 'Q13748'})"
"frozenset({'Q15424', 'P13473', 'IL4'})"
"frozenset({'Q9UBU9', 'IL4', 'Q9HAV4'})"
"frozenset({'P51805', 'IL4', 'Q9Y5E8'})"
"frozenset({'Q99873', 'IL4', 'O95758'})"
"frozenset({'Q03164', 'Q9UNP9', 'IL4'})"
"frozenset({'P28074', 'Q9P2I0', 'IL4'})"
"frozenset({'P61247', 'IL4', 'Q6VMQ6'})"
"frozenset({'Q96EB1', 'IL4', 'O95503'})"
"frozenset({'P23588', 'P78362', 'IL4'})"
"frozenset({'Q6ZNA4', 'P61086', 'IL4'})"
"frozenset({'P35240', 'IL4', 'Q13153'})"
"frozenset({'P17040', 'IL4', 'Q9Y5X1'})"
"frozenset({'Q13617', 'P16989', 'IL4'})"
"frozenset({'P06702', 'IL4', 'O43143'})"
"frozenset({'O60637', 'IL4', 'P21802'})"
"frozenset({'Q96K17', 'IL4', 'Q9H009'})"
"frozenset({'Q7L8L6', 'Q01860', 'IL4'})"
"frozenset({'P58166', 'P17676', 'IL4'})"
"frozenset({'O00444', 'IL4', 'O00139'})"
"frozenset({'P01106', 'Q9NRZ9', 'IL4'})"
"frozenset({'Q4VCS5', 'Q9UPS8', 'IL4'})"
"frozenset({'O14965', 'IL4', 'Q92688'})"
"frozenset({'Q01081', 'Q9UMS4', 'IL4'})"
"frozenset({'P78527', 'Q99615', 'IL4'})"
"frozenset({'P18827', 'IL4', 'P05106'})"
"frozenset({'O15287', 'Q8N448', 'IL4'})"
"frozenset({'Q12952', 'IL4', 'Q14139'})"
"frozenset({'Q96PL5', 'Q4G0N4', 'IL4'})"
"frozenset({'Q9UKJ5', 'IL4', 'Q9BYR5'})"
"frozenset({'P12955', 'P61604', 'IL4'})"
"frozenset({'Q9UPN4', 'IL4', 'Q86VQ0'})"
"frozenset({'O95168', 'Q9P0L0', 'IL4'})"
"frozenset({'P52701', 'P84243', 'IL4'})"
"frozenset({'Q86XR8', 'P13646', 'IL4'})"
"frozenset({'Q53GL7', 'IL4', 'Q9Y530'})"
"frozenset({'P38936', 'IL4', 'P07900'})"
"frozenset({'P61964', 'O75461', 'IL4'})"
"frozenset({'Q96M89', 'Q8N0Z3', 'IL4'})"
"frozenset({'O75947', 'P25106', 'IL4'})"
"frozenset({'P30260', 'P35222', 'IL4'})"
"frozenset({'P25800', 'IL4', 'O14627'})"
"frozenset({'O00483', 'P53985', 'IL4'})"
"frozenset({'P61254', 'Q8IZL8', 'IL4'})"
"frozenset({'Q96JN0', 'IL4', 'P35251'})"
"frozenset({'O75528', 'P25440', 'IL4'})"
"frozenset({'Q9Y399', 'Q8IXZ2', 'IL4'})"
"frozenset({'O00512', 'Q01844', 'IL4'})"
"frozenset({'P62701', 'IL4', 'P60520'})"
"frozenset({'Q9BXR5', 'P29350', 'IL4'})"
"frozenset({'Q9UBK7', 'Q9UNY4', 'IL4'})"
"frozenset({'P06241', 'Q00535', 'IL4'})"
"frozenset({'P55040', 'Q9GZV8', 'IL4'})"
"frozenset({'P82279', 'IL4', 'Q15714'})"
"frozenset({'P67809', 'Q13765', 'IL4'})"
"frozenset({'P24941', 'IL4', 'P62306'})"
"frozenset({'O00214', 'IL4', 'Q16720'})"
"frozenset({'B7ZAQ6', 'Q96J42', 'IL4'})"
"frozenset({'P40692', 'O75152', 'IL4'})"
"frozenset({'Q9BQ69', 'O14920', 'IL4'})"
"frozenset({'Q9H446', 'IL4', 'Q8WZA2'})"
"frozenset({'P17028', 'IL4', 'Q92993'})"
"frozenset({'Q99550', 'Q6ZU80', 'IL4'})"
"frozenset({'Q8WV92', 'IL4', 'P51148'})"
"frozenset({'O00257', 'P68431', 'IL4'})"
"frozenset({'P42765', 'Q99798', 'IL4'})"
"frozenset({'P09651', 'IL4', 'Q92841'})"
"frozenset({'Q14209', 'Q14192', 'IL4'})"
"frozenset({'Q96M89', 'Q49A88', 'IL4'})"
"frozenset({'O95456', 'Q01813', 'IL4'})"
"frozenset({'Q13098', 'P55789', 'IL4'})"
"frozenset({'P38919', 'IL4', 'O75688'})"
"frozenset({'O43143', 'IL4', 'Q9NRC8'})"
"frozenset({'P49418', 'O00165', 'IL4'})"
"frozenset({'P62280', 'O95758', 'IL4'})"
"frozenset({'P60410', 'IL4', 'Q9BYR3'})"
"frozenset({'Q9UM82', 'Q9P209', 'IL4'})"
"frozenset({'P56537', 'IL4', 'P04181'})"
"frozenset({'Q9Y4B5', 'IL4', 'P30153'})"
"frozenset({'Q96N67', 'Q9Y2L9', 'IL4'})"
"frozenset({'P10144', 'O95155', 'IL4'})"
"frozenset({'P52732', 'P78362', 'IL4'})"
"frozenset({'Q13107', 'IL4', 'Q15118'})"
"frozenset({'Q6NT76', 'IL4', 'O43167'})"
"frozenset({'P30825', 'P05067', 'IL4'})"
"frozenset({'O14979', 'O75530', 'IL4'})"
"frozenset({'Q8WUK0', 'IL4', 'P48047'})"
"frozenset({'Q9NWT6', 'Q9NU02', 'IL4'})"
"frozenset({'P21673', 'IL4', 'Q15047'})"
"frozenset({'Q04759', 'O43318', 'IL4'})"
"frozenset({'Q6P9B9', 'IL4', 'Q8WVE6'})"
"frozenset({'P14373', 'IL4', 'A1A519'})"
"frozenset({'P36873', 'IL4', 'Q9HCD5'})"
"frozenset({'P01130', 'IL4', 'P17948'})"
"frozenset({'P51116', 'IL4', 'Q96NC0'})"
"frozenset({'P60660', 'Q99714', 'IL4'})"
"frozenset({'Q00325', 'Q8IX01', 'IL4'})"
"frozenset({'P78362', 'Q9Y4C8', 'IL4'})"
"frozenset({'P27487', 'IL4', 'P48061'})"
"frozenset({'P50552', 'Q6XZF7', 'IL4'})"
"frozenset({'Q8IYF3', 'P38936', 'IL4'})"
"frozenset({'O75420', 'IL4', 'Q14966'})"
"frozenset({'P02751', 'IL4', 'Q9BSJ8'})"
"frozenset({'Q9BRT8', 'Q9UNY4', 'IL4'})"
"frozenset({'Q8IZU0', 'Q7Z7H8', 'IL4'})"
"frozenset({'Q13363', 'IL4', 'Q96MY1'})"
"frozenset({'P62195', 'Q07812', 'IL4'})"
"frozenset({'P07550', 'P04406', 'IL4'})"
"frozenset({'Q9BZL3', 'Q9BXN2', 'IL4'})"
"frozenset({'Q9BZX2', 'IL4', 'Q9H0W5'})"
"frozenset({'P63104', 'P06576', 'IL4'})"
"frozenset({'Q02535', 'IL4', 'P18847'})"
"frozenset({'P45984', 'IL4', 'P19419'})"
"frozenset({'Q8N8B7', 'Q9Y2I6', 'IL4'})"
"frozenset({'Q5TCZ1', 'Q13315', 'IL4'})"
"frozenset({'Q53H76', 'P78527', 'IL4'})"
"frozenset({'Q13188', 'IL4', 'O43847'})"
"frozenset({'P24928', 'IL4', 'P60866'})"
"frozenset({'P27348', 'O43379', 'IL4'})"
"frozenset({'O43290', 'Q15459', 'IL4'})"
"frozenset({'O00148', 'Q8TCT1', 'IL4'})"
"frozenset({'Q08AM6', 'Q03989', 'IL4'})"
"frozenset({'Q96BD8', 'Q8TD31', 'IL4'})"
"frozenset({'F7VJQ1', 'Q8NDX6', 'IL4'})"
"frozenset({'O43741', 'P59768', 'IL4'})"
"frozenset({'P59990', 'IL4', 'P32242'})"
"frozenset({'A6NM45', 'IL4', 'C9JDP6'})"
"frozenset({'P37802', 'IL4', 'Q9HCE1'})"
"frozenset({'IL4', 'Q8IWX8', 'P15927'})"
"frozenset({'Q86VR2', 'IL4', 'Q15041'})"
"frozenset({'O75604', 'Q9BRK4', 'IL4'})"
"frozenset({'P55010', 'O15067', 'IL4'})"
"frozenset({'P45973', 'P61254', 'IL4'})"
"frozenset({'Q9Y463', 'IL4', 'Q9P2F8'})"
"frozenset({'P19784', 'O00562', 'IL4'})"
"frozenset({'O15027', 'IL4', 'Q9NX05'})"
"frozenset({'Q15560', 'Q9BRK4', 'IL4'})"
"frozenset({'Q53H96', 'IL4', 'P49721'})"
"frozenset({'Q96ID5', 'P49841', 'IL4'})"
"frozenset({'P49736', 'P15104', 'IL4'})"
"frozenset({'Q03135', 'P19174', 'IL4'})"
"frozenset({'Q9H4B7', 'IL4', 'Q9NY65'})"
"frozenset({'P06400', 'IL4', 'B7ZAP0'})"
"frozenset({'A8MQ03', 'O60336', 'IL4'})"
"frozenset({'Q92731', 'Q5D862', 'IL4'})"
"frozenset({'Q99615', 'IL4', 'Q92834'})"
"frozenset({'Q8N9M1', 'Q15006', 'IL4'})"
"frozenset({'O95837', 'IL4', 'O96015'})"
"frozenset({'Q66GS9', 'IL4', 'Q9UPQ9'})"
"frozenset({'Q9BYT8', 'IL4', 'Q9BYD2'})"
"frozenset({'Q96EL3', 'IL4', 'Q8IWZ8'})"
"frozenset({'Q9H9A5', 'Q9ULM6', 'IL4'})"
"frozenset({'Q9NWA0', 'Q71SY5', 'IL4'})"
"frozenset({'IL4', 'P08246', 'P05121'})"
"frozenset({'Q8NH50', 'IL4', 'P49407'})"
"frozenset({'Q8IV48', 'P43363', 'IL4'})"
"frozenset({'P04217', 'Q8WTS6', 'IL4'})"
"frozenset({'P05129', 'IL4', 'Q9NQ66'})"
"frozenset({'Q6UVJ0', 'Q9UPN4', 'IL4'})"
"frozenset({'Q9HC21', 'IL4', 'O95229'})"
"frozenset({'Q8TAU3', 'Q99750', 'IL4'})"
"frozenset({'P06729', 'P09326', 'IL4'})"
"frozenset({'Q9UNA4', 'P05067', 'IL4'})"
"frozenset({'Q16589', 'IL4', 'P67775'})"
"frozenset({'P08579', 'IL4', 'O14879'})"
"frozenset({'P0C1Z6', 'O43482', 'IL4'})"
"frozenset({'Q9NV79', 'Q15370', 'IL4'})"
"frozenset({'Q38SD2', 'O00585', 'IL4'})"
"frozenset({'P25705', 'IL4', 'P05141'})"
"frozenset({'O00400', 'Q14155', 'IL4'})"
