negatives
"frozenset({'O14807', 'EGFR1', 'Q9P2W3'})"
"frozenset({'Q8TCT9', 'Q6P1J9', 'EGFR1'})"
"frozenset({'Q969L4', 'EGFR1', 'P62304'})"
"frozenset({'P42765', 'EGFR1', 'P09651'})"
"frozenset({'Q9Y287', 'Q8IWV7', 'EGFR1'})"
"frozenset({'B0YJ81', 'P04279', 'EGFR1'})"
"frozenset({'Q15800', 'EGFR1', 'Q9BQB6'})"
"frozenset({'P13612', 'Q14315', 'EGFR1'})"
"frozenset({'Q8N668', 'EGFR1', 'Q04206'})"
"frozenset({'P05067', 'EGFR1', 'Q96FQ6'})"
"frozenset({'O00295', 'Q96SB4', 'EGFR1'})"
"frozenset({'Q9HB71', 'EGFR1', 'Q5H9I0'})"
"frozenset({'O60260', 'P42566', 'EGFR1'})"
"frozenset({'Q9UK32', 'EGFR1', 'Q75N90'})"
"frozenset({'Q02297', 'Q5U3C3', 'EGFR1'})"
"frozenset({'Q9GZM6', 'EGFR1', 'O60262'})"
"frozenset({'O95834', 'EGFR1', 'O95467'})"
"frozenset({'P18564', 'EGFR1', 'O75578'})"
"frozenset({'P63279', 'EGFR1', 'P52272'})"
"frozenset({'O00483', 'O75380', 'EGFR1'})"
"frozenset({'P04150', 'Q9UKY1', 'EGFR1'})"
"frozenset({'Q96N58', 'EGFR1', 'P60410'})"
"frozenset({'P25788', 'P60709', 'EGFR1'})"
"frozenset({'O43390', 'EGFR1', 'Q7L2J0'})"
"frozenset({'O95758', 'Q96G25', 'EGFR1'})"
"frozenset({'P06748', 'EGFR1', 'Q7Z6Z7'})"
"frozenset({'Q9NVL8', 'EGFR1', 'O75031'})"
"frozenset({'P15336', 'EGFR1', 'Q9BVG8'})"
"frozenset({'P55774', 'Q9UKR5', 'EGFR1'})"
"frozenset({'Q9UBS0', 'EGFR1', 'Q0VDF9'})"
"frozenset({'Q56NI9', 'Q08379', 'EGFR1'})"
"frozenset({'Q03431', 'Q9NRZ7', 'EGFR1'})"
"frozenset({'P31040', 'EGFR1', 'P04792'})"
"frozenset({'Q13595', 'Q9UQ35', 'EGFR1'})"
"frozenset({'O95989', 'Q00765', 'EGFR1'})"
"frozenset({'P45880', 'P99999', 'EGFR1'})"
"frozenset({'Q99801', 'Q15717', 'EGFR1'})"
"frozenset({'Q8NH02', 'P62873', 'EGFR1'})"
"frozenset({'Q9H5J8', 'Q9BQG0', 'EGFR1'})"
"frozenset({'P34059', 'EGFR1', 'P22304'})"
"frozenset({'P05113', 'Q99062', 'EGFR1'})"
"frozenset({'Q9UNS2', 'Q9P2D0', 'EGFR1'})"
"frozenset({'O14964', 'Q96LR2', 'EGFR1'})"
"frozenset({'O60506', 'EGFR1', 'P84103'})"
"frozenset({'P01106', 'O14497', 'EGFR1'})"
"frozenset({'P05388', 'EGFR1', 'P46779'})"
"frozenset({'P15884', 'EGFR1', 'Q7Z7H8'})"
"frozenset({'EGFR1', 'Q9UBU8', 'Q13573'})"
"frozenset({'O14967', 'EGFR1', 'P55058'})"
"frozenset({'Q92796', 'Q6AI08', 'EGFR1'})"
"frozenset({'P27635', 'Q7Z739', 'EGFR1'})"
"frozenset({'EGFR1', 'P05412', 'P51858'})"
"frozenset({'Q9UKS6', 'EGFR1', 'P10809'})"
"frozenset({'Q9H467', 'P28482', 'EGFR1'})"
"frozenset({'P49792', 'EGFR1', 'P11388'})"
"frozenset({'Q07666', 'P25054', 'EGFR1'})"
"frozenset({'Q9H2G2', 'EGFR1', 'P31946'})"
"frozenset({'P68371', 'EGFR1', 'Q06187'})"
"frozenset({'Q8IY67', 'P23258', 'EGFR1'})"
"frozenset({'Q13616', 'Q9NRD0', 'EGFR1'})"
"frozenset({'Q8WUA4', 'EGFR1', 'P35244'})"
"frozenset({'Q96HR9', 'EGFR1', 'Q13596'})"
"frozenset({'Q96RG2', 'Q96HI0', 'EGFR1'})"
"frozenset({'Q15005', 'EGFR1', 'Q6DKI7'})"
"frozenset({'Q8IYL2', 'EGFR1', 'P05538'})"
"frozenset({'Q6W2J9', 'Q7Z589', 'EGFR1'})"
"frozenset({'Q01844', 'O75150', 'EGFR1'})"
"frozenset({'Q9NYK5', 'Q9Y6G3', 'EGFR1'})"
"frozenset({'O14976', 'Q6ZRV2', 'EGFR1'})"
"frozenset({'O60313', 'EGFR1', 'P13639'})"
"frozenset({'Q16558', 'Q16665', 'EGFR1'})"
"frozenset({'P23229', 'EGFR1', 'P12110'})"
"frozenset({'Q9BR01', 'EGFR1', 'Q9BQC3'})"
"frozenset({'O75147', 'Q13435', 'EGFR1'})"
"frozenset({'P09651', 'EGFR1', 'P07900'})"
"frozenset({'P54619', 'Q9UGJ0', 'EGFR1'})"
"frozenset({'Q04917', 'Q712K3', 'EGFR1'})"
"frozenset({'Q9BVA1', 'EGFR1', 'Q8TDR0'})"
"frozenset({'Q9NP95', 'EGFR1', 'P07333'})"
"frozenset({'P02100', 'EGFR1', 'P21860'})"
"frozenset({'Q92752', 'EGFR1', 'O43639'})"
"frozenset({'P61970', 'Q9UBU9', 'EGFR1'})"
"frozenset({'Q9H5I1', 'EGFR1', 'Q68EA5'})"
"frozenset({'Q9Y483', 'EGFR1', 'Q92569'})"
"frozenset({'P23508', 'EGFR1', 'Q1A5X7'})"
"frozenset({'Q15276', 'EGFR1', 'Q9NZM3'})"
"frozenset({'O95994', 'EGFR1', 'Q9UMX0'})"
"frozenset({'Q86VP6', 'EGFR1', 'O95678'})"
"frozenset({'Q99418', 'P31947', 'EGFR1'})"
"frozenset({'O75530', 'Q92597', 'EGFR1'})"
"frozenset({'Q9UKL0', 'Q969G3', 'EGFR1'})"
"frozenset({'Q9Y450', 'Q9Y698', 'EGFR1'})"
"frozenset({'Q9UJV9', 'EGFR1', 'P23246'})"
"frozenset({'P29400', 'Q8NG31', 'EGFR1'})"
"frozenset({'Q9BXA7', 'EGFR1', 'Q14C86'})"
"frozenset({'Q7Z401', 'EGFR1', 'Q9NPI1'})"
"frozenset({'P60520', 'EGFR1', 'Q86W42'})"
"frozenset({'EGFR1', 'P49711', 'Q96HE9'})"
"frozenset({'P61952', 'P16520', 'EGFR1'})"
"frozenset({'EGFR1', 'P19387', 'Q9NQG5'})"
"frozenset({'P05067', 'EGFR1', 'Q6IAN0'})"
"frozenset({'Q15884', 'EGFR1', 'Q16850'})"
"frozenset({'P18848', 'P05412', 'EGFR1'})"
"frozenset({'Q9Y224', 'P60520', 'EGFR1'})"
"frozenset({'O75874', 'EGFR1', 'P43487'})"
"frozenset({'P52655', 'Q15554', 'EGFR1'})"
"frozenset({'Q08380', 'EGFR1', 'Q9BQE3'})"
"frozenset({'P07197', 'EGFR1', 'P41219'})"
"frozenset({'Q14CW9', 'Q16514', 'EGFR1'})"
"frozenset({'P34932', 'EGFR1', 'Q07820'})"
"frozenset({'P54646', 'EGFR1', 'P09874'})"
"frozenset({'Q15366', 'Q6ZW49', 'EGFR1'})"
"frozenset({'Q14134', 'EGFR1', 'P14373'})"
"frozenset({'P20809', 'EGFR1', 'Q8N6P7'})"
"frozenset({'Q9HC78', 'P21333', 'EGFR1'})"
"frozenset({'P11229', 'EGFR1', 'P29992'})"
"frozenset({'P26640', 'P11171', 'EGFR1'})"
"frozenset({'Q13310', 'EGFR1', 'Q96GG9'})"
"frozenset({'EGFR1', 'Q9P0T4', 'Q92922'})"
"frozenset({'EGFR1', 'Q14592', 'Q9H4L7'})"
"frozenset({'O95006', 'EGFR1', 'P22694'})"
"frozenset({'Q6ZW49', 'EGFR1', 'P06753'})"
"frozenset({'EGFR1', 'Q5VVQ6', 'Q969Q1'})"
"frozenset({'P15735', 'O60683', 'EGFR1'})"
"frozenset({'O15067', 'EGFR1', 'P55786'})"
"frozenset({'P35637', 'Q08431', 'EGFR1'})"
"frozenset({'Q8NGK3', 'P32121', 'EGFR1'})"
"frozenset({'Q92526', 'Q9NQW1', 'EGFR1'})"
"frozenset({'Q15048', 'EGFR1', 'Q13618'})"
"frozenset({'Q96HU1', 'Q8WUM4', 'EGFR1'})"
"frozenset({'P80370', 'Q9H7Z7', 'EGFR1'})"
"frozenset({'Q8NGP9', 'EGFR1', 'P22612'})"
"frozenset({'EGFR1', 'Q5QNW6', 'Q7L7L0'})"
"frozenset({'Q9Y375', 'P60660', 'EGFR1'})"
"frozenset({'P27658', 'EGFR1', 'Q9NRY6'})"
"frozenset({'Q8WZ19', 'EGFR1', 'Q96E35'})"
"frozenset({'P59768', 'Q9UGJ0', 'EGFR1'})"
"frozenset({'EGFR1', 'P49768', 'P29474'})"
"frozenset({'Q7KZF4', 'EGFR1', 'Q08211'})"
"frozenset({'O60331', 'P12931', 'EGFR1'})"
"frozenset({'O15297', 'O60684', 'EGFR1'})"
"frozenset({'O75147', 'EGFR1', 'O75533'})"
"frozenset({'EGFR1', 'P07333', 'P07900'})"
"frozenset({'Q13547', 'P50402', 'EGFR1'})"
"frozenset({'Q9UKI2', 'Q38SD2', 'EGFR1'})"
"frozenset({'EGFR1', 'P31946', 'Q9P2M7'})"
"frozenset({'Q9UL40', 'Q96EB6', 'EGFR1'})"
"frozenset({'Q9Y625', 'EGFR1', 'Q9NV96'})"
"frozenset({'EGFR1', 'P21281', 'Q13526'})"
"frozenset({'Q8WXF1', 'P13056', 'EGFR1'})"
"frozenset({'Q8NHQ1', 'EGFR1', 'Q8N9E0'})"
"frozenset({'Q96JG6', 'A8MW92', 'EGFR1'})"
"frozenset({'O96019', 'Q9NVN3', 'EGFR1'})"
"frozenset({'Q02556', 'EGFR1', 'Q8NDB2'})"
"frozenset({'Q9NRC8', 'O60841', 'EGFR1'})"
"frozenset({'EGFR1', 'Q92997', 'Q96H86'})"
"frozenset({'O75360', 'EGFR1', 'Q96K62'})"
"frozenset({'Q13263', 'EGFR1', 'Q9H492'})"
"frozenset({'Q5VZL5', 'EGFR1', 'Q13315'})"
"frozenset({'P30837', 'P01106', 'EGFR1'})"
"frozenset({'P49407', 'EGFR1', 'Q92522'})"
"frozenset({'O76014', 'Q9BT17', 'EGFR1'})"
"frozenset({'O75380', 'EGFR1', 'Q86Y39'})"
"frozenset({'Q15884', 'Q9H6A9', 'EGFR1'})"
"frozenset({'Q06210', 'EGFR1', 'P05412'})"
"frozenset({'Q15326', 'EGFR1', 'P27635'})"
"frozenset({'P11362', 'EGFR1', 'P10767'})"
"frozenset({'P57078', 'O43824', 'EGFR1'})"
"frozenset({'P20963', 'O75015', 'EGFR1'})"
"frozenset({'Q96PN6', 'EGFR1', 'O14610'})"
"frozenset({'P15692', 'P17948', 'EGFR1'})"
"frozenset({'Q16891', 'EGFR1', 'P17612'})"
"frozenset({'O00571', 'Q14164', 'EGFR1'})"
"frozenset({'P35250', 'EGFR1', 'Q92731'})"
"frozenset({'Q16827', 'O15530', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9BYZ6', 'Q15831'})"
"frozenset({'EGFR1', 'Q07020', 'P06576'})"
"frozenset({'P05362', 'A8MQ03', 'EGFR1'})"
"frozenset({'Q9BZI7', 'EGFR1', 'Q6DKK2'})"
"frozenset({'P35813', 'EGFR1', 'P04792'})"
"frozenset({'P34932', 'P52294', 'EGFR1'})"
"frozenset({'P32242', 'EGFR1', 'Q3LHN2'})"
"frozenset({'Q8N5S1', 'P33240', 'EGFR1'})"
"frozenset({'Q12841', 'EGFR1', 'P36894'})"
"frozenset({'P21917', 'P16333', 'EGFR1'})"
"frozenset({'Q9UQM7', 'P07101', 'EGFR1'})"
"frozenset({'Q02446', 'EGFR1', 'Q13444'})"
"frozenset({'Q969X5', 'EGFR1', 'Q15363'})"
"frozenset({'Q96T21', 'Q9H6Z9', 'EGFR1'})"
"frozenset({'Q9UPS6', 'EGFR1', 'P24928'})"
"frozenset({'Q9P2I0', 'EGFR1', 'O94913'})"
"frozenset({'P15153', 'Q9Y2A7', 'EGFR1'})"
"frozenset({'O43390', 'P07384', 'EGFR1'})"
"frozenset({'Q9C019', 'EGFR1', 'Q6UXP7'})"
"frozenset({'Q9UNS1', 'P49321', 'EGFR1'})"
"frozenset({'EGFR1', 'Q6IPR1', 'O14561'})"
"frozenset({'Q9Y5K8', 'EGFR1', 'Q9NQ50'})"
"frozenset({'P00540', 'O95273', 'EGFR1'})"
"frozenset({'Q6UY14', 'EGFR1', 'Q5T7P3'})"
"frozenset({'EGFR1', 'P04637', 'P10415'})"
"frozenset({'P21453', 'O95136', 'EGFR1'})"
"frozenset({'A5YKK6', 'EGFR1', 'Q9NPJ6'})"
"frozenset({'P12956', 'Q02241', 'EGFR1'})"
"frozenset({'O00443', 'EGFR1', 'Q00610'})"
"frozenset({'Q9BYR5', 'EGFR1', 'Q5T5B0'})"
"frozenset({'P80370', 'Q5JTW2', 'EGFR1'})"
"frozenset({'Q9Y2I6', 'Q96IZ5', 'EGFR1'})"
"frozenset({'Q8N257', 'EGFR1', 'P68431'})"
"frozenset({'Q8IYB1', 'Q96ST8', 'EGFR1'})"
"frozenset({'P04629', 'O94906', 'EGFR1'})"
"frozenset({'EGFR1', 'P27694', 'O15287'})"
"frozenset({'Q9NTM9', 'EGFR1', 'Q9Y2P4'})"
"frozenset({'Q13510', 'EGFR1', 'Q13554'})"
"frozenset({'Q96PC2', 'Q9BXP5', 'EGFR1'})"
"frozenset({'Q13325', 'EGFR1', 'O14879'})"
"frozenset({'Q9H0R8', 'EGFR1', 'O00410'})"
"frozenset({'Q9UKV5', 'EGFR1', 'Q04323'})"
"frozenset({'Q13643', 'EGFR1', 'Q8N448'})"
"frozenset({'O60858', 'EGFR1', 'P62837'})"
"frozenset({'Q9BWC9', 'P18848', 'EGFR1'})"
"frozenset({'P21912', 'EGFR1', 'P43304'})"
"frozenset({'Q00839', 'P46783', 'EGFR1'})"
"frozenset({'P04629', 'P78344', 'EGFR1'})"
"frozenset({'P38936', 'P28749', 'EGFR1'})"
"frozenset({'O75530', 'EGFR1', 'Q9Y230'})"
"frozenset({'P61978', 'EGFR1', 'Q8WWY3'})"
"frozenset({'P49588', 'P41252', 'EGFR1'})"
"frozenset({'Q99935', 'EGFR1', 'P36915'})"
"frozenset({'P49368', 'O14775', 'EGFR1'})"
"frozenset({'Q04759', 'Q05513', 'EGFR1'})"
"frozenset({'P54252', 'P63165', 'EGFR1'})"
"frozenset({'P15927', 'EGFR1', 'Q92804'})"
"frozenset({'Q13315', 'EGFR1', 'Q9ULM3'})"
"frozenset({'P02008', 'EGFR1', 'Q9HAU5'})"
"frozenset({'Q9Y5K6', 'EGFR1', 'P28300'})"
"frozenset({'P06493', 'Q8NHZ8', 'EGFR1'})"
"frozenset({'Q96Q15', 'EGFR1', 'P13639'})"
"frozenset({'O94868', 'EGFR1', 'P78371'})"
"frozenset({'EGFR1', 'P12814', 'O94850'})"
"frozenset({'O60684', 'P09467', 'EGFR1'})"
"frozenset({'Q16637', 'Q15047', 'EGFR1'})"
"frozenset({'EGFR1', 'Q8TBB1', 'O43805'})"
"frozenset({'Q04917', 'O95758', 'EGFR1'})"
"frozenset({'Q08050', 'EGFR1', 'P53350'})"
"frozenset({'Q9UKT9', 'O75558', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9Y2S7', 'Q9NQH7'})"
"frozenset({'Q96SD1', 'Q08379', 'EGFR1'})"
"frozenset({'P01023', 'EGFR1', 'Q9UHI8'})"
"frozenset({'EGFR1', 'P02751', 'Q9P2J5'})"
"frozenset({'Q9H2M9', 'EGFR1', 'Q9Y223'})"
"frozenset({'P46092', 'Q8WTQ7', 'EGFR1'})"
"frozenset({'Q86X19', 'EGFR1', 'Q92738'})"
"frozenset({'Q9NWX5', 'Q96JM7', 'EGFR1'})"
"frozenset({'Q9UPV9', 'P01106', 'EGFR1'})"
"frozenset({'P00519', 'EGFR1', 'Q8IZD9'})"
"frozenset({'Q14678', 'Q9UBU9', 'EGFR1'})"
"frozenset({'Q9BTV6', 'EGFR1', 'Q13618'})"
"frozenset({'Q01518', 'EGFR1', 'Q9NYB9'})"
"frozenset({'Q15554', 'O60522', 'EGFR1'})"
"frozenset({'P11362', 'EGFR1', 'P55075'})"
"frozenset({'P08575', 'P04626', 'EGFR1'})"
"frozenset({'Q15654', 'EGFR1', 'Q96HA1'})"
"frozenset({'EGFR1', 'P15172', 'O43463'})"
"frozenset({'Q93075', 'Q9HBV2', 'EGFR1'})"
"frozenset({'Q9H0R8', 'Q5VTL8', 'EGFR1'})"
"frozenset({'Q9NPF5', 'P68133', 'EGFR1'})"
"frozenset({'Q8IXB1', 'P04626', 'EGFR1'})"
"frozenset({'EGFR1', 'P11182', 'Q8TAA5'})"
"frozenset({'Q6NUS6', 'EGFR1', 'P16615'})"
"frozenset({'P34947', 'P49411', 'EGFR1'})"
"frozenset({'P62244', 'EGFR1', 'P40337'})"
"frozenset({'Q2TAL8', 'P05067', 'EGFR1'})"
"frozenset({'EGFR1', 'P02787', 'Q9NQZ2'})"
"frozenset({'Q96BX8', 'Q15717', 'EGFR1'})"
"frozenset({'Q8IWT6', 'EGFR1', 'Q6P5W5'})"
"frozenset({'EGFR1', 'O43763', 'P78424'})"
"frozenset({'Q16637', 'P62316', 'EGFR1'})"
"frozenset({'Q9NZJ5', 'EGFR1', 'Q16236'})"
"frozenset({'P13056', 'EGFR1', 'P23246'})"
"frozenset({'P26371', 'P60412', 'EGFR1'})"
"frozenset({'P23771', 'EGFR1', 'P24941'})"
"frozenset({'Q9Y262', 'EGFR1', 'P41220'})"
"frozenset({'Q4V328', 'O75604', 'EGFR1'})"
"frozenset({'P07550', 'EGFR1', 'Q9UJS0'})"
"frozenset({'P0C862', 'EGFR1', 'Q8IYK4'})"
"frozenset({'O75530', 'O60341', 'EGFR1'})"
"frozenset({'O60496', 'EGFR1', 'P24394'})"
"frozenset({'A1L4K1', 'EGFR1', 'Q16670'})"
"frozenset({'EGFR1', 'Q9UPV0', 'Q99848'})"
"frozenset({'O14980', 'EGFR1', 'Q9Y2L6'})"
"frozenset({'O14905', 'EGFR1', 'O00144'})"
"frozenset({'EGFR1', 'Q86UW6', 'O15350'})"
"frozenset({'EGFR1', 'Q86Y13', 'P0C0S5'})"
"frozenset({'P51686', 'P78423', 'EGFR1'})"
"frozenset({'Q8TES7', 'Q9BRK4', 'EGFR1'})"
"frozenset({'Q9UNN5', 'Q9NXC5', 'EGFR1'})"
"frozenset({'P46109', 'P05556', 'EGFR1'})"
"frozenset({'P35916', 'EGFR1', 'P07900'})"
"frozenset({'Q15572', 'EGFR1', 'Q16637'})"
"frozenset({'P16949', 'Q09472', 'EGFR1'})"
"frozenset({'Q13228', 'P27694', 'EGFR1'})"
"frozenset({'P41235', 'O00257', 'EGFR1'})"
"frozenset({'O76011', 'EGFR1', 'Q6NYC8'})"
"frozenset({'P10275', 'EGFR1', 'P21860'})"
"frozenset({'EGFR1', 'Q9H6E5', 'Q9NRD1'})"
"frozenset({'O00311', 'EGFR1', 'Q9H2S9'})"
"frozenset({'P25963', 'EGFR1', 'Q71UM5'})"
"frozenset({'Q3SYB3', 'P14373', 'EGFR1'})"
"frozenset({'P14923', 'EGFR1', 'Q9NQB0'})"
"frozenset({'Q13033', 'P23508', 'EGFR1'})"
"frozenset({'Q96KB5', 'Q9Y6X8', 'EGFR1'})"
"frozenset({'Q9ULK4', 'EGFR1', 'Q9Y4A5'})"
"frozenset({'P33527', 'Q14318', 'EGFR1'})"
"frozenset({'Q96JH7', 'EGFR1', 'Q04323'})"
"frozenset({'P00533', 'EGFR1', 'Q08881'})"
"frozenset({'Q05655', 'P35232', 'EGFR1'})"
"frozenset({'Q9NRR5', 'EGFR1', 'Q9H492'})"
"frozenset({'Q92597', 'EGFR1', 'P78318'})"
"frozenset({'P11940', 'Q14164', 'EGFR1'})"
"frozenset({'Q12913', 'EGFR1', 'P12830'})"
"frozenset({'EGFR1', 'P57678', 'Q3LI77'})"
"frozenset({'P37059', 'Q96RQ1', 'EGFR1'})"
"frozenset({'EGFR1', 'Q13422', 'Q06187'})"
"frozenset({'EGFR1', 'Q14011', 'Q15415'})"
"frozenset({'P01106', 'Q9BWT1', 'EGFR1'})"
"frozenset({'P33316', 'EGFR1', 'Q13618'})"
"frozenset({'P05067', 'EGFR1', 'Q99618'})"
"frozenset({'P10124', 'EGFR1', 'P14222'})"
"frozenset({'P60412', 'EGFR1', 'Q9BYQ4'})"
"frozenset({'P61968', 'P19012', 'EGFR1'})"
"frozenset({'P14927', 'P51970', 'EGFR1'})"
"frozenset({'Q9UBD5', 'O00358', 'EGFR1'})"
"frozenset({'Q9H2W6', 'EGFR1', 'O14561'})"
"frozenset({'Q9HCE1', 'EGFR1', 'Q07065'})"
"frozenset({'O75494', 'EGFR1', 'O14776'})"
"frozenset({'P07437', 'P07814', 'EGFR1'})"
"frozenset({'Q9UNL2', 'EGFR1', 'P43307'})"
"frozenset({'P33981', 'EGFR1', 'Q8NBT0'})"
"frozenset({'Q99750', 'EGFR1', 'Q5T686'})"
"frozenset({'Q13461', 'EGFR1', 'O60315'})"
"frozenset({'Q8TB72', 'EGFR1', 'Q13573'})"
"frozenset({'Q96LR2', 'EGFR1', 'P48730'})"
"frozenset({'O76071', 'EGFR1', 'Q8NBJ4'})"
"frozenset({'O75147', 'EGFR1', 'Q71UI9'})"
"frozenset({'Q9NYJ8', 'Q10589', 'EGFR1'})"
"frozenset({'P52943', 'EGFR1', 'Q96AW1'})"
"frozenset({'O14556', 'Q9UQ72', 'EGFR1'})"
"frozenset({'P49773', 'EGFR1', 'P62942'})"
"frozenset({'Q8N423', 'P17693', 'EGFR1'})"
"frozenset({'Q9Y4C1', 'EGFR1', 'Q8N6H7'})"
"frozenset({'Q9BXB5', 'Q9P0L0', 'EGFR1'})"
"frozenset({'Q6NUN9', 'EGFR1', 'Q9H3U1'})"
"frozenset({'EGFR1', 'P63173', 'P61927'})"
"frozenset({'P55809', 'EGFR1', 'Q03405'})"
"frozenset({'P10599', 'EGFR1', 'Q9C0B0'})"
"frozenset({'Q9Y4K3', 'Q13547', 'EGFR1'})"
"frozenset({'O43390', 'Q9NS69', 'EGFR1'})"
"frozenset({'P38936', 'P28328', 'EGFR1'})"
"frozenset({'P61981', 'EGFR1', 'Q9H307'})"
"frozenset({'P60709', 'P15153', 'EGFR1'})"
"frozenset({'Q9UJU5', 'EGFR1', 'P35453'})"
"frozenset({'EGFR1', 'P06737', 'Q96Q11'})"
"frozenset({'P08865', 'EGFR1', 'Q9UEG4'})"
"frozenset({'EGFR1', 'O43399', 'Q14919'})"
"frozenset({'Q15554', 'EGFR1', 'Q6PI48'})"
"frozenset({'P20849', 'P08572', 'EGFR1'})"
"frozenset({'Q9NWW7', 'EGFR1', 'O43711'})"
"frozenset({'P07306', 'EGFR1', 'Q9BQB6'})"
"frozenset({'P36957', 'O60684', 'EGFR1'})"
"frozenset({'P47897', 'Q8NFW5', 'EGFR1'})"
"frozenset({'Q9UKT9', 'Q63ZY3', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9NPB6', 'P36897'})"
"frozenset({'Q15545', 'O15164', 'EGFR1'})"
"frozenset({'P47755', 'Q7RTP6', 'EGFR1'})"
"frozenset({'Q8N8S7', 'EGFR1', 'P61962'})"
"frozenset({'P21589', 'Q13535', 'EGFR1'})"
"frozenset({'Q9BW19', 'EGFR1', 'Q9BYG5'})"
"frozenset({'EGFR1', 'Q99683', 'Q13627'})"
"frozenset({'P50548', 'EGFR1', 'Q9UGI0'})"
"frozenset({'Q86YR5', 'EGFR1', 'Q16851'})"
"frozenset({'Q9ULX3', 'P04156', 'EGFR1'})"
"frozenset({'P25490', 'EGFR1', 'Q9BYP8'})"
"frozenset({'Q9P0L0', 'P55072', 'EGFR1'})"
"frozenset({'Q15390', 'EGFR1', 'Q13315'})"
"frozenset({'P25963', 'P12931', 'EGFR1'})"
"frozenset({'O60343', 'EGFR1', 'Q92870'})"
"frozenset({'Q9UKG1', 'EGFR1', 'Q8WXI9'})"
"frozenset({'Q9BY11', 'EGFR1', 'Q9ULH1'})"
"frozenset({'Q9H6S0', 'EGFR1', 'Q13573'})"
"frozenset({'Q9HCE1', 'Q15047', 'EGFR1'})"
"frozenset({'P26641', 'EGFR1', 'P62316'})"
"frozenset({'Q16666', 'P38432', 'EGFR1'})"
"frozenset({'P05067', 'Q16543', 'EGFR1'})"
"frozenset({'Q6P1J9', 'P12036', 'EGFR1'})"
"frozenset({'Q9BRP8', 'P35544', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9HAV4', 'P52739'})"
"frozenset({'EGFR1', 'P04216', 'Q8IWZ8'})"
"frozenset({'Q9NZT1', 'EGFR1', 'Q86U86'})"
"frozenset({'Q92736', 'EGFR1', 'P22694'})"
"frozenset({'Q9BYZ2', 'EGFR1', 'Q8NEU8'})"
"frozenset({'Q99640', 'EGFR1', 'O43291'})"
"frozenset({'Q9P270', 'EGFR1', 'Q5VTR2'})"
"frozenset({'Q5VSL9', 'Q13188', 'EGFR1'})"
"frozenset({'Q13813', 'EGFR1', 'Q9NPJ6'})"
"frozenset({'P05026', 'EGFR1', 'P22612'})"
"frozenset({'EGFR1', 'Q9GZQ8', 'Q32P28'})"
"frozenset({'Q9P2E9', 'EGFR1', 'O00541'})"
"frozenset({'Q13177', 'EGFR1', 'Q9Y6N7'})"
"frozenset({'P36957', 'EGFR1', 'Q9Y6E7'})"
"frozenset({'Q9BUP3', 'EGFR1', 'O75208'})"
"frozenset({'P61077', 'Q93009', 'EGFR1'})"
"frozenset({'Q8N8S7', 'EGFR1', 'O95684'})"
"frozenset({'P25788', 'EGFR1', 'P17844'})"
"frozenset({'Q8IVT5', 'O75420', 'EGFR1'})"
"frozenset({'EGFR1', 'P19438', 'Q969G6'})"
"frozenset({'Q9H1Y0', 'EGFR1', 'Q96AG4'})"
"frozenset({'Q13651', 'Q9ULV8', 'EGFR1'})"
"frozenset({'Q8NHZ8', 'EGFR1', 'Q12834'})"
"frozenset({'P43088', 'Q9BT67', 'EGFR1'})"
"frozenset({'Q13535', 'EGFR1', 'P35251'})"
"frozenset({'EGFR1', 'P57721', 'Q15154'})"
"frozenset({'Q96EF6', 'O15535', 'EGFR1'})"
"frozenset({'EGFR1', 'P35749', 'Q9P2M7'})"
"frozenset({'P06400', 'EGFR1', 'Q9UQ80'})"
"frozenset({'P50225', 'P09493', 'EGFR1'})"
"frozenset({'Q5VWQ8', 'Q06265', 'EGFR1'})"
"frozenset({'Q8NGU2', 'EGFR1', 'O60262'})"
"frozenset({'P39880', 'EGFR1', 'Q01167'})"
"frozenset({'P15927', 'EGFR1', 'P09651'})"
"frozenset({'O15318', 'EGFR1', 'Q9BT43'})"
"frozenset({'P51571', 'EGFR1', 'P49662'})"
"frozenset({'O75128', 'Q6IQ23', 'EGFR1'})"
"frozenset({'Q9HCE1', 'EGFR1', 'Q6P474'})"
"frozenset({'O75912', 'EGFR1', 'P40337'})"
"frozenset({'P01574', 'EGFR1', 'P42701'})"
"frozenset({'Q13469', 'Q13547', 'EGFR1'})"
"frozenset({'EGFR1', 'Q16643', 'Q9NQX4'})"
"frozenset({'O43889', 'Q09472', 'EGFR1'})"
"frozenset({'P78344', 'EGFR1', 'P12757'})"
"frozenset({'P00519', 'EGFR1', 'Q8IZP0'})"
"frozenset({'EGFR1', 'Q01968', 'P48634'})"
"frozenset({'Q13873', 'EGFR1', 'O00238'})"
"frozenset({'Q8WZ73', 'Q00987', 'EGFR1'})"
"frozenset({'EGFR1', 'Q9H3D4', 'Q9NZC7'})"
"frozenset({'Q93034', 'EGFR1', 'O94762'})"
"frozenset({'EGFR1', 'P26368', 'Q8IWZ8'})"
"frozenset({'P62263', 'P23508', 'EGFR1'})"
"frozenset({'Q969Q6', 'EGFR1', 'Q6ZU80'})"
"frozenset({'Q9ULK4', 'Q96EY7', 'EGFR1'})"
