negatives
"frozenset({'Q6NUK4', 'P31947', 'Notch'})"
"frozenset({'Notch', 'O95825', 'P38398'})"
"frozenset({'Notch', 'Q99459', 'Q8IY67'})"
"frozenset({'Q8WWM7', 'Notch', 'P67809'})"
"frozenset({'Notch', 'Q8TDY4', 'Q05086'})"
"frozenset({'Notch', 'P36897', 'Q96JC1'})"
"frozenset({'Notch', 'P15407', 'Q02930'})"
"frozenset({'Notch', 'Q16543', 'Q96Q40'})"
"frozenset({'P51965', 'Q6ZSG1', 'Notch'})"
"frozenset({'P13646', 'Notch', 'Q9NSK0'})"
"frozenset({'Notch', 'P35232', 'P10275'})"
"frozenset({'Q9UL03', 'Q92610', 'Notch'})"
"frozenset({'Q9UGJ1', 'Q14129', 'Notch'})"
"frozenset({'Notch', 'P33076', 'O00287'})"
"frozenset({'Notch', 'Q8IYB3', 'P49760'})"
"frozenset({'Q8IWZ5', 'Q92922', 'Notch'})"
"frozenset({'Notch', 'P15036', 'Q15131'})"
"frozenset({'Notch', 'O95831', 'Q99496'})"
"frozenset({'Notch', 'Q96LK0', 'Q9Y5Q9'})"
"frozenset({'Notch', 'Q9H8V3', 'Q96P70'})"
"frozenset({'Notch', 'P47755', 'Q9H2Y7'})"
"frozenset({'Notch', 'Q9P1Q5', 'O60262'})"
"frozenset({'Notch', 'Q9UBU9', 'Q9H832'})"
"frozenset({'Notch', 'Q8NGF0', 'P32121'})"
"frozenset({'Notch', 'Q8N0Z3', 'Q9Y2D8'})"
"frozenset({'Notch', 'Q9UBU9', 'Q5T8A7'})"
"frozenset({'Notch', 'Q495W5', 'Q8WWY8'})"
"frozenset({'Notch', 'Q96GD4', 'Q16777'})"
"frozenset({'Notch', 'O75438', 'Q9C002'})"
"frozenset({'Notch', 'Q08945', 'O14980'})"
"frozenset({'Notch', 'Q9BYD3', 'O75127'})"
"frozenset({'Notch', 'P63104', 'P30307'})"
"frozenset({'Notch', 'P0DP23', 'Q5JSL3'})"
"frozenset({'Notch', 'P61088', 'Q12933'})"
"frozenset({'Notch', 'P45983', 'P52564'})"
"frozenset({'Notch', 'Q9H3P7', 'Q8IZ73'})"
"frozenset({'Q13111', 'P78424', 'Notch'})"
"frozenset({'Notch', 'Q99853', 'Q7Z5K2'})"
"frozenset({'Q9BZV1', 'Notch', 'P50990'})"
"frozenset({'Q14152', 'P60033', 'Notch'})"
"frozenset({'Notch', 'Q969G3', 'Q92782'})"
"frozenset({'Q13616', 'Q9Y224', 'Notch'})"
"frozenset({'Notch', 'Q04917', 'P23258'})"
"frozenset({'Q9GZP9', 'Notch', 'Q9BSJ8'})"
"frozenset({'Notch', 'Q13363', 'Q96KQ7'})"
"frozenset({'Notch', 'P78358', 'Q7L4I2'})"
"frozenset({'Notch', 'Q8TBE0', 'Q8TF50'})"
"frozenset({'Notch', 'Q9NQW1', 'P35226'})"
"frozenset({'Notch', 'P13612', 'Q5VTE0'})"
"frozenset({'Notch', 'P11388', 'P35226'})"
"frozenset({'Notch', 'Q14197', 'Q96BP2'})"
"frozenset({'O75531', 'Notch', 'P22087'})"
"frozenset({'Q8IWL3', 'Q9BVK6', 'Notch'})"
"frozenset({'Notch', 'Q9H9V4', 'Q13404'})"
"frozenset({'Notch', 'Q8WYL5', 'O00159'})"
"frozenset({'Notch', 'Q96FI4', 'P12004'})"
"frozenset({'Notch', 'P49736', 'Q8NAT2'})"
"frozenset({'P09496', 'Q9NYZ3', 'Notch'})"
"frozenset({'Notch', 'Q92831', 'P17676'})"
"frozenset({'Notch', 'Q12926', 'O00124'})"
"frozenset({'Notch', 'Q9Y3E0', 'Q07065'})"
"frozenset({'Q9Y6J8', 'Notch', 'P78330'})"
"frozenset({'Notch', 'P07202', 'P08887'})"
"frozenset({'Notch', 'Q96CS2', 'Q8N0Z3'})"
"frozenset({'Notch', 'Q9H8V3', 'O94832'})"
"frozenset({'P05107', 'Q02156', 'Notch'})"
"frozenset({'Notch', 'Q8TBB1', 'Q8WXB1'})"
"frozenset({'Notch', 'Q92995', 'P54277'})"
"frozenset({'Notch', 'O75964', 'A1L0T0'})"
"frozenset({'Notch', 'O60333', 'Q7Z460'})"
"frozenset({'Notch', 'Q16342', 'Q9UPN7'})"
"frozenset({'Notch', 'O14641', 'Q9ULV1'})"
"frozenset({'Notch', 'Q96C57', 'Q9UQ88'})"
"frozenset({'Notch', 'P40937', 'P51858'})"
"frozenset({'Notch', 'P63279', 'P41235'})"
"frozenset({'Notch', 'Q99728', 'Q14683'})"
"frozenset({'Notch', 'Q14C86', 'P52735'})"
"frozenset({'Q9Y6K9', 'P09455', 'Notch'})"
"frozenset({'O75376', 'Notch', 'P78310'})"
"frozenset({'Notch', 'Q14254', 'Q5VYK3'})"
"frozenset({'Notch', 'P17024', 'Q13077'})"
"frozenset({'Q96ME1', 'Notch', 'O00308'})"
"frozenset({'O00327', 'Notch', 'Q14995'})"
"frozenset({'Notch', 'P68133', 'Q14565'})"
"frozenset({'Notch', 'Q15022', 'O15240'})"
"frozenset({'Notch', 'Q3SYF9', 'Q9UQM7'})"
"frozenset({'Notch', 'Q9GZV9', 'P08138'})"
"frozenset({'Notch', 'Q99665', 'P41159'})"
"frozenset({'Q96F45', 'Notch', 'Q96A09'})"
"frozenset({'Notch', 'Q8N257', 'Q9C005'})"
"frozenset({'Notch', 'Q99683', 'O15524'})"
"frozenset({'Q9H1Y0', 'Q7Z6L1', 'Notch'})"
"frozenset({'Q92851', 'P52565', 'Notch'})"
"frozenset({'Notch', 'Q6PJW8', 'P62136'})"
"frozenset({'P52333', 'P84996', 'Notch'})"
"frozenset({'Notch', 'Q04741', 'Q9UNN4'})"
"frozenset({'Notch', 'Q86U38', 'Q9P015'})"
"frozenset({'Notch', 'Q9UJT9', 'P63208'})"
"frozenset({'Q9NX63', 'O95466', 'Notch'})"
"frozenset({'Notch', 'Q8N726', 'P04198'})"
"frozenset({'Notch', 'Q8N5S1', 'Q9P289'})"
"frozenset({'Notch', 'Q01105', 'P29692'})"
"frozenset({'Notch', 'Q8NHS1', 'O43889'})"
"frozenset({'P20671', 'P23527', 'Notch'})"
"frozenset({'Notch', 'Q9H492', 'Q01130'})"
"frozenset({'Notch', 'Q07666', 'Q15910'})"
"frozenset({'Notch', 'Q8NC67', 'Q15717'})"
"frozenset({'Notch', 'P05230', 'Q02763'})"
"frozenset({'Notch', 'Q8WZ74', 'P30153'})"
"frozenset({'Notch', 'Q9NZQ7', 'Q9H583'})"
"frozenset({'Notch', 'P35579', 'O60292'})"
"frozenset({'Notch', 'Q9C026', 'P62736'})"
"frozenset({'O43524', 'P41134', 'Notch'})"
"frozenset({'Notch', 'P61758', 'P50222'})"
"frozenset({'Notch', 'P29401', 'P38646'})"
"frozenset({'P62266', 'Notch', 'P68104'})"
"frozenset({'Notch', 'O14936', 'Q14155'})"
"frozenset({'Notch', 'Q7Z3Z2', 'Q8NFP9'})"
"frozenset({'P25445', 'P07910', 'Notch'})"
"frozenset({'Notch', 'Q9Y3M8', 'O60573'})"
"frozenset({'Notch', 'Q9UK08', 'Q15759'})"
"frozenset({'Notch', 'Q9H4L7', 'Q9BV38'})"
"frozenset({'Notch', 'Q14103', 'Q92945'})"
"frozenset({'Notch', 'Q9NP31', 'Q9H792'})"
"frozenset({'Notch', 'P08195', 'P54252'})"
"frozenset({'Notch', 'Q9NS61', 'Q9NZV8'})"
"frozenset({'Notch', 'Q9NRD5', 'Q9UJD0'})"
"frozenset({'Notch', 'P07384', 'P25116'})"
"frozenset({'Notch', 'P05067', 'Q8TB45'})"
"frozenset({'Notch', 'Q9P1P5', 'Q9P2P5'})"
"frozenset({'Notch', 'Q12824', 'P38398'})"
"frozenset({'Notch', 'Q96C19', 'P78406'})"
"frozenset({'Notch', 'P13639', 'Q96L21'})"
"frozenset({'Q96LZ3', 'Notch', 'Q12800'})"
"frozenset({'Notch', 'P61353', 'P26373'})"
"frozenset({'Notch', 'P18846', 'Q16539'})"
"frozenset({'Notch', 'Q8IUY3', 'P50402'})"
"frozenset({'Q6PKG0', 'Notch', 'Q8IVT5'})"
"frozenset({'Notch', 'Q9NYJ8', 'Q15750'})"
"frozenset({'Notch', 'Q15631', 'P23528'})"
"frozenset({'Notch', 'Q8N488', 'Q9BYE7'})"
"frozenset({'Notch', 'Q9UKE5', 'P10909'})"
"frozenset({'Notch', 'Q68CZ1', 'Q1MSJ5'})"
"frozenset({'Notch', 'Q9UK17', 'Q9Y265'})"
"frozenset({'Q9UHA4', 'Q02750', 'Notch'})"
"frozenset({'Notch', 'Q6UWF3', 'P50222'})"
"frozenset({'Notch', 'O75534', 'Q9Y4K3'})"
"frozenset({'Notch', 'P10721', 'P17252'})"
"frozenset({'Q14203', 'Q14244', 'Notch'})"
"frozenset({'Notch', 'Q92905', 'P40926'})"
"frozenset({'Q17RD7', 'O95563', 'Notch'})"
"frozenset({'Notch', 'O14610', 'Q14416'})"
"frozenset({'Q01860', 'Q6Q0C0', 'Notch'})"
"frozenset({'Q15233', 'Notch', 'O00213'})"
"frozenset({'Notch', 'Q9UJX2', 'Q13315'})"
"frozenset({'P05412', 'Q8WYA6', 'Notch'})"
"frozenset({'Notch', 'Q15014', 'Q99856'})"
"frozenset({'Notch', 'Q92826', 'O75530'})"
"frozenset({'Q16698', 'P34897', 'Notch'})"
"frozenset({'Q15654', 'Q9HBW0', 'Notch'})"
"frozenset({'Notch', 'P25786', 'Q9NSC5'})"
"frozenset({'Notch', 'O15524', 'P29597'})"
"frozenset({'Q8NCB2', 'Notch', 'P07900'})"
"frozenset({'Notch', 'Q9BSI4', 'P00813'})"
"frozenset({'Notch', 'Q9NY12', 'Q9NPD3'})"
"frozenset({'Notch', 'Q12824', 'P62136'})"
"frozenset({'Notch', 'P46527', 'P42224'})"
"frozenset({'Notch', 'P06493', 'Q15003'})"
"frozenset({'Notch', 'Q16543', 'Q969F0'})"
"frozenset({'Notch', 'P62273', 'P62241'})"
"frozenset({'Notch', 'O75962', 'Q9HC77'})"
"frozenset({'Q99933', 'Q38SD2', 'Notch'})"
"frozenset({'Q8N1F7', 'Q9UBU9', 'Notch'})"
"frozenset({'Notch', 'P59998', 'P06733'})"
"frozenset({'Notch', 'P62714', 'P40227'})"
"frozenset({'Notch', 'Q9NYU2', 'Q13618'})"
"frozenset({'P05362', 'P61254', 'Notch'})"
"frozenset({'Notch', 'Q9BYR3', 'Q9BYQ3'})"
"frozenset({'Notch', 'Q8NB25', 'Q8N1B4'})"
"frozenset({'Notch', 'P0C7A2', 'A2RUC4'})"
"frozenset({'P48539', 'Q8TD86', 'Notch'})"
"frozenset({'Notch', 'P46776', 'P24941'})"
"frozenset({'Notch', 'P67775', 'P41134'})"
"frozenset({'Notch', 'Q9HD45', 'Q9H1C4'})"
"frozenset({'P02042', 'Notch', 'Q86YW0'})"
"frozenset({'Notch', 'P55072', 'Q13099'})"
"frozenset({'Notch', 'O75182', 'Q14469'})"
"frozenset({'Notch', 'P60410', 'P17482'})"
"frozenset({'Notch', 'P22234', 'Q32P51'})"
"frozenset({'Notch', 'Q9C0H5', 'Q9H6Z9'})"
"frozenset({'Notch', 'Q8N1F1', 'A8MQ03'})"
"frozenset({'Notch', 'P05787', 'Q13895'})"
"frozenset({'Notch', 'P35626', 'Q8NGX6'})"
"frozenset({'Notch', 'O95831', 'P21860'})"
"frozenset({'Notch', 'Q8WWB5', 'Q99750'})"
"frozenset({'Notch', 'P05014', 'P78552'})"
"frozenset({'P20839', 'Notch', 'P13473'})"
"frozenset({'Q01082', 'P23258', 'Notch'})"
"frozenset({'P86479', 'Q9NWB1', 'Notch'})"
"frozenset({'Notch', 'Q8NFJ9', 'Q96QF0'})"
"frozenset({'Notch', 'P14316', 'P04150'})"
"frozenset({'P35638', 'Notch', 'Q96BA8'})"
"frozenset({'Notch', 'Q8IUI8', 'Q4G0X4'})"
"frozenset({'Notch', 'P23229', 'Q15165'})"
"frozenset({'Notch', 'Q9NRC8', 'Q99880'})"
"frozenset({'Notch', 'P16949', 'P07951'})"
"frozenset({'Notch', 'Q8NH54', 'P38405'})"
"frozenset({'P17612', 'Q8NGG8', 'Notch'})"
"frozenset({'Notch', 'Q9Y6A5', 'P49959'})"
"frozenset({'Notch', 'O95996', 'Q8N752'})"
"frozenset({'Notch', 'Q96QT4', 'Q401N2'})"
"frozenset({'Notch', 'P03928', 'Q9Y4G8'})"
"frozenset({'Notch', 'P00403', 'P49281'})"
"frozenset({'Notch', 'O94762', 'O94761'})"
"frozenset({'Notch', 'Q96EZ8', 'Q5PSV4'})"
"frozenset({'Notch', 'Q00987', 'P52294'})"
"frozenset({'Notch', 'Q9NR56', 'Q01085'})"
"frozenset({'Notch', 'P53708', 'P21815'})"
"frozenset({'Notch', 'P20138', 'P06239'})"
"frozenset({'Notch', 'P59998', 'P61758'})"
"frozenset({'Notch', 'Q01740', 'P41235'})"
"frozenset({'Notch', 'Q9Y5G9', 'Q7L0Q8'})"
"frozenset({'Notch', 'Q9P2W3', 'Q8NGA1'})"
"frozenset({'Notch', 'Q8IYH5', 'P61964'})"
"frozenset({'Notch', 'P15927', 'P48634'})"
"frozenset({'Notch', 'Q9UMS4', 'Q9H0R8'})"
"frozenset({'Notch', 'P62241', 'Q13618'})"
"frozenset({'Notch', 'O95758', 'Q9Y3D6'})"
"frozenset({'Notch', 'Q9P0L0', 'P41143'})"
"frozenset({'Notch', 'O60869', 'P37231'})"
"frozenset({'Q03001', 'Q15327', 'Notch'})"
"frozenset({'Notch', 'P54819', 'P01106'})"
"frozenset({'Notch', 'Q9Y3E0', 'O75306'})"
"frozenset({'Notch', 'Q07627', 'Q6L8G9'})"
"frozenset({'O43711', 'O76011', 'Notch'})"
"frozenset({'Notch', 'P51784', 'Q16539'})"
"frozenset({'Q92569', 'Q9Y243', 'Notch'})"
"frozenset({'Q8IXL6', 'O76061', 'Notch'})"
"frozenset({'Q9UP38', 'Notch', 'Q93097'})"
"frozenset({'Notch', 'Q53GA4', 'Q96DC9'})"
"frozenset({'Q8N1F7', 'Q15717', 'Notch'})"
"frozenset({'Notch', 'Q9H871', 'Q5XG87'})"
"frozenset({'P60329', 'Q15645', 'Notch'})"
"frozenset({'Q8WUF5', 'Notch', 'O14980'})"
"frozenset({'Notch', 'O15379', 'P10145'})"
"frozenset({'Notch', 'P22612', 'Q8NGH8'})"
"frozenset({'Notch', 'P04150', 'Q99757'})"
"frozenset({'Notch', 'P48729', 'Q96L94'})"
"frozenset({'Notch', 'Q9UBC2', 'Q9Y6Y0'})"
"frozenset({'Notch', 'P98082', 'Q9UHB6'})"
"frozenset({'Notch', 'Q99459', 'Q15393'})"
"frozenset({'Notch', 'Q9NTJ3', 'Q99661'})"
"frozenset({'Notch', 'P30443', 'P01732'})"
"frozenset({'Notch', 'Q9BYM8', 'Q504Q3'})"
"frozenset({'Notch', 'Q14999', 'P27824'})"
"frozenset({'Notch', 'P00519', 'Q9Y2H0'})"
"frozenset({'Notch', 'P33992', 'Q969P6'})"
"frozenset({'Notch', 'O75157', 'O00422'})"
"frozenset({'Notch', 'P41252', 'Q99558'})"
"frozenset({'Notch', 'Q99877', 'Q9Y5B9'})"
"frozenset({'Notch', 'P04049', 'O94806'})"
"frozenset({'Notch', 'P27816', 'Q14994'})"
"frozenset({'Notch', 'Q96JP5', 'Q92731'})"
"frozenset({'Notch', 'P61218', 'Q12789'})"
"frozenset({'Notch', 'P63104', 'Q15154'})"
"frozenset({'Notch', 'P84022', 'P02452'})"
"frozenset({'Notch', 'Q9H307', 'P78362'})"
"frozenset({'Notch', 'P25440', 'P01106'})"
"frozenset({'Notch', 'O43709', 'Q9C0C9'})"
"frozenset({'Notch', 'P10275', 'O14595'})"
"frozenset({'Notch', 'Q96KQ7', 'Q14839'})"
"frozenset({'Notch', 'Q14469', 'Q06330'})"
"frozenset({'Notch', 'C9JDP6', 'O15551'})"
"frozenset({'P19876', 'P49238', 'Notch'})"
"frozenset({'Notch', 'P56748', 'O00501'})"
"frozenset({'Notch', 'P06400', 'O96019'})"
"frozenset({'Notch', 'Q3LI64', 'Q6UXX5'})"
"frozenset({'Q9GZQ8', 'Notch', 'Q8WXU2'})"
"frozenset({'Notch', 'P00374', 'Q01094'})"
"frozenset({'Notch', 'Q9H0W5', 'Q9NYL9'})"
"frozenset({'Notch', 'Q96SK3', 'Q5JR59'})"
"frozenset({'Notch', 'Q8NI22', 'P63208'})"
"frozenset({'Notch', 'Q9HCE1', 'P51858'})"
"frozenset({'Notch', 'Q15717', 'Q8NGN1'})"
"frozenset({'P07602', 'O00422', 'Notch'})"
"frozenset({'Notch', 'Q86VP6', 'Q07955'})"
"frozenset({'Notch', 'Q9NPJ4', 'O60271'})"
"frozenset({'Q02224', 'Notch', 'Q13813'})"
"frozenset({'P01215', 'Notch', 'P23945'})"
"frozenset({'Notch', 'Q8IX15', 'P61956'})"
"frozenset({'Notch', 'Q9UJY4', 'P56817'})"
"frozenset({'P27694', 'Q9NZ71', 'Notch'})"
"frozenset({'P09651', 'Q9UJV9', 'Notch'})"
"frozenset({'P49238', 'Q16663', 'Notch'})"
"frozenset({'Notch', 'Q7Z699', 'Q8N720'})"
"frozenset({'Notch', 'P14784', 'P13232'})"
"frozenset({'Notch', 'Q70Z53', 'Q5JVS0'})"
"frozenset({'Notch', 'Q8TCE6', 'Q9H0A8'})"
"frozenset({'Notch', 'P40616', 'P12980'})"
"frozenset({'Notch', 'Q15056', 'Q14696'})"
"frozenset({'P08246', 'Notch', 'Q9P2S5'})"
"frozenset({'Notch', 'O95071', 'Q16890'})"
"frozenset({'P57078', 'Notch', 'Q9H6T3'})"
"frozenset({'Notch', 'P24821', 'P53708'})"
"frozenset({'Notch', 'Q96AV8', 'Q9Y265'})"
"frozenset({'Q9UBB9', 'Notch', 'Q8WUE5'})"
"frozenset({'Notch', 'P49842', 'P36406'})"
"frozenset({'Notch', 'Q5MIZ7', 'Q9H3S7'})"
"frozenset({'Notch', 'Q05209', 'P06239'})"
"frozenset({'P17612', 'Q8NGI7', 'Notch'})"
"frozenset({'Q92636', 'O60906', 'Notch'})"
"frozenset({'P14618', 'Notch', 'O15379'})"
"frozenset({'Notch', 'Q9HCN4', 'O94763'})"
"frozenset({'Notch', 'P00533', 'O95467'})"
"frozenset({'Notch', 'Q6NSJ0', 'P80370'})"
"frozenset({'Notch', 'Q9UQL6', 'P62258'})"
"frozenset({'Notch', 'Q9BYD1', 'O96000'})"
"frozenset({'Notch', 'Q6ZU80', 'Q9UPQ9'})"
"frozenset({'Notch', 'Q96LW4', 'Q00013'})"
"frozenset({'Notch', 'Q9Y2Z4', 'Q96HY6'})"
"frozenset({'Notch', 'P07900', 'P27824'})"
"frozenset({'Notch', 'Q9P2H0', 'Q8IZ13'})"
"frozenset({'O14746', 'Notch', 'Q8N8A6'})"
"frozenset({'Q9Y5B8', 'Q9UGJ1', 'Notch'})"
"frozenset({'Notch', 'P41162', 'Q01844'})"
"frozenset({'P43405', 'P16885', 'Notch'})"
"frozenset({'Q13616', 'Q86VP6', 'Notch'})"
"frozenset({'Q2TAY7', 'P00533', 'Notch'})"
"frozenset({'Notch', 'Q8IUI8', 'Q96HP0'})"
"frozenset({'Q7L2J0', 'P36507', 'Notch'})"
"frozenset({'Q5U5Q3', 'O75592', 'Notch'})"
"frozenset({'P54253', 'Notch', 'Q5T8P6'})"
"frozenset({'Notch', 'O75901', 'O14640'})"
"frozenset({'Notch', 'P33240', 'Q01844'})"
"frozenset({'Notch', 'P58658', 'Q8IY95'})"
"frozenset({'Notch', 'P07339', 'Q13490'})"
"frozenset({'Notch', 'Q9P1Z3', 'Q9Y3Q4'})"
"frozenset({'Notch', 'P08123', 'P18564'})"
"frozenset({'P22304', 'Notch', 'Q9UMR5'})"
"frozenset({'Notch', 'Q92993', 'Q9UPV0'})"
"frozenset({'Notch', 'Q9Y2X7', 'O00400'})"
"frozenset({'Notch', 'Q9BY77', 'O60825'})"
"frozenset({'Notch', 'Q8N715', 'Q9BYV9'})"
"frozenset({'Notch', 'Q92556', 'Q13107'})"
"frozenset({'Notch', 'Q9UGI0', 'Q8NE01'})"
"frozenset({'Q15345', 'Q13459', 'Notch'})"
"frozenset({'Notch', 'Q9C0B0', 'Q9BT67'})"
"frozenset({'P14778', 'Notch', 'P01583'})"
"frozenset({'Notch', 'Q9UPY8', 'Q13561'})"
"frozenset({'Q7Z2G1', 'Notch', 'P0C0S5'})"
"frozenset({'Notch', 'Q01826', 'O00358'})"
"frozenset({'Notch', 'O14950', 'Q9BQF6'})"
"frozenset({'P26599', 'Notch', 'P17096'})"
"frozenset({'Notch', 'P42574', 'Q07820'})"
"frozenset({'Notch', 'P16220', 'P55317'})"
"frozenset({'Notch', 'P35226', 'Q15717'})"
"frozenset({'Q03135', 'Notch', 'P11021'})"
"frozenset({'Notch', 'Q9NYW8', 'P42681'})"
"frozenset({'Notch', 'Q16531', 'P55769'})"
"frozenset({'Notch', 'Q9UBU8', 'Q9NPF5'})"
"frozenset({'P51671', 'Notch', 'P04150'})"
"frozenset({'Q9HCM9', 'Q7L8S5', 'Notch'})"
"frozenset({'Notch', 'P56589', 'Q7Z412'})"
"frozenset({'Notch', 'Q13415', 'O95251'})"
"frozenset({'Notch', 'P60903', 'P15336'})"
"frozenset({'Notch', 'P09471', 'P21554'})"
"frozenset({'Notch', 'Q9NRH3', 'Q06609'})"
"frozenset({'Q86XS8', 'P51668', 'Notch'})"
"frozenset({'Notch', 'P54760', 'P01903'})"
"frozenset({'Notch', 'Q15637', 'P98175'})"
"frozenset({'Notch', 'P42575', 'P78560'})"
"frozenset({'P16410', 'Notch', 'P51692'})"
"frozenset({'Notch', 'Q8N488', 'P17844'})"
"frozenset({'O75493', 'Notch', 'Q16635'})"
"frozenset({'Notch', 'P45983', 'Q9H2B2'})"
"frozenset({'Notch', 'Q15049', 'Q9Y4J8'})"
"frozenset({'P54253', 'Notch', 'Q15388'})"
"frozenset({'Notch', 'P62487', 'Q6EEV4'})"
"frozenset({'Notch', 'P05067', 'O14832'})"
"frozenset({'Q9NRL3', 'Notch', 'Q9BT17'})"
"frozenset({'O95817', 'O60701', 'Notch'})"
"frozenset({'Notch', 'P34947', 'Q5H9R7'})"
"frozenset({'Notch', 'P01764', 'O75364'})"
"frozenset({'Notch', 'Q9Y4A5', 'Q01094'})"
"frozenset({'Notch', 'Q8WZ59', 'Q8N5G2'})"
"frozenset({'Notch', 'Q06546', 'Q15648'})"
"frozenset({'Notch', 'Q12774', 'Q9NVG8'})"
"frozenset({'Notch', 'Q8NEU8', 'Q9BXM7'})"
"frozenset({'Notch', 'O75558', 'O60493'})"
"frozenset({'Q8N4V1', 'Notch', 'Q86UP2'})"
"frozenset({'P22307', 'P51636', 'Notch'})"
"frozenset({'Notch', 'Q16531', 'Q9UPT9'})"
"frozenset({'P61981', 'Notch', 'P49815'})"
"frozenset({'Notch', 'P08670', 'O60260'})"
"frozenset({'P51965', 'Q99942', 'Notch'})"
"frozenset({'Notch', 'P45880', 'Q8N766'})"
"frozenset({'Notch', 'O95182', 'O96000'})"
"frozenset({'Notch', 'P04632', 'Q00535'})"
"frozenset({'Notch', 'P14921', 'P17535'})"
"frozenset({'Notch', 'P36542', 'Q13191'})"
"frozenset({'Notch', 'P78362', 'P58012'})"
"frozenset({'Notch', 'O60701', 'Q8IZ73'})"
"frozenset({'Notch', 'Q8N2W9', 'Q13547'})"
"frozenset({'Q86YJ7', 'P55072', 'Notch'})"
"frozenset({'Notch', 'O43172', 'P56134'})"
"frozenset({'Notch', 'Q6NZY4', 'P04062'})"
"frozenset({'Notch', 'P48643', 'Q9Y2T4'})"
"frozenset({'Notch', 'P78362', 'Q96MN5'})"
"frozenset({'Notch', 'Q14164', 'P21580'})"
"frozenset({'Notch', 'P60953', 'B2RTY4'})"
"frozenset({'Notch', 'Q86U44', 'Q9HCE1'})"
"frozenset({'Notch', 'P0DP25', 'Q9Y283'})"
"frozenset({'Notch', 'O96019', 'P24941'})"
"frozenset({'Notch', 'P18848', 'Q96D71'})"
"frozenset({'Notch', 'O94763', 'Q9H6T3'})"
"frozenset({'Notch', 'Q8TAI7', 'Q13643'})"
"frozenset({'Notch', 'Q9BS26', 'Q86YB8'})"
"frozenset({'Notch', 'P05230', 'P04629'})"
"frozenset({'Notch', 'Q9UQ16', 'Q9Y5X3'})"
"frozenset({'Notch', 'P15259', 'P61970'})"
"frozenset({'Notch', 'P07942', 'O43597'})"
"frozenset({'Q969G5', 'Notch', 'Q13813'})"
"frozenset({'Notch', 'Q9UID3', 'P40692'})"
"frozenset({'Q16610', 'P57076', 'Notch'})"
"frozenset({'P46940', 'P49736', 'Notch'})"
"frozenset({'Notch', 'P26441', 'P38484'})"
"frozenset({'Notch', 'P04899', 'O75916'})"
"frozenset({'Notch', 'Q15393', 'Q12929'})"
"frozenset({'P61981', 'Notch', 'P30153'})"
"frozenset({'Notch', 'Q15596', 'P03372'})"
"frozenset({'Notch', 'Q96AC1', 'P63104'})"
"frozenset({'Notch', 'P48736', 'Q14289'})"
"frozenset({'Notch', 'P25786', 'Q9NXG2'})"
"frozenset({'P05362', 'Notch', 'P15514'})"
"frozenset({'Notch', 'P46527', 'P31946'})"
"frozenset({'Notch', 'Q93074', 'O14980'})"
"frozenset({'Notch', 'P60411', 'Q8N7K0'})"
"frozenset({'Notch', 'Q96IQ7', 'Q9C0E2'})"
"frozenset({'Notch', 'Q14145', 'Q86UX7'})"
"frozenset({'A6NEM1', 'Notch', 'Q6NYC8'})"
"frozenset({'Notch', 'Q02750', 'Q13164'})"
"frozenset({'Notch', 'Q6NUN9', 'Q6P4A7'})"
"frozenset({'Q9H213', 'Notch', 'O75528'})"
"frozenset({'P67870', 'O95863', 'Notch'})"
"frozenset({'P19404', 'Notch', 'Q9Y639'})"
"frozenset({'Notch', 'P62258', 'O00257'})"
"frozenset({'Notch', 'Q07002', 'P07900'})"
"frozenset({'Notch', 'P31751', 'Q969Q6'})"
"frozenset({'Notch', 'Q96EL3', 'P23284'})"
"frozenset({'Notch', 'P78424', 'O95231'})"
"frozenset({'Notch', 'Q96GM5', 'Q5JR12'})"
"frozenset({'Notch', 'P51610', 'Q70EK8'})"
"frozenset({'Notch', 'P30480', 'P63173'})"
"frozenset({'Notch', 'Q5BKZ1', 'Q96GG9'})"
"frozenset({'Q9UHV7', 'Q14994', 'Notch'})"
"frozenset({'Notch', 'P61077', 'Q86XT4'})"
"frozenset({'Notch', 'P55064', 'Q99750'})"
"frozenset({'Notch', 'Q14197', 'P82675'})"
"frozenset({'Notch', 'P51679', 'Q9H4Z2'})"
"frozenset({'P31689', 'P53671', 'Notch'})"
"frozenset({'Notch', 'Q9UPU5', 'O95274'})"
"frozenset({'Notch', 'P11940', 'P23588'})"
"frozenset({'Notch', 'P10415', 'P62140'})"
"frozenset({'Q8IWL3', 'P49247', 'Notch'})"
"frozenset({'Notch', 'Q8IZ13', 'P50222'})"
"frozenset({'P86479', 'Notch', 'Q01974'})"
"frozenset({'Notch', 'Q9Y5S2', 'P42766'})"
"frozenset({'Notch', 'Q969X6', 'P38398'})"
"frozenset({'Notch', 'Q9BU61', 'Q9NX14'})"
"frozenset({'Notch', 'Q9UKV0', 'P0C5Z0'})"
"frozenset({'Notch', 'A0PK11', 'Q8N6S5'})"
"frozenset({'Notch', 'P04843', 'P17980'})"
"frozenset({'Notch', 'P60411', 'Q9GZM5'})"
"frozenset({'Notch', 'Q12824', 'P01100'})"
"frozenset({'O14727', 'P04637', 'Notch'})"
"frozenset({'Notch', 'P24864', 'Q00526'})"
"frozenset({'Notch', 'P07384', 'Q9Y6E2'})"
"frozenset({'Notch', 'P0C862', 'Q9C0G0'})"
"frozenset({'Notch', 'P55327', 'Q8NI27'})"
