negatives
"frozenset({'Q8IWR0', 'Q13153', 'BCR'})"
"frozenset({'Q9UBK7', 'BCR', 'Q9UNY4'})"
"frozenset({'O95298', 'BCR', 'Q15717'})"
"frozenset({'BCR', 'P61978', 'Q9HC62'})"
"frozenset({'BCR', 'Q9NSB8', 'Q9BRK4'})"
"frozenset({'Q9Y5S9', 'BCR', 'Q92900'})"
"frozenset({'Q16181', 'Q96FW1', 'BCR'})"
"frozenset({'BCR', 'P50991', 'P60900'})"
"frozenset({'Q9NZI8', 'BCR', 'Q9Y297'})"
"frozenset({'BCR', 'P04908', 'P62807'})"
"frozenset({'Q9BT67', 'BCR', 'O43318'})"
"frozenset({'BCR', 'P11831', 'P20226'})"
"frozenset({'BCR', 'Q7L804', 'O95782'})"
"frozenset({'BCR', 'Q504Q3', 'Q16643'})"
"frozenset({'Q6ZU80', 'BCR', 'P24928'})"
"frozenset({'BCR', 'Q63HR2', 'Q86VE0'})"
"frozenset({'P35869', 'BCR', 'Q01201'})"
"frozenset({'Q8HWS3', 'BCR', 'Q9BXF9'})"
"frozenset({'Q99962', 'BCR', 'Q9Y2H0'})"
"frozenset({'BCR', 'P07910', 'P11308'})"
"frozenset({'P35244', 'BCR', 'P12268'})"
"frozenset({'BCR', 'Q9UBU9', 'Q02241'})"
"frozenset({'P61020', 'BCR', 'Q68CZ1'})"
"frozenset({'P09874', 'BCR', 'Q14781'})"
"frozenset({'BCR', 'P0DMV8', 'Q96NS5'})"
"frozenset({'BCR', 'Q02388', 'P02751'})"
"frozenset({'Q96FX7', 'BCR', 'Q86VP6'})"
"frozenset({'Q15654', 'BCR', 'P49639'})"
"frozenset({'Q8HWS3', 'BCR', 'P48380'})"
"frozenset({'BCR', 'P12931', 'P17301'})"
"frozenset({'BCR', 'P62873', 'Q8NH10'})"
"frozenset({'BCR', 'Q9NRD5', 'Q9H492'})"
"frozenset({'O43809', 'BCR', 'Q8WWI5'})"
"frozenset({'BCR', 'O75880', 'O14829'})"
"frozenset({'BCR', 'Q9BUN8', 'P30443'})"
"frozenset({'Q6AZY7', 'BCR', 'Q9HCE1'})"
"frozenset({'BCR', 'P67936', 'P60900'})"
"frozenset({'Q13190', 'BCR', 'P54257'})"
"frozenset({'Q99623', 'BCR', 'P60520'})"
"frozenset({'BCR', 'O43543', 'P43351'})"
"frozenset({'BCR', 'P62987', 'P31948'})"
"frozenset({'BCR', 'O96020', 'Q13526'})"
"frozenset({'O43542', 'BCR', 'Q96CT7'})"
"frozenset({'BCR', 'Q9UMS4', 'Q15428'})"
"frozenset({'BCR', 'Q9P0L0', 'P49821'})"
"frozenset({'BCR', 'Q9ULZ3', 'O15327'})"
"frozenset({'BCR', 'Q9NPB6', 'Q8ND90'})"
"frozenset({'BCR', 'Q56NI9', 'P26447'})"
"frozenset({'P36406', 'BCR', 'Q9H0W8'})"
"frozenset({'P17081', 'BCR', 'Q9H0H5'})"
"frozenset({'O75563', 'BCR', 'O15117'})"
"frozenset({'Q9UDX5', 'BCR', 'P11802'})"
"frozenset({'Q9NSP4', 'BCR', 'Q6IPU0'})"
"frozenset({'Q9NZP0', 'BCR', 'P32121'})"
"frozenset({'Q8TB22', 'BCR', 'O95299'})"
"frozenset({'BCR', 'Q9UGN5', 'P33947'})"
"frozenset({'Q7Z434', 'BCR', 'O15111'})"
"frozenset({'BCR', 'P51970', 'O00217'})"
"frozenset({'BCR', 'Q9HCE7', 'P61978'})"
"frozenset({'O15123', 'P07333', 'BCR'})"
"frozenset({'BCR', 'P55347', 'Q14192'})"
"frozenset({'Q5JS54', 'P25786', 'BCR'})"
"frozenset({'Q15915', 'BCR', 'Q8TDS5'})"
"frozenset({'BCR', 'Q9NRC8', 'P12814'})"
"frozenset({'BCR', 'P01106', 'Q15029'})"
"frozenset({'BCR', 'Q00013', 'Q6PI77'})"
"frozenset({'BCR', 'Q9Y3M8', 'Q5TCZ1'})"
"frozenset({'BCR', 'P11021', 'Q0P6H9'})"
"frozenset({'Q06418', 'BCR', 'P60410'})"
"frozenset({'BCR', 'P05783', 'Q16695'})"
"frozenset({'P56199', 'P49747', 'BCR'})"
"frozenset({'BCR', 'P01579', 'P40189'})"
"frozenset({'P46379', 'BCR', 'Q9BQD7'})"
"frozenset({'Q7L3T8', 'BCR', 'Q08050'})"
"frozenset({'BCR', 'Q9Y4K3', 'P14550'})"
"frozenset({'BCR', 'Q99558', 'Q13895'})"
"frozenset({'Q9UEU0', 'BCR', 'Q6UX04'})"
"frozenset({'BCR', 'P63104', 'P09651'})"
"frozenset({'BCR', 'P40763', 'P30281'})"
"frozenset({'BCR', 'Q9UNM6', 'P62195'})"
"frozenset({'Q9NZD8', 'BCR', 'Q9UHD4'})"
"frozenset({'BCR', 'Q13562', 'P15923'})"
"frozenset({'P04406', 'BCR', 'P11166'})"
"frozenset({'BCR', 'Q9H078', 'O95900'})"
"frozenset({'BCR', 'P56545', 'Q9H2X6'})"
"frozenset({'Q99471', 'BCR', 'Q8WU58'})"
"frozenset({'P55209', 'BCR', 'Q9NUX5'})"
"frozenset({'BCR', 'Q07889', 'O15144'})"
"frozenset({'BCR', 'Q16611', 'O95831'})"
"frozenset({'P49419', 'BCR', 'Q13426'})"
"frozenset({'BCR', 'Q9H4M9', 'Q9NRF8'})"
"frozenset({'P27361', 'BCR', 'Q9BVL2'})"
"frozenset({'P15735', 'BCR', 'Q13085'})"
"frozenset({'BCR', 'Q7KZ85', 'P19338'})"
"frozenset({'Q2KHM9', 'Q96T17', 'BCR'})"
"frozenset({'Q96PV0', 'BCR', 'O75385'})"
"frozenset({'Q15370', 'BCR', 'P05412'})"
"frozenset({'Q13105', 'BCR', 'P01106'})"
"frozenset({'Q5W5X9', 'BCR', 'Q9BRK4'})"
"frozenset({'BCR', 'P14373', 'P29590'})"
"frozenset({'BCR', 'P05112', 'P16234'})"
"frozenset({'BCR', 'Q7Z7C8', 'O95402'})"
"frozenset({'BCR', 'Q86UY5', 'Q3V5L5'})"
"frozenset({'BCR', 'O14818', 'P30480'})"
"frozenset({'BCR', 'P05067', 'P30874'})"
"frozenset({'Q12952', 'BCR', 'Q07864'})"
"frozenset({'BCR', 'Q96KN3', 'P48552'})"
"frozenset({'BCR', 'P04004', 'Q13123'})"
"frozenset({'BCR', 'O00139', 'Q8TCZ2'})"
"frozenset({'BCR', 'O14980', 'Q96CT7'})"
"frozenset({'BCR', 'O43396', 'Q13838'})"
"frozenset({'BCR', 'P05412', 'P15313'})"
"frozenset({'BCR', 'P0DP25', 'P23467'})"
"frozenset({'Q8NA72', 'BCR', 'Q9NVI7'})"
"frozenset({'BCR', 'P15927', 'Q13415'})"
"frozenset({'BCR', 'Q13111', 'P12004'})"
"frozenset({'BCR', 'Q9NQ50', 'Q9BYD2'})"
"frozenset({'BCR', 'Q9UMR2', 'Q9GZX7'})"
"frozenset({'BCR', 'Q13077', 'Q03989'})"
"frozenset({'P78527', 'BCR', 'P50876'})"
"frozenset({'Q8WUU5', 'BCR', 'Q16576'})"
"frozenset({'Q15750', 'BCR', 'Q15435'})"
"frozenset({'BCR', 'Q9BTM9', 'P26196'})"
"frozenset({'P36871', 'BCR', 'P40925'})"
"frozenset({'P62487', 'BCR', 'Q96HR3'})"
"frozenset({'BCR', 'Q8TF74', 'Q96B97'})"
"frozenset({'P35579', 'BCR', 'Q13148'})"
"frozenset({'P31749', 'BCR', 'Q9H4A3'})"
"frozenset({'P14923', 'BCR', 'P16591'})"
"frozenset({'BCR', 'Q01658', 'Q9UJU6'})"
"frozenset({'BCR', 'O43291', 'Q5JSH3'})"
"frozenset({'BCR', 'Q9UBN7', 'Q6W2J9'})"
"frozenset({'Q13617', 'BCR', 'P29508'})"
"frozenset({'Q96G23', 'BCR', 'Q9H5J4'})"
"frozenset({'Q14697', 'Q7Z7A1', 'BCR'})"
"frozenset({'BCR', 'P17612', 'Q8NH53'})"
"frozenset({'BCR', 'P01909', 'P04439'})"
"frozenset({'BCR', 'O00159', 'Q14240'})"
"frozenset({'O15482', 'BCR', 'Q15323'})"
"frozenset({'P61964', 'BCR', 'O43318'})"
"frozenset({'BCR', 'Q9NYB0', 'Q15102'})"
"frozenset({'BCR', 'O15212', 'Q9UPN7'})"
"frozenset({'BCR', 'Q9NUX5', 'Q7L0Q8'})"
"frozenset({'Q9NYJ8', 'BCR', 'P55735'})"
"frozenset({'P25787', 'BCR', 'O75815'})"
"frozenset({'BCR', 'Q9Y606', 'Q09161'})"
"frozenset({'BCR', 'Q9BZL3', 'O75508'})"
"frozenset({'BCR', 'P21802', 'Q96S79'})"
"frozenset({'BCR', 'Q08999', 'Q14653'})"
"frozenset({'P43220', 'BCR', 'P19021'})"
"frozenset({'BCR', 'Q8NGT7', 'Q9P2W3'})"
"frozenset({'BCR', 'P52306', 'P63096'})"
"frozenset({'BCR', 'P19338', 'P62847'})"
"frozenset({'BCR', 'Q9NR30', 'Q8TEK3'})"
"frozenset({'Q9NWT6', 'BCR', 'Q8WXK3'})"
"frozenset({'BCR', 'Q93062', 'Q8IUC2'})"
"frozenset({'P12830', 'BCR', 'P00338'})"
"frozenset({'BCR', 'Q9NVI7', 'Q6NUN9'})"
"frozenset({'P17040', 'BCR', 'Q969J2'})"
"frozenset({'BCR', 'Q96P20', 'O95071'})"
"frozenset({'BCR', 'Q03169', 'P04626'})"
"frozenset({'P21333', 'BCR', 'P61758'})"
"frozenset({'BCR', 'Q92905', 'P50219'})"
"frozenset({'Q6IE81', 'BCR', 'P33992'})"
"frozenset({'P52294', 'Q06455', 'BCR'})"
"frozenset({'P46777', 'Q9GZR7', 'BCR'})"
"frozenset({'BCR', 'Q9NPH2', 'P52209'})"
"frozenset({'BCR', 'Q9NUB1', 'Q9H2U2'})"
"frozenset({'P82912', 'BCR', 'Q02878'})"
"frozenset({'P62070', 'BCR', 'P00540'})"
"frozenset({'Q6A162', 'BCR', 'Q96MM6'})"
"frozenset({'BCR', 'Q5TEA3', 'P36405'})"
"frozenset({'BCR', 'Q8TDN6', 'P36578'})"
"frozenset({'P15884', 'BCR', 'Q15796'})"
"frozenset({'P09622', 'BCR', 'Q16540'})"
"frozenset({'Q9UPT6', 'Q12756', 'BCR'})"
"frozenset({'P68431', 'BCR', 'Q8IX03'})"
"frozenset({'P78337', 'BCR', 'P86481'})"
"frozenset({'BCR', 'P35228', 'P05121'})"
"frozenset({'BCR', 'Q09161', 'P19338'})"
"frozenset({'Q9H582', 'BCR', 'Q96JM3'})"
"frozenset({'Q9H9B1', 'BCR', 'Q8N653'})"
"frozenset({'BCR', 'O76015', 'P35908'})"
"frozenset({'O60260', 'BCR', 'P54829'})"
"frozenset({'Q9UKM9', 'BCR', 'Q99853'})"
"frozenset({'Q13617', 'P23508', 'BCR'})"
"frozenset({'BCR', 'P19022', 'P23771'})"
"frozenset({'BCR', 'Q9Y6M4', 'P22694'})"
"frozenset({'BCR', 'P14416', 'P50151'})"
"frozenset({'BCR', 'Q8IXH7', 'Q13685'})"
"frozenset({'BCR', 'O60504', 'Q9BZW7'})"
"frozenset({'BCR', 'Q14687', 'Q8TEW6'})"
"frozenset({'BCR', 'Q13761', 'P24385'})"
"frozenset({'BCR', 'Q5TA77', 'Q9BYR2'})"
"frozenset({'O95183', 'BCR', 'Q16623'})"
"frozenset({'P46379', 'BCR', 'P46736'})"
"frozenset({'BCR', 'P56706', 'O95813'})"
"frozenset({'O60547', 'BCR', 'Q8N0Z6'})"
"frozenset({'BCR', 'P06241', 'Q00610'})"
"frozenset({'BCR', 'P01589', 'Q9UBD9'})"
"frozenset({'P56192', 'BCR', 'P60520'})"
"frozenset({'BCR', 'Q96FF9', 'Q9HC62'})"
"frozenset({'Q96E11', 'BCR', 'O95182'})"
"frozenset({'BCR', 'Q9C040', 'P07900'})"
"frozenset({'BCR', 'Q6ZV73', 'Q9UJU6'})"
"frozenset({'BCR', 'Q6UWP7', 'Q86Y78'})"
"frozenset({'BCR', 'O14578', 'P08134'})"
"frozenset({'BCR', 'P04629', 'Q9UKV8'})"
"frozenset({'Q13557', 'P62140', 'BCR'})"
"frozenset({'BCR', 'Q7L1Q6', 'Q13573'})"
"frozenset({'BCR', 'P23193', 'P50750'})"
"frozenset({'Q86SE5', 'BCR', 'Q9ULR0'})"
"frozenset({'BCR', 'O14498', 'Q3ZCM7'})"
"frozenset({'Q16643', 'BCR', 'O75477'})"
"frozenset({'BCR', 'P35637', 'P56537'})"
"frozenset({'BCR', 'Q13099', 'P50991'})"
"frozenset({'P49005', 'BCR', 'Q96T76'})"
"frozenset({'BCR', 'O95602', 'Q08945'})"
"frozenset({'P46777', 'BCR', 'P29590'})"
"frozenset({'BCR', 'Q13618', 'Q9Y2M5'})"
"frozenset({'BCR', 'P60520', 'P62906'})"
"frozenset({'BCR', 'Q9NQW7', 'Q99426'})"
"frozenset({'BCR', 'Q00597', 'P11142'})"
"frozenset({'Q9NS73', 'BCR', 'Q6P597'})"
"frozenset({'Q6AZY7', 'BCR', 'P17931'})"
"frozenset({'BCR', 'P32121', 'Q96RC9'})"
"frozenset({'BCR', 'Q93063', 'P26441'})"
"frozenset({'BCR', 'P07307', 'P01266'})"
"frozenset({'O95628', 'Q09472', 'BCR'})"
"frozenset({'BCR', 'P45880', 'O75431'})"
"frozenset({'BCR', 'Q6RSH7', 'Q9NSA3'})"
"frozenset({'O60282', 'BCR', 'P27348'})"
"frozenset({'Q8NFC6', 'O43488', 'BCR'})"
"frozenset({'Q99729', 'BCR', 'Q9H3D4'})"
"frozenset({'BCR', 'P62993', 'O14974'})"
"frozenset({'P49736', 'BCR', 'Q96T76'})"
"frozenset({'Q16254', 'BCR', 'Q9HB71'})"
"frozenset({'BCR', 'P01138', 'Q99523'})"
"frozenset({'Q96BD5', 'BCR', 'O60711'})"
"frozenset({'P02686', 'BCR', 'O75716'})"
"frozenset({'BCR', 'Q9Y230', 'P00966'})"
"frozenset({'BCR', 'P0C0S5', 'P06899'})"
"frozenset({'P49736', 'BCR', 'P30740'})"
"frozenset({'Q9NVR2', 'BCR', 'Q68E01'})"
"frozenset({'Q8IWL8', 'BCR', 'Q7Z3K3'})"
"frozenset({'BCR', 'P09471', 'Q9P2W3'})"
"frozenset({'Q96BZ8', 'BCR', 'Q63ZY3'})"
"frozenset({'Q13523', 'BCR', 'A0JLT2'})"
"frozenset({'P09919', 'BCR', 'P40238'})"
"frozenset({'P49450', 'BCR', 'P04908'})"
"frozenset({'P84022', 'BCR', 'O75928'})"
"frozenset({'Q15149', 'BCR', 'Q01844'})"
"frozenset({'BCR', 'P11309', 'P51116'})"
"frozenset({'BCR', 'Q9BX67', 'P05107'})"
"frozenset({'Q12906', 'BCR', 'Q16526'})"
"frozenset({'BCR', 'P25789', 'P28062'})"
"frozenset({'BCR', 'Q8WU79', 'O15198'})"
"frozenset({'P27361', 'BCR', 'Q13164'})"
"frozenset({'BCR', 'Q8IXZ2', 'Q9NPE2'})"
"frozenset({'BCR', 'Q9UHF4', 'P07202'})"
"frozenset({'Q01813', 'BCR', 'Q14999'})"
"frozenset({'BCR', 'Q9H492', 'Q9UHX1'})"
"frozenset({'P05455', 'BCR', 'P20248'})"
"frozenset({'BCR', 'P16989', 'Q08211'})"
"frozenset({'Q9BQ39', 'BCR', 'Q92731'})"
"frozenset({'BCR', 'P25098', 'Q6IEU7'})"
"frozenset({'Q16517', 'BCR', 'P05067'})"
"frozenset({'BCR', 'Q14790', 'Q86TL0'})"
"frozenset({'P24522', 'BCR', 'Q9Y297'})"
"frozenset({'BCR', 'P04424', 'O75382'})"
"frozenset({'Q9UMX0', 'BCR', 'P21281'})"
"frozenset({'BCR', 'P62987', 'P40429'})"
"frozenset({'Q13546', 'BCR', 'Q02156'})"
"frozenset({'P31946', 'BCR', 'Q5TCZ1'})"
"frozenset({'P07948', 'Q13153', 'BCR'})"
"frozenset({'BCR', 'Q13618', 'P35613'})"
"frozenset({'BCR', 'O14936', 'Q14155'})"
"frozenset({'BCR', 'Q9HCD5', 'P36873'})"
"frozenset({'BCR', 'Q13151', 'P31942'})"
"frozenset({'BCR', 'P46940', 'P67936'})"
"frozenset({'BCR', 'P61254', 'P61326'})"
"frozenset({'BCR', 'P25208', 'P10912'})"
"frozenset({'BCR', 'Q96CB8', 'P51648'})"
"frozenset({'O75190', 'BCR', 'P52179'})"
"frozenset({'Q92624', 'BCR', 'Q9UBW5'})"
"frozenset({'BCR', 'P04183', 'Q04724'})"
"frozenset({'Q8NEG0', 'BCR', 'Q8WUD1'})"
"frozenset({'BCR', 'O95256', 'Q14116'})"
"frozenset({'Q5QNW6', 'BCR', 'Q969S8'})"
"frozenset({'P27361', 'BCR', 'P53355'})"
"frozenset({'O95994', 'Q01995', 'BCR'})"
"frozenset({'Q9BVG8', 'BCR', 'Q49A88'})"
"frozenset({'P46379', 'BCR', 'Q9H3D4'})"
"frozenset({'BCR', 'Q14999', 'O95573'})"
"frozenset({'P10636', 'BCR', 'P0DP23'})"
"frozenset({'O95391', 'BCR', 'Q92620'})"
"frozenset({'BCR', 'Q14192', 'Q9UBI1'})"
"frozenset({'BCR', 'P43358', 'P14927'})"
"frozenset({'BCR', 'P16233', 'P04118'})"
"frozenset({'P48634', 'BCR', 'P04629'})"
"frozenset({'P06730', 'BCR', 'P55884'})"
"frozenset({'Q92499', 'BCR', 'P35249'})"
"frozenset({'BCR', 'Q9UBN7', 'P04626'})"
"frozenset({'BCR', 'Q9Y217', 'Q5JR59'})"
"frozenset({'Q12906', 'BCR', 'P27635'})"
"frozenset({'BCR', 'Q4ZIN3', 'Q9UNP4'})"
"frozenset({'P41597', 'BCR', 'P19876'})"
"frozenset({'BCR', 'Q6R6M4', 'P83916'})"
"frozenset({'BCR', 'Q6NUS6', 'O43808'})"
"frozenset({'BCR', 'P23527', 'Q96AE4'})"
"frozenset({'Q13888', 'Q9UPM6', 'BCR'})"
"frozenset({'BCR', 'Q14653', 'Q15796'})"
"frozenset({'P56199', 'BCR', 'P08572'})"
"frozenset({'BCR', 'Q9NXF1', 'Q9BV38'})"
"frozenset({'BCR', 'Q7Z4S6', 'O95359'})"
"frozenset({'BCR', 'Q92585', 'P46531'})"
"frozenset({'Q86Y56', 'BCR', 'P28482'})"
"frozenset({'BCR', 'P32121', 'Q9Y496'})"
"frozenset({'BCR', 'Q16531', 'Q16576'})"
"frozenset({'Q7Z2W4', 'BCR', 'O95453'})"
"frozenset({'O15353', 'BCR', 'Q14938'})"
"frozenset({'P06576', 'BCR', 'Q13423'})"
"frozenset({'BCR', 'O75360', 'Q14CS0'})"
"frozenset({'BCR', 'P42574', 'Q14203'})"
"frozenset({'BCR', 'Q6NWY9', 'Q12874'})"
"frozenset({'BCR', 'Q16836', 'Q13233'})"
"frozenset({'BCR', 'Q02556', 'P19838'})"
"frozenset({'BCR', 'Q96B77', 'Q8IUH5'})"
"frozenset({'Q14686', 'BCR', 'P19838'})"
"frozenset({'BCR', 'P22736', 'P60370'})"
"frozenset({'Q9UNQ0', 'BCR', 'P11309'})"
"frozenset({'BCR', 'P61077', 'O95714'})"
"frozenset({'BCR', 'Q01831', 'Q9UPP1'})"
"frozenset({'P41743', 'Q9NRA0', 'BCR'})"
"frozenset({'BCR', 'Q9UBN7', 'P08559'})"
"frozenset({'P26992', 'BCR', 'P15248'})"
"frozenset({'Q9NX31', 'BCR', 'Q8IV20'})"
"frozenset({'Q15654', 'BCR', 'O95817'})"
"frozenset({'BCR', 'P42166', 'O95696'})"
"frozenset({'BCR', 'O00505', 'P45973'})"
"frozenset({'Q9UBS5', 'BCR', 'P55157'})"
"frozenset({'BCR', 'Q9NRH3', 'Q96RT8'})"
"frozenset({'BCR', 'P43626', 'P30505'})"
"frozenset({'P02686', 'Q96KB5', 'BCR'})"
"frozenset({'BCR', 'Q00341', 'Q92990'})"
"frozenset({'O15492', 'BCR', 'Q9Y5Y6'})"
"frozenset({'BCR', 'P01106', 'Q9BVI0'})"
"frozenset({'BCR', 'Q6NYC1', 'Q9NP64'})"
"frozenset({'BCR', 'Q92769', 'P17542'})"
"frozenset({'Q53GS9', 'BCR', 'P04004'})"
"frozenset({'BCR', 'Q9NZ81', 'P25788'})"
"frozenset({'BCR', 'Q5T3F8', 'P20020'})"
"frozenset({'P31749', 'BCR', 'P62987'})"
"frozenset({'BCR', 'P62136', 'Q02045'})"
"frozenset({'Q8TB22', 'P35573', 'BCR'})"
"frozenset({'BCR', 'Q9UKB1', 'Q9Y4P1'})"
"frozenset({'Q8WXG6', 'BCR', 'P63104'})"
"frozenset({'BCR', 'P08133', 'P04271'})"
"frozenset({'BCR', 'Q9UM73', 'Q92985'})"
"frozenset({'BCR', 'Q8NEC7', 'Q8IZW8'})"
"frozenset({'O15160', 'BCR', 'Q9Y2S0'})"
"frozenset({'Q75VX8', 'BCR', 'Q9NZM3'})"
"frozenset({'BCR', 'O14965', 'O43379'})"
"frozenset({'Q96CW1', 'BCR', 'Q6ZUT1'})"
"frozenset({'P14222', 'BCR', 'A8MQ03'})"
"frozenset({'P55957', 'BCR', 'Q14790'})"
"frozenset({'BCR', 'P04899', 'P28482'})"
"frozenset({'BCR', 'Q16637', 'Q99459'})"
"frozenset({'P67870', 'BCR', 'Q6VY07'})"
"frozenset({'Q16543', 'O95201', 'BCR'})"
"frozenset({'BCR', 'Q9UBU9', 'Q9H0U6'})"
"frozenset({'BCR', 'P35908', 'Q504Q3'})"
"frozenset({'BCR', 'Q06141', 'P05451'})"
"frozenset({'Q9Y5X4', 'BCR', 'Q09028'})"
"frozenset({'Q5MNZ6', 'Q16831', 'BCR'})"
"frozenset({'BCR', 'O75385', 'P42858'})"
"frozenset({'BCR', 'P62314', 'Q93009'})"
"frozenset({'Q9UL18', 'BCR', 'P51116'})"
"frozenset({'Q9Y6I4', 'BCR', 'P55884'})"
"frozenset({'BCR', 'Q13618', 'Q96HS1'})"
"frozenset({'BCR', 'Q13561', 'Q1MSJ5'})"
"frozenset({'BCR', 'Q86UW9', 'Q6P5X5'})"
"frozenset({'P28065', 'BCR', 'P51665'})"
"frozenset({'BCR', 'Q6PF18', 'Q9BWG6'})"
"frozenset({'BCR', 'P02545', 'Q16630'})"
"frozenset({'P31327', 'BCR', 'P63104'})"
"frozenset({'Q9Y5S9', 'BCR', 'P78406'})"
"frozenset({'O15444', 'BCR', 'O00574'})"
"frozenset({'BCR', 'O75928', 'P42771'})"
"frozenset({'BCR', 'Q9GZQ8', 'P53985'})"
"frozenset({'BCR', 'Q9UPM8', 'Q9Y6B7'})"
"frozenset({'P60709', 'BCR', 'Q9C019'})"
"frozenset({'Q92536', 'BCR', 'Q9UPQ8'})"
"frozenset({'BCR', 'P24043', 'Q9UKX5'})"
"frozenset({'Q05086', 'BCR', 'P17980'})"
"frozenset({'BCR', 'Q14653', 'P52789'})"
"frozenset({'BCR', 'Q9BQY4', 'Q96G42'})"
"frozenset({'P51531', 'BCR', 'P16220'})"
"frozenset({'BCR', 'A8MVX0', 'Q14161'})"
"frozenset({'BCR', 'P68400', 'Q9P2X7'})"
"frozenset({'BCR', 'O95758', 'P51659'})"
"frozenset({'P31994', 'BCR', 'Q92835'})"
"frozenset({'BCR', 'Q09472', 'P05231'})"
"frozenset({'BCR', 'P55317', 'Q92754'})"
"frozenset({'Q8NGJ2', 'P25098', 'BCR'})"
"frozenset({'BCR', 'Q75N03', 'P98175'})"
"frozenset({'BCR', 'Q9P2R3', 'Q9BXW4'})"
"frozenset({'P01133', 'BCR', 'Q9UJM3'})"
"frozenset({'BCR', 'Q9Y4K3', 'Q7L2H7'})"
"frozenset({'Q8TEC5', 'P22061', 'BCR'})"
"frozenset({'BCR', 'Q99728', 'O15042'})"
"frozenset({'P35579', 'BCR', 'P19838'})"
"frozenset({'P19419', 'BCR', 'P63279'})"
"frozenset({'BCR', 'P15927', 'Q10570'})"
"frozenset({'BCR', 'P55036', 'O43396'})"
"frozenset({'Q14CZ7', 'Q9HCC0', 'BCR'})"
"frozenset({'O43542', 'BCR', 'Q15293'})"
"frozenset({'BCR', 'Q99459', 'Q12905'})"
"frozenset({'P18858', 'BCR', 'P24941'})"
"frozenset({'Q8IYB3', 'BCR', 'Q6ZW49'})"
"frozenset({'Q13425', 'BCR', 'Q9Y4J8'})"
"frozenset({'Q13153', 'Q15831', 'BCR'})"
"frozenset({'BCR', 'Q6L8G4', 'Q7Z417'})"
"frozenset({'Q9HBM0', 'BCR', 'Q6NUS6'})"
"frozenset({'Q9ULV4', 'BCR', 'Q96CW1'})"
"frozenset({'BCR', 'P61626', 'Q8NEV4'})"
"frozenset({'P13631', 'BCR', 'P48443'})"
"frozenset({'BCR', 'Q7L5N1', 'P19838'})"
"frozenset({'P08151', 'BCR', 'P62873'})"
"frozenset({'BCR', 'Q8NB90', 'Q6P656'})"
"frozenset({'P05976', 'BCR', 'Q9UBT2'})"
"frozenset({'O60934', 'BCR', 'Q6R327'})"
"frozenset({'P04792', 'BCR', 'P31942'})"
"frozenset({'BCR', 'O00560', 'O43704'})"
"frozenset({'P42224', 'BCR', 'P35658'})"
"frozenset({'Q8NH49', 'BCR', 'P22694'})"
"frozenset({'Q96KP6', 'Q3B820', 'BCR'})"
"frozenset({'P00533', 'BCR', 'P10620'})"
"frozenset({'BCR', 'P24385', 'P10275'})"
"frozenset({'O00764', 'BCR', 'Q5T013'})"
"frozenset({'BCR', 'O15151', 'Q9BYV6'})"
"frozenset({'BCR', 'O76071', 'P20618'})"
"frozenset({'BCR', 'P13807', 'Q8N8Y5'})"
"frozenset({'Q9HCK5', 'BCR', 'P30050'})"
"frozenset({'Q15084', 'BCR', 'Q8N806'})"
"frozenset({'P60484', 'BCR', 'Q07890'})"
"frozenset({'BCR', 'Q99801', 'Q8TAU3'})"
"frozenset({'BCR', 'P62714', 'Q49AN0'})"
"frozenset({'BCR', 'Q5T4S7', 'P48039'})"
"frozenset({'Q01094', 'BCR', 'P18074'})"
"frozenset({'BCR', 'Q99496', 'P35241'})"
"frozenset({'P68431', 'P62316', 'BCR'})"
"frozenset({'Q9H3P7', 'Q9H3U1', 'BCR'})"
"frozenset({'Q12981', 'Q9NZ43', 'BCR'})"
"frozenset({'BCR', 'P42771', 'Q9UJY5'})"
"frozenset({'BCR', 'Q02952', 'P04637'})"
"frozenset({'P63211', 'BCR', 'O43306'})"
"frozenset({'Q5TC82', 'BCR', 'Q96CT7'})"
"frozenset({'BCR', 'Q6WCQ1', 'P11142'})"
"frozenset({'BCR', 'Q14571', 'Q9UBN4'})"
"frozenset({'O43683', 'BCR', 'O60729'})"
"frozenset({'Q6K0P9', 'BCR', 'Q96RR1'})"
"frozenset({'BCR', 'O43815', 'P50991'})"
"frozenset({'Q7Z3S9', 'BCR', 'P52797'})"
"frozenset({'BCR', 'Q9BXI2', 'O76064'})"
"frozenset({'P15924', 'BCR', 'Q13509'})"
"frozenset({'P12830', 'Q96MW1', 'BCR'})"
"frozenset({'Q12824', 'BCR', 'P0DP24'})"
"frozenset({'BCR', 'P62820', 'Q86Y82'})"
"frozenset({'BCR', 'Q13618', 'P14866'})"
"frozenset({'BCR', 'Q9UMX1', 'O43791'})"
"frozenset({'BCR', 'Q04206', 'P01024'})"
"frozenset({'Q9UJX5', 'BCR', 'Q9H6Y5'})"
"frozenset({'BCR', 'P49411', 'P62277'})"
"frozenset({'BCR', 'P26371', 'Q8IV04'})"
"frozenset({'Q149N8', 'BCR', 'P63146'})"
"frozenset({'P35579', 'BCR', 'Q9Y6K9'})"
"frozenset({'Q16787', 'BCR', 'P00747'})"
"frozenset({'Q9H7D7', 'BCR', 'P62873'})"
"frozenset({'Q5VV63', 'BCR', 'P32245'})"
"frozenset({'Q96IZ0', 'BCR', 'P14416'})"
"frozenset({'Q96LX8', 'Q99549', 'BCR'})"
