negatives
"frozenset({'Q13285', 'IL6', 'P49675'})"
"frozenset({'P41212', 'IL6', 'Q13469'})"
"frozenset({'Q15047', 'Q8IUH5', 'IL6'})"
"frozenset({'O75469', 'Q9BRK5', 'IL6'})"
"frozenset({'Q8WXX5', 'Q96GG9', 'IL6'})"
"frozenset({'Q13162', 'IL6', 'Q9BVJ7'})"
"frozenset({'IL6', 'Q8IYB3', 'Q9NR30'})"
"frozenset({'Q9UF02', 'P30153', 'IL6'})"
"frozenset({'Q9H4L7', 'O94776', 'IL6'})"
"frozenset({'P28069', 'IL6', 'P35548'})"
"frozenset({'P06748', 'IL6', 'O00567'})"
"frozenset({'P62140', 'Q9P2X7', 'IL6'})"
"frozenset({'IL6', 'P31947', 'P26651'})"
"frozenset({'IL6', 'O75844', 'Q9BTV4'})"
"frozenset({'IL6', 'P11473', 'Q05516'})"
"frozenset({'Q9HCN6', 'IL6', 'P02452'})"
"frozenset({'Q8TEW6', 'P52630', 'IL6'})"
"frozenset({'IL6', 'O60739', 'Q9NR99'})"
"frozenset({'P50222', 'IL6', 'O15160'})"
"frozenset({'IL6', 'Q5MJ10', 'Q7L190'})"
"frozenset({'Q9Y570', 'IL6', 'O15294'})"
"frozenset({'P11441', 'P62736', 'IL6'})"
"frozenset({'Q92620', 'O60231', 'IL6'})"
"frozenset({'P67870', 'Q99523', 'IL6'})"
"frozenset({'P82933', 'IL6', 'Q9P2P5'})"
"frozenset({'P06241', 'IL6', 'P06729'})"
"frozenset({'Q8N140', 'IL6', 'Q9BQE5'})"
"frozenset({'P62877', 'IL6', 'Q8N5Z5'})"
"frozenset({'P26951', 'IL6', 'Q9UHD0'})"
"frozenset({'P62714', 'IL6', 'Q6P9B9'})"
"frozenset({'IL6', 'P68400', 'Q03111'})"
"frozenset({'IL6', 'O43660', 'P09661'})"
"frozenset({'P06576', 'IL6', 'P26599'})"
"frozenset({'P47897', 'Q99496', 'IL6'})"
"frozenset({'Q9P2B4', 'Q13043', 'IL6'})"
"frozenset({'P23919', 'IL6', 'Q01860'})"
"frozenset({'IL6', 'Q969P0', 'P61978'})"
"frozenset({'IL6', 'P42768', 'Q05209'})"
"frozenset({'IL6', 'Q8WYA6', 'O14744'})"
"frozenset({'O43189', 'IL6', 'Q16576'})"
"frozenset({'IL6', 'Q9UNX4', 'O00567'})"
"frozenset({'IL6', 'P07900', 'P51813'})"
"frozenset({'Q9BV86', 'IL6', 'Q9Y2L1'})"
"frozenset({'Q9H334', 'IL6', 'Q9NZI7'})"
"frozenset({'Q13480', 'IL6', 'Q12913'})"
"frozenset({'Q6P597', 'O43929', 'IL6'})"
"frozenset({'P29459', 'P16471', 'IL6'})"
"frozenset({'IL6', 'P55084', 'Q7Z6Z7'})"
"frozenset({'IL6', 'P62834', 'Q15382'})"
"frozenset({'P13533', 'IL6', 'Q15369'})"
"frozenset({'Q13568', 'IL6', 'P52294'})"
"frozenset({'IL6', 'Q13510', 'Q13554'})"
"frozenset({'A6NMS3', 'IL6', 'P35626'})"
"frozenset({'Q9Y6K9', 'IL6', 'P51617'})"
"frozenset({'IL6', 'P31946', 'O60292'})"
"frozenset({'Q8NCH0', 'Q13635', 'IL6'})"
"frozenset({'P24941', 'Q99626', 'IL6'})"
"frozenset({'P62140', 'Q14739', 'IL6'})"
"frozenset({'P62714', 'IL6', 'P31749'})"
"frozenset({'Q6NSI4', 'Q16659', 'IL6'})"
"frozenset({'IL6', 'Q9UQ35', 'Q92922'})"
"frozenset({'IL6', 'Q86VM9', 'Q92731'})"
"frozenset({'IL6', 'Q9HB75', 'P30876'})"
"frozenset({'Q9P0L0', 'IL6', 'Q06432'})"
"frozenset({'IL6', 'P29350', 'P15498'})"
"frozenset({'P60410', 'IL6', 'Q9P127'})"
"frozenset({'Q9UI30', 'IL6', 'O43290'})"
"frozenset({'P35228', 'IL6', 'Q96BD6'})"
"frozenset({'IL6', 'O43586', 'P32969'})"
"frozenset({'IL6', 'Q15788', 'Q9Y3R0'})"
"frozenset({'Q99873', 'IL6', 'Q9NXF7'})"
"frozenset({'Q86X19', 'IL6', 'Q9HB21'})"
"frozenset({'IL6', 'Q9HBE1', 'Q01860'})"
"frozenset({'Q8IUH5', 'IL6', 'Q9NP64'})"
"frozenset({'Q6UY14', 'IL6', 'Q15654'})"
"frozenset({'P10276', 'IL6', 'O75582'})"
"frozenset({'Q9P212', 'IL6', 'Q16512'})"
"frozenset({'P0C0S5', 'P68133', 'IL6'})"
"frozenset({'P62873', 'Q8NGJ2', 'IL6'})"
"frozenset({'P53621', 'IL6', 'P49368'})"
"frozenset({'IL6', 'Q99741', 'Q9ULX6'})"
"frozenset({'P02751', 'IL6', 'P62304'})"
"frozenset({'IL6', 'P34947', 'P35580'})"
"frozenset({'Q9H9S0', 'IL6', 'Q9BWW4'})"
"frozenset({'IL6', 'O60939', 'Q9UPT5'})"
"frozenset({'IL6', 'P15336', 'Q09666'})"
"frozenset({'Q96JG8', 'Q9NR46', 'IL6'})"
"frozenset({'IL6', 'P41182', 'Q52LG2'})"
"frozenset({'IL6', 'Q9HCE1', 'Q6PH81'})"
"frozenset({'P02751', 'IL6', 'O75369'})"
"frozenset({'IL6', 'Q7Z3S7', 'Q14738'})"
"frozenset({'IL6', 'P67809', 'Q9BVP2'})"
"frozenset({'IL6', 'Q14103', 'Q15843'})"
"frozenset({'Q96SL4', 'O43765', 'IL6'})"
"frozenset({'Q9BYC8', 'IL6', 'Q2NL82'})"
"frozenset({'Q8NGY0', 'IL6', 'P49407'})"
"frozenset({'O15078', 'IL6', 'Q92979'})"
"frozenset({'IL6', 'O95461', 'Q6VN20'})"
"frozenset({'P11142', 'IL6', 'Q8IWD4'})"
"frozenset({'P21980', 'IL6', 'Q96K21'})"
"frozenset({'Q53H82', 'IL6', 'O75083'})"
"frozenset({'P05452', 'IL6', 'Q92882'})"
"frozenset({'P98179', 'P24941', 'IL6'})"
"frozenset({'O95678', 'IL6', 'Q9BT92'})"
"frozenset({'P54136', 'IL6', 'P01889'})"
"frozenset({'IL6', 'Q9P2W9', 'Q9Y5M8'})"
"frozenset({'IL6', 'P49674', 'O15169'})"
"frozenset({'P05362', 'P31943', 'IL6'})"
"frozenset({'Q8NGK3', 'IL6', 'P17612'})"
"frozenset({'P55769', 'IL6', 'O75934'})"
"frozenset({'IL6', 'A6NHQ4', 'Q15369'})"
"frozenset({'Q14194', 'Q96JB5', 'IL6'})"
"frozenset({'Q9BU64', 'IL6', 'Q96H22'})"
"frozenset({'IL6', 'Q04759', 'P07900'})"
"frozenset({'O14958', 'IL6', 'Q8WUA4'})"
"frozenset({'IL6', 'Q8IV20', 'P33552'})"
"frozenset({'IL6', 'Q9H0U6', 'Q6ZMI0'})"
"frozenset({'Q9GZP4', 'Q9HBL6', 'IL6'})"
"frozenset({'P12544', 'IL6', 'P01008'})"
"frozenset({'IL6', 'P15336', 'Q96BA8'})"
"frozenset({'IL6', 'P09493', 'Q5H9R7'})"
"frozenset({'IL6', 'O60939', 'Q9Y5L0'})"
"frozenset({'P78369', 'P57739', 'IL6'})"
"frozenset({'Q15583', 'IL6', 'Q15796'})"
"frozenset({'IL6', 'P28222', 'P63211'})"
"frozenset({'IL6', 'P46781', 'O15372'})"
"frozenset({'IL6', 'Q7L014', 'P62937'})"
"frozenset({'Q9UNH7', 'Q8NAP1', 'IL6'})"
"frozenset({'IL6', 'Q15691', 'O43707'})"
"frozenset({'P16619', 'IL6', 'P49238'})"
"frozenset({'Q6ZUJ8', 'P42338', 'IL6'})"
"frozenset({'O60701', 'IL6', 'O75792'})"
"frozenset({'O15162', 'P12236', 'IL6'})"
"frozenset({'IL6', 'O43819', 'P35270'})"
"frozenset({'IL6', 'Q9H492', 'P17252'})"
"frozenset({'P05412', 'IL6', 'P16581'})"
"frozenset({'P10599', 'IL6', 'Q9BSM1'})"
"frozenset({'O14610', 'P48736', 'IL6'})"
"frozenset({'Q9NSD9', 'IL6', 'O15294'})"
"frozenset({'P62081', 'IL6', 'P35268'})"
"frozenset({'P31749', 'P27361', 'IL6'})"
"frozenset({'Q9NRM7', 'Q8TEP8', 'IL6'})"
"frozenset({'IL6', 'Q96ME1', 'P63208'})"
"frozenset({'P63215', 'IL6', 'Q9H1C0'})"
"frozenset({'Q8IXJ6', 'IL6', 'Q9UM11'})"
"frozenset({'IL6', 'O00443', 'P49407'})"
"frozenset({'Q96EE3', 'IL6', 'Q8TEM1'})"
"frozenset({'IL6', 'Q68DQ2', 'Q9BXA7'})"
"frozenset({'Q8IYE0', 'IL6', 'Q96JN2'})"
"frozenset({'IL6', 'Q06413', 'Q14934'})"
"frozenset({'IL6', 'Q9Y3A4', 'Q5SSJ5'})"
"frozenset({'IL6', 'Q14201', 'A5YKK6'})"
"frozenset({'P22061', 'IL6', 'P21281'})"
"frozenset({'IL6', 'Q32MK0', 'Q9NQU5'})"
"frozenset({'Q9Y291', 'IL6', 'Q13595'})"
"frozenset({'Q9UGC7', 'O60256', 'IL6'})"
"frozenset({'P60709', 'IL6', 'P06239'})"
"frozenset({'Q96IF1', 'IL6', 'Q9H4B6'})"
"frozenset({'IL6', 'Q9Y3C7', 'Q16637'})"
"frozenset({'IL6', 'O14617', 'Q8N4C6'})"
"frozenset({'Q9Y4K3', 'Q96QV1', 'IL6'})"
"frozenset({'IL6', 'P80162', 'P03956'})"
"frozenset({'P13631', 'P28702', 'IL6'})"
"frozenset({'Q8NBB4', 'Q96LI5', 'IL6'})"
"frozenset({'Q96B97', 'IL6', 'Q99501'})"
"frozenset({'Q00537', 'P29317', 'IL6'})"
"frozenset({'IL6', 'P13010', 'Q9UBS0'})"
"frozenset({'IL6', 'P51610', 'Q92731'})"
"frozenset({'P05026', 'IL6', 'Q13237'})"
"frozenset({'Q9BSJ6', 'Q6DKK2', 'IL6'})"
"frozenset({'O95707', 'IL6', 'Q9BRT8'})"
"frozenset({'Q9BRQ0', 'O75529', 'IL6'})"
"frozenset({'Q6DD88', 'IL6', 'P16435'})"
"frozenset({'P07108', 'IL6', 'P61604'})"
"frozenset({'IL6', 'Q9UHC7', 'Q96B02'})"
"frozenset({'Q9BXW4', 'IL6', 'Q9UPU7'})"
"frozenset({'P32121', 'O95013', 'IL6'})"
"frozenset({'IL6', 'Q9Y263', 'Q9UNN5'})"
"frozenset({'Q9Y478', 'IL6', 'P62993'})"
"frozenset({'Q99707', 'IL6', 'O43852'})"
"frozenset({'IL6', 'Q96BA8', 'Q6N075'})"
"frozenset({'Q96EB6', 'IL6', 'P78347'})"
"frozenset({'Q99459', 'O43301', 'IL6'})"
"frozenset({'IL6', 'O14763', 'Q96MV8'})"
"frozenset({'Q9H6T3', 'Q5S007', 'IL6'})"
"frozenset({'Q9BV86', 'IL6', 'Q14164'})"
"frozenset({'IL6', 'P49407', 'Q8NH40'})"
"frozenset({'P11142', 'IL6', 'P21980'})"
"frozenset({'IL6', 'P54257', 'Q99728'})"
"frozenset({'IL6', 'P48556', 'P20618'})"
"frozenset({'Q15025', 'P18146', 'IL6'})"
"frozenset({'Q9GZT6', 'P50570', 'IL6'})"
"frozenset({'P32121', 'IL6', 'Q8NH54'})"
"frozenset({'Q5T5X7', 'Q13547', 'IL6'})"
"frozenset({'Q12792', 'P62140', 'IL6'})"
"frozenset({'Q96SB3', 'Q8TAF3', 'IL6'})"
"frozenset({'Q9UBP4', 'IL6', 'O15297'})"
"frozenset({'Q9H1I8', 'IL6', 'Q99633'})"
"frozenset({'IL6', 'Q9H204', 'Q06187'})"
"frozenset({'Q96DH6', 'P35226', 'IL6'})"
"frozenset({'Q9P0M6', 'IL6', 'Q15910'})"
"frozenset({'Q01844', 'Q02930', 'IL6'})"
"frozenset({'IL6', 'O43678', 'P17612'})"
"frozenset({'P67870', 'O15294', 'IL6'})"
"frozenset({'IL6', 'Q5JTV8', 'Q13315'})"
"frozenset({'P35225', 'IL6', 'Q5VWK5'})"
"frozenset({'P08238', 'P29317', 'IL6'})"
"frozenset({'P30480', 'IL6', 'P00505'})"
"frozenset({'P68431', 'IL6', 'Q99549'})"
"frozenset({'Q9H8Y8', 'O76083', 'IL6'})"
"frozenset({'O00444', 'Q969U6', 'IL6'})"
"frozenset({'Q16082', 'IL6', 'P13929'})"
"frozenset({'Q96KQ4', 'IL6', 'Q99459'})"
"frozenset({'Q9H853', 'P68371', 'IL6'})"
"frozenset({'IL6', 'Q14839', 'Q9H165'})"
"frozenset({'P46934', 'Q01433', 'IL6'})"
"frozenset({'IL6', 'Q00839', 'Q15459'})"
"frozenset({'IL6', 'Q9ULR3', 'Q08AD1'})"
"frozenset({'IL6', 'Q9H0K6', 'P05067'})"
"frozenset({'Q13596', 'IL6', 'Q96S94'})"
"frozenset({'P62987', 'IL6', 'P07737'})"
"frozenset({'IL6', 'P56134', 'P18859'})"
"frozenset({'P11142', 'IL6', 'P11021'})"
"frozenset({'IL6', 'O95633', 'P78325'})"
"frozenset({'P45877', 'Q9NZ09', 'IL6'})"
"frozenset({'Q8NGX6', 'IL6', 'P25098'})"
"frozenset({'P63279', 'P61086', 'IL6'})"
"frozenset({'Q16795', 'IL6', 'P49821'})"
"frozenset({'IL6', 'P12830', 'Q6IQ23'})"
"frozenset({'P08581', 'IL6', 'P17252'})"
"frozenset({'O15027', 'IL6', 'Q9NQH7'})"
"frozenset({'IL6', 'P54132', 'O60318'})"
"frozenset({'IL6', 'Q9UJC3', 'P11802'})"
"frozenset({'IL6', 'Q6P3W7', 'P04629'})"
"frozenset({'Q13620', 'IL6', 'Q86VP6'})"
"frozenset({'P62136', 'P24928', 'IL6'})"
"frozenset({'P35527', 'Q96GG9', 'IL6'})"
"frozenset({'IL6', 'Q7Z4H8', 'Q2MV58'})"
"frozenset({'O76011', 'P26196', 'IL6'})"
"frozenset({'P10275', 'P55210', 'IL6'})"
"frozenset({'P33076', 'IL6', 'Q16594'})"
"frozenset({'Q8NHM5', 'Q6W2J9', 'IL6'})"
"frozenset({'P51608', 'P35713', 'IL6'})"
"frozenset({'Q9NYB0', 'IL6', 'O00479'})"
"frozenset({'Q9P2F6', 'P15153', 'IL6'})"
"frozenset({'O43148', 'Q93034', 'IL6'})"
"frozenset({'O60504', 'O75955', 'IL6'})"
"frozenset({'P54646', 'Q08117', 'IL6'})"
"frozenset({'P11142', 'IL6', 'O60237'})"
"frozenset({'IL6', 'O75190', 'Q16659'})"
"frozenset({'Q08211', 'IL6', 'Q9BXP5'})"
"frozenset({'IL6', 'P31040', 'P05141'})"
"frozenset({'Q13286', 'IL6', 'Q8N1F7'})"
"frozenset({'P46531', 'IL6', 'Q8IUR7'})"
"frozenset({'P07737', 'P16333', 'IL6'})"
"frozenset({'IL6', 'Q8N109', 'P29350'})"
"frozenset({'IL6', 'P00966', 'Q9NRD1'})"
"frozenset({'P51784', 'O15105', 'IL6'})"
"frozenset({'Q8NDC0', 'IL6', 'Q9BTL3'})"
"frozenset({'IL6', 'P31751', 'Q96BA8'})"
"frozenset({'Q6P2Q9', 'P35613', 'IL6'})"
"frozenset({'IL6', 'Q9HA38', 'O75569'})"
"frozenset({'Q9NYB0', 'IL6', 'O60936'})"
"frozenset({'Q9H3P7', 'IL6', 'Q9UJM3'})"
"frozenset({'O43929', 'Q9ULD2', 'IL6'})"
"frozenset({'O14757', 'P51955', 'IL6'})"
"frozenset({'Q13617', 'IL6', 'Q04323'})"
"frozenset({'IL6', 'Q9Y244', 'O14818'})"
"frozenset({'O75069', 'Q01850', 'IL6'})"
"frozenset({'P20807', 'IL6', 'Q4VCS5'})"
"frozenset({'IL6', 'P21333', 'O75369'})"
"frozenset({'Q16254', 'IL6', 'Q9UQ80'})"
"frozenset({'O75147', 'IL6', 'Q03701'})"
"frozenset({'Q05086', 'Q16659', 'IL6'})"
"frozenset({'O43557', 'IL6', 'P17152'})"
"frozenset({'IL6', 'Q8IUZ0', 'Q9NXB0'})"
"frozenset({'IL6', 'Q9HAU4', 'Q9Y4E8'})"
"frozenset({'Q13887', 'IL6', 'Q92688'})"
"frozenset({'P78358', 'IL6', 'A6NI15'})"
"frozenset({'IL6', 'P01106', 'Q9Y6Q9'})"
"frozenset({'Q5UIP0', 'IL6', 'Q02363'})"
"frozenset({'Q9UHD9', 'IL6', 'Q96IT6'})"
"frozenset({'Q9C002', 'IL6', 'P36542'})"
"frozenset({'O43148', 'Q13616', 'IL6'})"
"frozenset({'Q9Y2I1', 'IL6', 'A8CG34'})"
"frozenset({'P55735', 'IL6', 'Q9Y6B6'})"
"frozenset({'Q9C035', 'IL6', 'P35998'})"
"frozenset({'IL6', 'Q9UEU0', 'Q9NR50'})"
"frozenset({'IL6', 'Q13315', 'Q9UBS4'})"
"frozenset({'P24386', 'O75390', 'IL6'})"
"frozenset({'IL6', 'Q6DKJ4', 'Q92558'})"
"frozenset({'IL6', 'Q5JST6', 'Q05516'})"
"frozenset({'IL6', 'Q9NZ94', 'Q9BZV1'})"
"frozenset({'IL6', 'P04114', 'P35579'})"
"frozenset({'P32121', 'IL6', 'Q9BQA1'})"
"frozenset({'IL6', 'Q9BTE6', 'Q9HAV4'})"
"frozenset({'O75147', 'IL6', 'O94901'})"
"frozenset({'Q9NV31', 'IL6', 'O43818'})"
"frozenset({'Q92685', 'IL6', 'Q9Y2T5'})"
"frozenset({'O75665', 'IL6', 'Q68CZ1'})"
"frozenset({'IL6', 'Q16777', 'Q9NWY4'})"
"frozenset({'Q86UX7', 'IL6', 'P01106'})"
"frozenset({'IL6', 'Q9HCM2', 'P15153'})"
"frozenset({'Q13148', 'IL6', 'P11021'})"
"frozenset({'P24385', 'IL6', 'P38936'})"
"frozenset({'Q14624', 'P62993', 'IL6'})"
"frozenset({'IL6', 'Q96HZ7', 'Q3LI66'})"
"frozenset({'Q9H5Q4', 'Q9NY12', 'IL6'})"
"frozenset({'P08238', 'IL6', 'O14920'})"
"frozenset({'P08637', 'IL6', 'A6NI73'})"
"frozenset({'Q15554', 'IL6', 'P38398'})"
"frozenset({'O75323', 'IL6', 'Q8IU60'})"
"frozenset({'IL6', 'O95199', 'Q8WVJ2'})"
"frozenset({'IL6', 'Q9Y3M2', 'Q8TC76'})"
"frozenset({'Q9Y6M9', 'P03901', 'IL6'})"
"frozenset({'P10451', 'IL6', 'P02794'})"
"frozenset({'Q5VTR2', 'IL6', 'Q9UHA7'})"
"frozenset({'P17174', 'IL6', 'P61604'})"
"frozenset({'P52732', 'IL6', 'Q9Y2T2'})"
"frozenset({'IL6', 'Q9Y448', 'Q9HCE1'})"
"frozenset({'IL6', 'A2VCK2', 'Q5JR59'})"
"frozenset({'IL6', 'Q13882', 'Q92625'})"
"frozenset({'IL6', 'O14828', 'P27694'})"
"frozenset({'IL6', 'Q8IWL3', 'Q9NVP1'})"
"frozenset({'IL6', 'P10415', 'P31153'})"
"frozenset({'IL6', 'Q92734', 'P21281'})"
"frozenset({'IL6', 'O95613', 'Q8IYE1'})"
"frozenset({'IL6', 'P07910', 'P49715'})"
"frozenset({'IL6', 'O43242', 'P55036'})"
"frozenset({'IL6', 'O14933', 'P78317'})"
"frozenset({'Q9UGI0', 'IL6', 'Q16512'})"
"frozenset({'IL6', 'Q99759', 'P34932'})"
"frozenset({'P78352', 'Q96NW7', 'IL6'})"
"frozenset({'P07948', 'P23443', 'IL6'})"
"frozenset({'Q9Y314', 'IL6', 'Q9UGP5'})"
"frozenset({'Q13255', 'IL6', 'Q13555'})"
"frozenset({'Q9NTJ5', 'IL6', 'P17252'})"
"frozenset({'O94905', 'Q5H9R7', 'IL6'})"
"frozenset({'IL6', 'P61221', 'P60903'})"
"frozenset({'Q9H6Z9', 'IL6', 'P19235'})"
"frozenset({'P60520', 'IL6', 'Q7Z794'})"
"frozenset({'Q15388', 'IL6', 'Q16659'})"
"frozenset({'Q86YR5', 'IL6', 'Q86WC4'})"
"frozenset({'P16615', 'IL6', 'Q6NUS6'})"
"frozenset({'IL6', 'O95718', 'P05141'})"
"frozenset({'P07237', 'IL6', 'Q15910'})"
"frozenset({'IL6', 'O60566', 'Q9UER7'})"
"frozenset({'Q02539', 'P61247', 'IL6'})"
"frozenset({'IL6', 'P20339', 'Q9UGI6'})"
"frozenset({'P06241', 'IL6', 'O60493'})"
"frozenset({'Q96C19', 'IL6', 'Q9UHB6'})"
"frozenset({'IL6', 'P02647', 'Q9BQN1'})"
"frozenset({'Q9NUX5', 'IL6', 'O96013'})"
"frozenset({'Q96AZ1', 'IL6', 'P13473'})"
"frozenset({'IL6', 'Q7Z7A1', 'Q9BT92'})"
"frozenset({'IL6', 'O43918', 'O60516'})"
"frozenset({'P16591', 'IL6', 'P35222'})"
"frozenset({'Q13233', 'IL6', 'Q969H6'})"
"frozenset({'P00533', 'IL6', 'Q6P996'})"
"frozenset({'IL6', 'Q9NNW7', 'O75376'})"
"frozenset({'P27918', 'IL6', 'A8MQ03'})"
"frozenset({'IL6', 'Q04917', 'P29074'})"
"frozenset({'IL6', 'P53992', 'O94855'})"
"frozenset({'Q9NV44', 'IL6', 'Q63HR2'})"
"frozenset({'Q5TA50', 'IL6', 'Q16610'})"
"frozenset({'IL6', 'P50552', 'Q9P2A4'})"
"frozenset({'O00757', 'IL6', 'Q969H0'})"
"frozenset({'P50570', 'Q13492', 'IL6'})"
"frozenset({'Q96SW2', 'IL6', 'P19474'})"
"frozenset({'IL6', 'P62258', 'P40818'})"
"frozenset({'P63279', 'IL6', 'P46937'})"
"frozenset({'IL6', 'A6NEM1', 'Q86UD4'})"
"frozenset({'IL6', 'P62330', 'Q15311'})"
"frozenset({'P62191', 'P55072', 'IL6'})"
"frozenset({'O15151', 'IL6', 'O00505'})"
"frozenset({'P51572', 'Q96Q45', 'IL6'})"
"frozenset({'IL6', 'P50616', 'P28482'})"
"frozenset({'O75925', 'IL6', 'P20591'})"
"frozenset({'Q6EMB2', 'IL6', 'P04637'})"
"frozenset({'IL6', 'P26447', 'P06703'})"
"frozenset({'P05412', 'P63241', 'IL6'})"
"frozenset({'IL6', 'Q9NP66', 'O00327'})"
"frozenset({'P60328', 'IL6', 'O76003'})"
"frozenset({'P50148', 'IL6', 'P30556'})"
"frozenset({'IL6', 'P13196', 'Q8IWL3'})"
"frozenset({'IL6', 'P43307', 'O94822'})"
"frozenset({'P09651', 'IL6', 'Q9HD33'})"
"frozenset({'Q8WYK2', 'IL6', 'P17275'})"
"frozenset({'IL6', 'P31153', 'Q9GZN1'})"
"frozenset({'P27986', 'IL6', 'Q9H9Y6'})"
"frozenset({'IL6', 'P03372', 'Q96S55'})"
"frozenset({'Q99880', 'Q86VP6', 'IL6'})"
"frozenset({'IL6', 'Q00534', 'O43524'})"
"frozenset({'IL6', 'P04271', 'Q92597'})"
"frozenset({'IL6', 'Q9P275', 'Q8NE00'})"
"frozenset({'Q969Y2', 'IL6', 'Q9BRP4'})"
"frozenset({'IL6', 'Q9Y223', 'Q9BYQ4'})"
"frozenset({'O76011', 'P59991', 'IL6'})"
"frozenset({'IL6', 'Q8N653', 'Q8N9V6'})"
"frozenset({'P62081', 'Q13148', 'IL6'})"
"frozenset({'IL6', 'O75947', 'P56385'})"
"frozenset({'IL6', 'P63151', 'Q96Q15'})"
"frozenset({'IL6', 'P55786', 'Q15418'})"
"frozenset({'IL6', 'Q9UHB6', 'P27694'})"
"frozenset({'IL6', 'Q92734', 'O14964'})"
"frozenset({'Q9NX58', 'Q9H6S0', 'IL6'})"
"frozenset({'IL6', 'P21217', 'Q96IW7'})"
"frozenset({'P55795', 'IL6', 'Q08170'})"
"frozenset({'IL6', 'Q9NPI1', 'Q9Y5Q9'})"
"frozenset({'IL6', 'Q15475', 'O15520'})"
"frozenset({'O75581', 'IL6', 'P62979'})"
"frozenset({'P12931', 'IL6', 'Q8WWM7'})"
"frozenset({'IL6', 'O95967', 'O60381'})"
"frozenset({'Q9NYF8', 'Q9HC52', 'IL6'})"
"frozenset({'P45984', 'P19838', 'IL6'})"
"frozenset({'IL6', 'Q16539', 'P07550'})"
"frozenset({'IL6', 'P22626', 'Q8N4V1'})"
"frozenset({'IL6', 'Q9HCN4', 'P24928'})"
"frozenset({'O14757', 'O95758', 'IL6'})"
"frozenset({'Q9Y6R0', 'P12830', 'IL6'})"
"frozenset({'IL6', 'P51617', 'Q13526'})"
"frozenset({'P06748', 'P31689', 'IL6'})"
"frozenset({'IL6', 'Q92734', 'Q9UKR5'})"
"frozenset({'IL6', 'P38398', 'P46779'})"
"frozenset({'Q9BU76', 'IL6', 'P78362'})"
"frozenset({'Q9NWU5', 'Q92796', 'IL6'})"
"frozenset({'Q13618', 'IL6', 'P61513'})"
"frozenset({'Q9H9S0', 'Q9Y281', 'IL6'})"
"frozenset({'Q96EB6', 'IL6', 'Q9HB65'})"
"frozenset({'IL6', 'P49711', 'Q6VAB6'})"
"frozenset({'IL6', 'Q14103', 'Q13371'})"
"frozenset({'IL6', 'Q04637', 'P17980'})"
"frozenset({'O95793', 'P07195', 'IL6'})"
"frozenset({'P62333', 'IL6', 'P25398'})"
"frozenset({'P02751', 'IL6', 'P61081'})"
"frozenset({'P09651', 'IL6', 'P05387'})"
"frozenset({'P26951', 'IL6', 'P01574'})"
"frozenset({'O75344', 'Q70CQ1', 'IL6'})"
"frozenset({'Q9H8V3', 'IL6', 'Q9NS91'})"
"frozenset({'O75604', 'P38398', 'IL6'})"
"frozenset({'IL6', 'P38398', 'P09493'})"
"frozenset({'Q13586', 'P23634', 'IL6'})"
"frozenset({'IL6', 'Q05209', 'P04629'})"
"frozenset({'Q9Y6Y8', 'IL6', 'Q09161'})"
"frozenset({'Q92526', 'IL6', 'P53675'})"
"frozenset({'P51784', 'IL6', 'Q96T88'})"
"frozenset({'Q9UKR5', 'IL6', 'Q9BUJ2'})"
"frozenset({'IL6', 'Q7Z304', 'P04183'})"
"frozenset({'Q9Y297', 'P15822', 'IL6'})"
"frozenset({'P62273', 'IL6', 'P32969'})"
"frozenset({'IL6', 'P49023', 'P18031'})"
"frozenset({'P48431', 'IL6', 'P54727'})"
"frozenset({'P56524', 'IL6', 'P08047'})"
"frozenset({'Q13435', 'IL6', 'P54132'})"
"frozenset({'Q14999', 'IL6', 'Q12769'})"
"frozenset({'IL6', 'P39019', 'P04637'})"
"frozenset({'IL6', 'Q9Y3C7', 'Q96N21'})"
"frozenset({'IL6', 'P05067', 'Q96A22'})"
"frozenset({'IL6', 'P61006', 'Q9NX63'})"
"frozenset({'P51116', 'P51451', 'IL6'})"
"frozenset({'O75663', 'P02545', 'IL6'})"
"frozenset({'IL6', 'P07900', 'Q6Y7W6'})"
"frozenset({'IL6', 'P48556', 'Q9H583'})"
"frozenset({'IL6', 'P21860', 'Q13882'})"
"frozenset({'IL6', 'Q6ZNC8', 'O94822'})"
"frozenset({'Q92841', 'O75530', 'IL6'})"
"frozenset({'IL6', 'Q9UHV2', 'Q9UIG4'})"
"frozenset({'Q9H0S4', 'O60260', 'IL6'})"
"frozenset({'Q8WWY8', 'Q71U36', 'IL6'})"
"frozenset({'P51659', 'Q9H0R8', 'IL6'})"
"frozenset({'P13284', 'IL6', 'Q07157'})"
"frozenset({'IL6', 'Q86YF9', 'Q96CV9'})"
"frozenset({'IL6', 'P0DMV8', 'Q9BXA6'})"
"frozenset({'P50222', 'IL6', 'Q9Y5L0'})"
"frozenset({'IL6', 'P29350', 'P38484'})"
"frozenset({'Q08211', 'P52272', 'IL6'})"
"frozenset({'IL6', 'Q14210', 'P62993'})"
"frozenset({'IL6', 'Q9NSK0', 'P04629'})"
"frozenset({'Q92522', 'IL6', 'Q15022'})"
"frozenset({'P24941', 'P23284', 'IL6'})"
"frozenset({'O75665', 'P50570', 'IL6'})"
"frozenset({'O96006', 'IL6', 'Q16385'})"
"frozenset({'O75340', 'IL6', 'P35240'})"
