negatives
"frozenset({'Q96HT8', 'Q99757', 'BDNF'})"
"frozenset({'Q96I51', 'BDNF', 'Q9H4A6'})"
"frozenset({'BDNF', 'Q9GZR7', 'P23416'})"
"frozenset({'P06576', 'P35226', 'BDNF'})"
"frozenset({'P54725', 'Q86XT4', 'BDNF'})"
"frozenset({'O43293', 'Q9UIJ7', 'BDNF'})"
"frozenset({'Q9H8W4', 'BDNF', 'O15119'})"
"frozenset({'Q13200', 'BDNF', 'P62987'})"
"frozenset({'P48556', 'P25789', 'BDNF'})"
"frozenset({'P55072', 'Q9Y676', 'BDNF'})"
"frozenset({'P55196', 'Q15375', 'BDNF'})"
"frozenset({'P42677', 'BDNF', 'P26373'})"
"frozenset({'Q08881', 'BDNF', 'P62993'})"
"frozenset({'Q15047', 'BDNF', 'P60903'})"
"frozenset({'Q5TC82', 'BDNF', 'P60866'})"
"frozenset({'P54296', 'P17612', 'BDNF'})"
"frozenset({'O15209', 'Q14498', 'BDNF'})"
"frozenset({'P49674', 'Q13127', 'BDNF'})"
"frozenset({'Q9BQ67', 'BDNF', 'Q96DI7'})"
"frozenset({'BDNF', 'Q03468', 'O15527'})"
"frozenset({'Q9Y577', 'Q8IVD9', 'BDNF'})"
"frozenset({'P07947', 'Q9NRD5', 'BDNF'})"
"frozenset({'O94906', 'BDNF', 'O75147'})"
"frozenset({'O14965', 'Q9NQS7', 'BDNF'})"
"frozenset({'O43242', 'O43298', 'BDNF'})"
"frozenset({'O95166', 'BDNF', 'P51648'})"
"frozenset({'BDNF', 'Q9BQE3', 'Q99759'})"
"frozenset({'BDNF', 'P62993', 'O00499'})"
"frozenset({'Q9NRP4', 'BDNF', 'P18859'})"
"frozenset({'P63027', 'BDNF', 'Q16623'})"
"frozenset({'Q17RP2', 'BDNF', 'Q9BYD1'})"
"frozenset({'BDNF', 'Q9BVC3', 'Q8TBE7'})"
"frozenset({'BDNF', 'P51531', 'O75396'})"
"frozenset({'BDNF', 'P57078', 'Q8WXG6'})"
"frozenset({'O75530', 'BDNF', 'P62847'})"
"frozenset({'Q9P2I0', 'Q9H6E5', 'BDNF'})"
"frozenset({'Q13610', 'P48431', 'BDNF'})"
"frozenset({'Q8TDY2', 'O95292', 'BDNF'})"
"frozenset({'Q8NHL6', 'P04222', 'BDNF'})"
"frozenset({'Q13242', 'Q99496', 'BDNF'})"
"frozenset({'Q9UKB1', 'P23588', 'BDNF'})"
"frozenset({'Q9Y244', 'O60662', 'BDNF'})"
"frozenset({'BDNF', 'O95573', 'P04629'})"
"frozenset({'Q14833', 'BDNF', 'P61952'})"
"frozenset({'O15320', 'Q9Y4K3', 'BDNF'})"
"frozenset({'P24539', 'P45880', 'BDNF'})"
"frozenset({'BDNF', 'P62079', 'Q8WUY8'})"
"frozenset({'Q96G23', 'BDNF', 'O00487'})"
"frozenset({'BDNF', 'Q9NZJ0', 'P13569'})"
"frozenset({'Q15596', 'BDNF', 'P01100'})"
"frozenset({'Q93034', 'BDNF', 'O95273'})"
"frozenset({'P06493', 'BDNF', 'P01732'})"
"frozenset({'P19793', 'BDNF', 'Q9Y3R0'})"
"frozenset({'BDNF', 'Q8TAP6', 'Q92552'})"
"frozenset({'P40938', 'BDNF', 'Q16658'})"
"frozenset({'O75208', 'BDNF', 'Q15392'})"
"frozenset({'O60921', 'BDNF', 'P12004'})"
"frozenset({'P15248', 'P40189', 'BDNF'})"
"frozenset({'P63215', 'P21917', 'BDNF'})"
"frozenset({'O95793', 'P38646', 'BDNF'})"
"frozenset({'Q96HA7', 'Q08945', 'BDNF'})"
"frozenset({'P30050', 'BDNF', 'O00567'})"
"frozenset({'Q9UBW7', 'P48431', 'BDNF'})"
"frozenset({'P35579', 'BDNF', 'P17252'})"
"frozenset({'P13284', 'Q9BQ66', 'BDNF'})"
"frozenset({'O14787', 'P21589', 'BDNF'})"
"frozenset({'Q9P2P5', 'BDNF', 'Q9UK80'})"
"frozenset({'O15247', 'BDNF', 'P0DI81'})"
"frozenset({'P19525', 'BDNF', 'P05161'})"
"frozenset({'BDNF', 'Q9H1I8', 'O75487'})"
"frozenset({'Q15029', 'Q15287', 'BDNF'})"
"frozenset({'BDNF', 'Q7Z7M9', 'Q93063'})"
"frozenset({'Q7Z6Z7', 'BDNF', 'P08238'})"
"frozenset({'Q8TES7', 'BDNF', 'Q5T1M5'})"
"frozenset({'Q7Z3K6', 'BDNF', 'O95785'})"
"frozenset({'Q5VT66', 'Q02338', 'BDNF'})"
"frozenset({'Q9Y698', 'BDNF', 'P36873'})"
"frozenset({'Q9H2B2', 'BDNF', 'P45983'})"
"frozenset({'P06493', 'BDNF', 'P82970'})"
"frozenset({'O14498', 'Q6V9R5', 'BDNF'})"
"frozenset({'Q9BY78', 'BDNF', 'O60361'})"
"frozenset({'Q92731', 'Q9HBH9', 'BDNF'})"
"frozenset({'P16455', 'Q09472', 'BDNF'})"
"frozenset({'BDNF', 'P50549', 'P45983'})"
"frozenset({'P60842', 'BDNF', 'O15264'})"
"frozenset({'Q9UN19', 'Q8TBZ3', 'BDNF'})"
"frozenset({'BDNF', 'Q02156', 'Q15842'})"
"frozenset({'P06400', 'Q6STE5', 'BDNF'})"
"frozenset({'P16520', 'BDNF', 'P45983'})"
"frozenset({'Q9BTT4', 'BDNF', 'P53803'})"
"frozenset({'Q15884', 'BDNF', 'Q9NV66'})"
"frozenset({'Q9NVA2', 'BDNF', 'P19320'})"
"frozenset({'Q86V81', 'BDNF', 'Q96J01'})"
"frozenset({'Q96B26', 'BDNF', 'Q9Y613'})"
"frozenset({'Q07627', 'BDNF', 'O43559'})"
"frozenset({'Q15038', 'BDNF', 'P57075'})"
"frozenset({'P19387', 'BDNF', 'Q8N7H5'})"
"frozenset({'Q14653', 'Q86WV6', 'BDNF'})"
"frozenset({'P49736', 'BDNF', 'Q92820'})"
"frozenset({'Q9NQC7', 'BDNF', 'Q92997'})"
"frozenset({'Q9NWQ4', 'Q8NHQ1', 'BDNF'})"
"frozenset({'P60369', 'BDNF', 'Q9H270'})"
"frozenset({'O60500', 'BDNF', 'P06241'})"
"frozenset({'Q9Y5B9', 'P06702', 'BDNF'})"
"frozenset({'BDNF', 'A0PJY2', 'Q99750'})"
"frozenset({'Q15717', 'BDNF', 'O75071'})"
"frozenset({'Q9UL18', 'P46778', 'BDNF'})"
"frozenset({'P18031', 'BDNF', 'P13501'})"
"frozenset({'Q9HAT2', 'Q9UIQ6', 'BDNF'})"
"frozenset({'Q7L5D6', 'BDNF', 'P60468'})"
"frozenset({'Q9H9B1', 'BDNF', 'P83916'})"
"frozenset({'P04155', 'Q15648', 'BDNF'})"
"frozenset({'O95376', 'Q9H4M9', 'BDNF'})"
"frozenset({'Q9NQP4', 'BDNF', 'Q13112'})"
"frozenset({'P55072', 'Q9Y4K3', 'BDNF'})"
"frozenset({'Q9UL45', 'Q8TDH9', 'BDNF'})"
"frozenset({'Q9BXJ9', 'BDNF', 'P13612'})"
"frozenset({'P05388', 'BDNF', 'P61313'})"
"frozenset({'P53778', 'BDNF', 'P15336'})"
"frozenset({'Q8IW19', 'P01036', 'BDNF'})"
"frozenset({'Q9BTK6', 'BDNF', 'Q14686'})"
"frozenset({'O43390', 'P62633', 'BDNF'})"
"frozenset({'P05067', 'P23560', 'BDNF'})"
"frozenset({'P05423', 'BDNF', 'Q9NVU0'})"
"frozenset({'O95619', 'O76064', 'BDNF'})"
"frozenset({'O15126', 'BDNF', 'O95274'})"
"frozenset({'Q03113', 'Q9UP65', 'BDNF'})"
"frozenset({'BDNF', 'Q9UFW8', 'O15160'})"
"frozenset({'BDNF', 'Q53FD0', 'P14373'})"
"frozenset({'BDNF', 'Q5TB80', 'Q99550'})"
"frozenset({'Q96G30', 'P41968', 'BDNF'})"
"frozenset({'Q9UBN7', 'Q86XR8', 'BDNF'})"
"frozenset({'Q8NA54', 'BDNF', 'P52747'})"
"frozenset({'Q9UNX3', 'Q93034', 'BDNF'})"
"frozenset({'O75771', 'BDNF', 'Q9Y2J4'})"
"frozenset({'BDNF', 'Q00013', 'P82979'})"
"frozenset({'Q96GD4', 'BDNF', 'P05204'})"
"frozenset({'Q6IE81', 'BDNF', 'P62805'})"
"frozenset({'Q9UHL9', 'BDNF', 'P43363'})"
"frozenset({'BDNF', 'O60508', 'Q8TAD8'})"
"frozenset({'Q92925', 'BDNF', 'P04629'})"
"frozenset({'BDNF', 'Q15022', 'Q92616'})"
"frozenset({'O75940', 'Q9H0H5', 'BDNF'})"
"frozenset({'BDNF', 'P84022', 'P41235'})"
"frozenset({'Q14980', 'BDNF', 'P04629'})"
"frozenset({'Q9HCK4', 'O60238', 'BDNF'})"
"frozenset({'O95817', 'BDNF', 'Q06787'})"
"frozenset({'Q9ULR3', 'Q8TEH3', 'BDNF'})"
"frozenset({'Q00994', 'P08138', 'BDNF'})"
"frozenset({'P62079', 'BDNF', 'O14975'})"
"frozenset({'BDNF', 'Q9BWE0', 'Q9BQ04'})"
"frozenset({'Q86XL3', 'Q13315', 'BDNF'})"
"frozenset({'BDNF', 'Q15022', 'Q16385'})"
"frozenset({'Q9UPN9', 'BDNF', 'Q13263'})"
"frozenset({'Q96HE9', 'BDNF', 'Q9UHA3'})"
"frozenset({'P30260', 'O60729', 'BDNF'})"
"frozenset({'P62079', 'BDNF', 'Q96KR6'})"
"frozenset({'O14530', 'Q99570', 'BDNF'})"
"frozenset({'Q15005', 'P78334', 'BDNF'})"
"frozenset({'Q13323', 'Q5TGU0', 'BDNF'})"
"frozenset({'Q9P2P5', 'BDNF', 'P78549'})"
"frozenset({'Q9UKG9', 'P60981', 'BDNF'})"
"frozenset({'Q9UNQ2', 'BDNF', 'P20036'})"
"frozenset({'Q9UM54', 'BDNF', 'P51784'})"
"frozenset({'Q9NRC8', 'BDNF', 'Q8WWM7'})"
"frozenset({'P01106', 'BDNF', 'P07355'})"
"frozenset({'O75381', 'BDNF', 'P68371'})"
"frozenset({'O95990', 'BDNF', 'Q96ED9'})"
"frozenset({'P69905', 'BDNF', 'P20036'})"
"frozenset({'O14931', 'BDNF', 'P13987'})"
"frozenset({'BDNF', 'Q96JC9', 'Q8IZT6'})"
"frozenset({'Q13114', 'BDNF', 'Q06187'})"
"frozenset({'BDNF', 'P08047', 'Q7Z3K3'})"
"frozenset({'Q96EY9', 'Q13315', 'BDNF'})"
"frozenset({'BDNF', 'Q15022', 'Q06787'})"
"frozenset({'P60709', 'Q9Y2J2', 'BDNF'})"
"frozenset({'P26045', 'BDNF', 'Q14524'})"
"frozenset({'Q05397', 'O14508', 'BDNF'})"
"frozenset({'Q8IVH8', 'P16333', 'BDNF'})"
"frozenset({'O43920', 'BDNF', 'Q9UI09'})"
"frozenset({'Q3SY84', 'Q9Y3C0', 'BDNF'})"
"frozenset({'Q13352', 'Q16659', 'BDNF'})"
"frozenset({'BDNF', 'A0AV96', 'Q6P1W5'})"
"frozenset({'P49841', 'BDNF', 'P35222'})"
"frozenset({'Q96A72', 'BDNF', 'Q15326'})"
"frozenset({'P60709', 'P25705', 'BDNF'})"
"frozenset({'Q9Y2I6', 'BDNF', 'P15924'})"
"frozenset({'Q7LFX5', 'Q92604', 'BDNF'})"
"frozenset({'BDNF', 'Q9NWV8', 'Q96RL1'})"
"frozenset({'Q9BZB8', 'P06493', 'BDNF'})"
"frozenset({'Q9UBK2', 'Q93074', 'BDNF'})"
"frozenset({'BDNF', 'P22694', 'Q8NH05'})"
"frozenset({'Q15393', 'BDNF', 'P07900'})"
"frozenset({'Q9Y6J9', 'Q16514', 'BDNF'})"
"frozenset({'O95202', 'O00141', 'BDNF'})"
"frozenset({'P00167', 'P04798', 'BDNF'})"
"frozenset({'P36404', 'Q13885', 'BDNF'})"
"frozenset({'BDNF', 'O75533', 'P38919'})"
"frozenset({'Q96HR8', 'BDNF', 'Q9ULW3'})"
"frozenset({'Q69YU3', 'BDNF', 'Q9UQC2'})"
"frozenset({'P45985', 'BDNF', 'P21333'})"
"frozenset({'O15169', 'Q12933', 'BDNF'})"
"frozenset({'Q15648', 'BDNF', 'Q7Z713'})"
"frozenset({'Q9BYN0', 'BDNF', 'Q9UNE7'})"
"frozenset({'P82675', 'BDNF', 'P26373'})"
"frozenset({'Q9H8W4', 'BDNF', 'Q9HCE1'})"
"frozenset({'O95714', 'BDNF', 'O15371'})"
"frozenset({'Q03135', 'BDNF', 'Q9UNN8'})"
"frozenset({'O43609', 'BDNF', 'O43741'})"
"frozenset({'O95777', 'BDNF', 'P62910'})"
"frozenset({'BDNF', 'O95429', 'A5D8V6'})"
"frozenset({'Q2TAY7', 'BDNF', 'P04004'})"
"frozenset({'O15355', 'BDNF', 'P16949'})"
"frozenset({'Q6ZRY4', 'BDNF', 'P07910'})"
"frozenset({'P0C862', 'O75973', 'BDNF'})"
"frozenset({'BDNF', 'Q9UK08', 'O43741'})"
"frozenset({'Q13137', 'BDNF', 'Q96BZ8'})"
"frozenset({'O94805', 'BDNF', 'Q96A08'})"
"frozenset({'BDNF', 'O75582', 'Q02930'})"
"frozenset({'Q13618', 'BDNF', 'Q7Z2W9'})"
"frozenset({'P45985', 'O15519', 'BDNF'})"
"frozenset({'O75334', 'BDNF', 'P23468'})"
"frozenset({'Q92696', 'BDNF', 'Q9NP90'})"
"frozenset({'Q9UGN5', 'P45973', 'BDNF'})"
"frozenset({'O95684', 'Q5FWF5', 'BDNF'})"
"frozenset({'Q71UI9', 'P05067', 'BDNF'})"
"frozenset({'O95630', 'BDNF', 'P09496'})"
"frozenset({'P57737', 'Q8N4V1', 'BDNF'})"
"frozenset({'P42338', 'BDNF', 'Q07890'})"
"frozenset({'P55795', 'Q93034', 'BDNF'})"
"frozenset({'O75844', 'BDNF', 'Q9NQ50'})"
"frozenset({'O75354', 'BDNF', 'Q02083'})"
"frozenset({'Q9NRD1', 'BDNF', 'Q14974'})"
"frozenset({'P41182', 'Q09472', 'BDNF'})"
"frozenset({'Q13616', 'BDNF', 'P46776'})"
"frozenset({'P31943', 'BDNF', 'P26368'})"
"frozenset({'Q5T124', 'BDNF', 'O43741'})"
"frozenset({'P16383', 'Q9NU53', 'BDNF'})"
"frozenset({'Q15853', 'P49841', 'BDNF'})"
"frozenset({'P24941', 'P21796', 'BDNF'})"
"frozenset({'Q16778', 'BDNF', 'Q99986'})"
"frozenset({'BDNF', 'P36578', 'Q9UKV8'})"
"frozenset({'BDNF', 'P40617', 'Q68D86'})"
"frozenset({'Q13469', 'P18887', 'BDNF'})"
"frozenset({'Q14627', 'P01242', 'BDNF'})"
"frozenset({'P24864', 'BDNF', 'Q9BS18'})"
"frozenset({'Q86WH2', 'BDNF', 'Q9BRV8'})"
"frozenset({'P62258', 'P34897', 'BDNF'})"
"frozenset({'O75581', 'BDNF', 'Q03135'})"
"frozenset({'BDNF', 'P46108', 'P62333'})"
"frozenset({'Q9NWZ3', 'BDNF', 'O14836'})"
"frozenset({'Q712K3', 'BDNF', 'Q86Y13'})"
"frozenset({'Q8NCN5', 'BDNF', 'P04629'})"
"frozenset({'BDNF', 'Q9C002', 'Q16795'})"
"frozenset({'P42166', 'BDNF', 'P49759'})"
"frozenset({'P30939', 'BDNF', 'P63096'})"
"frozenset({'BDNF', 'P61218', 'Q8WWU7'})"
"frozenset({'O95139', 'BDNF', 'O14561'})"
"frozenset({'P63220', 'O43242', 'BDNF'})"
"frozenset({'BDNF', 'P0DP25', 'P47872'})"
"frozenset({'Q9P209', 'BDNF', 'P11021'})"
"frozenset({'BDNF', 'Q9NR28', 'Q10567'})"
"frozenset({'Q9Y5K5', 'BDNF', 'P14373'})"
"frozenset({'BDNF', 'P17844', 'Q9NR56'})"
"frozenset({'BDNF', 'P82650', 'Q9UKV8'})"
"frozenset({'P00533', 'BDNF', 'O94973'})"
"frozenset({'P61201', 'Q7L5N1', 'BDNF'})"
"frozenset({'Q9Y4L5', 'BDNF', 'P31749'})"
"frozenset({'P61158', 'BDNF', 'O43852'})"
"frozenset({'A5PLL7', 'BDNF', 'Q15717'})"
"frozenset({'Q96A72', 'Q9NP66', 'BDNF'})"
"frozenset({'O95782', 'P09496', 'BDNF'})"
"frozenset({'P01566', 'BDNF', 'P01589'})"
"frozenset({'BDNF', 'P62750', 'Q13573'})"
"frozenset({'Q9Y4K3', 'Q9NR30', 'BDNF'})"
"frozenset({'P52564', 'O15105', 'BDNF'})"
"frozenset({'O94842', 'Q7Z6Z7', 'BDNF'})"
"frozenset({'Q969Q1', 'P45378', 'BDNF'})"
"frozenset({'P04792', 'BDNF', 'Q9UKG1'})"
"frozenset({'P19474', 'BDNF', 'Q96SW2'})"
"frozenset({'Q99853', 'BDNF', 'Q15323'})"
"frozenset({'BDNF', 'P13995', 'Q7Z478'})"
"frozenset({'BDNF', 'P05141', 'Q02878'})"
"frozenset({'Q99459', 'BDNF', 'P68371'})"
"frozenset({'O15519', 'BDNF', 'P48023'})"
"frozenset({'P02751', 'BDNF', 'Q12857'})"
"frozenset({'P55072', 'Q96AJ1', 'BDNF'})"
"frozenset({'P61326', 'BDNF', 'P67809'})"
"frozenset({'P11308', 'BDNF', 'P09874'})"
"frozenset({'Q5XKP0', 'BDNF', 'Q16665'})"
"frozenset({'Q12982', 'Q969F0', 'BDNF'})"
"frozenset({'Q14914', 'BDNF', 'P11766'})"
"frozenset({'Q14526', 'P51532', 'BDNF'})"
"frozenset({'P17612', 'BDNF', 'Q9HCR9'})"
"frozenset({'Q7L5D6', 'BDNF', 'Q96AC6'})"
"frozenset({'Q92688', 'BDNF', 'P41235'})"
"frozenset({'P27986', 'P62745', 'BDNF'})"
"frozenset({'P63220', 'Q13200', 'BDNF'})"
"frozenset({'Q96EK4', 'O15212', 'BDNF'})"
"frozenset({'P22314', 'Q9UBZ4', 'BDNF'})"
"frozenset({'Q14019', 'BDNF', 'Q15717'})"
"frozenset({'P67809', 'BDNF', 'Q9UMS4'})"
"frozenset({'BDNF', 'Q2WGJ6', 'Q9BYR9'})"
"frozenset({'BDNF', 'P62280', 'Q5S007'})"
"frozenset({'Q96S44', 'BDNF', 'Q14203'})"
"frozenset({'P28074', 'P30101', 'BDNF'})"
"frozenset({'P02751', 'BDNF', 'P35232'})"
"frozenset({'P54710', 'BDNF', 'P22694'})"
"frozenset({'P53778', 'Q15080', 'BDNF'})"
"frozenset({'B9ZVM9', 'BDNF', 'Q4V328'})"
"frozenset({'BDNF', 'P60520', 'Q96PQ7'})"
"frozenset({'P52272', 'BDNF', 'Q15366'})"
"frozenset({'Q9UBG7', 'Q04721', 'BDNF'})"
"frozenset({'Q7Z4H8', 'BDNF', 'Q9NRD1'})"
"frozenset({'Q9BYI3', 'BDNF', 'P14373'})"
"frozenset({'BDNF', 'Q9HAF1', 'O95751'})"
"frozenset({'Q13547', 'P46531', 'BDNF'})"
"frozenset({'Q13188', 'Q06520', 'BDNF'})"
"frozenset({'Q9NYB0', 'Q9BWC9', 'BDNF'})"
"frozenset({'P50402', 'BDNF', 'Q16543'})"
"frozenset({'Q5TA77', 'BDNF', 'P60410'})"
"frozenset({'Q01082', 'A6NI86', 'BDNF'})"
"frozenset({'Q9HB71', 'P30679', 'BDNF'})"
"frozenset({'Q9Y4P3', 'BDNF', 'Q92905'})"
"frozenset({'P78371', 'O60566', 'BDNF'})"
"frozenset({'A8MXZ3', 'BDNF', 'P49736'})"
"frozenset({'O60262', 'Q8NHC7', 'BDNF'})"
"frozenset({'P50914', 'P36578', 'BDNF'})"
"frozenset({'Q9UJV3', 'Q9H201', 'BDNF'})"
"frozenset({'P48556', 'BDNF', 'P25788'})"
"frozenset({'P53350', 'BDNF', 'Q969H0'})"
"frozenset({'P78385', 'BDNF', 'P08727'})"
"frozenset({'P11586', 'BDNF', 'P26368'})"
"frozenset({'Q6XQN6', 'Q6A162', 'BDNF'})"
"frozenset({'BDNF', 'Q9GZR2', 'Q9HCE1'})"
"frozenset({'O95721', 'BDNF', 'Q96A65'})"
"frozenset({'P61513', 'BDNF', 'P62244'})"
"frozenset({'P19387', 'BDNF', 'P0DPB5'})"
"frozenset({'P53778', 'P50151', 'BDNF'})"
"frozenset({'O75592', 'Q8TAF3', 'BDNF'})"
"frozenset({'P09110', 'BDNF', 'O43678'})"
"frozenset({'P49674', 'BDNF', 'Q16763'})"
"frozenset({'O75400', 'BDNF', 'Q96F07'})"
"frozenset({'Q92748', 'BDNF', 'Q9H0C1'})"
"frozenset({'BDNF', 'P23025', 'P40692'})"
"frozenset({'P45880', 'BDNF', 'Q8N5K1'})"
"frozenset({'Q8TAX9', 'BDNF', 'P01009'})"
"frozenset({'P56537', 'BDNF', 'Q96GQ7'})"
"frozenset({'Q96FW1', 'BDNF', 'Q96B02'})"
"frozenset({'BDNF', 'Q13541', 'O15264'})"
"frozenset({'Q15008', 'BDNF', 'Q9H8Y8'})"
"frozenset({'Q3YEC7', 'Q7Z406', 'BDNF'})"
"frozenset({'P07954', 'BDNF', 'Q6DKK2'})"
"frozenset({'Q9NY27', 'O60271', 'BDNF'})"
"frozenset({'P04406', 'BDNF', 'P63167'})"
"frozenset({'P0C0L4', 'BDNF', 'P04003'})"
"frozenset({'Q8TAD2', 'BDNF', 'Q8N6P7'})"
"frozenset({'Q9BXW4', 'Q3MII6', 'BDNF'})"
"frozenset({'Q9NZL4', 'BDNF', 'P61160'})"
"frozenset({'Q9BQS8', 'Q96GS4', 'BDNF'})"
"frozenset({'Q9NPA0', 'BDNF', 'P54219'})"
"frozenset({'BDNF', 'P58317', 'Q14145'})"
"frozenset({'P15374', 'P15311', 'BDNF'})"
"frozenset({'BDNF', 'P08581', 'O43915'})"
"frozenset({'BDNF', 'Q8N6Y0', 'Q68DK2'})"
"frozenset({'BDNF', 'P49368', 'P42025'})"
"frozenset({'Q06830', 'BDNF', 'P32119'})"
"frozenset({'BDNF', 'Q14674', 'Q8N3U4'})"
"frozenset({'P06748', 'P46778', 'BDNF'})"
"frozenset({'BDNF', 'Q58FF8', 'P30291'})"
"frozenset({'P55072', 'BDNF', 'Q13509'})"
"frozenset({'P14859', 'P07948', 'BDNF'})"
"frozenset({'Q8NBU5', 'BDNF', 'Q15717'})"
"frozenset({'Q96CS3', 'BDNF', 'Q9Y5U4'})"
"frozenset({'P49810', 'BDNF', 'Q9BQ95'})"
"frozenset({'P25098', 'Q8NGJ0', 'BDNF'})"
"frozenset({'BDNF', 'O60508', 'P09651'})"
"frozenset({'P10114', 'P53611', 'BDNF'})"
"frozenset({'Q9Y224', 'BDNF', 'O95456'})"
"frozenset({'Q04206', 'Q99684', 'BDNF'})"
"frozenset({'P45973', 'BDNF', 'Q86TE4'})"
"frozenset({'Q6TDU7', 'Q99728', 'BDNF'})"
"frozenset({'O14818', 'Q16659', 'BDNF'})"
"frozenset({'P62318', 'P62304', 'BDNF'})"
"frozenset({'P13010', 'P52701', 'BDNF'})"
"frozenset({'BDNF', 'Q14554', 'Q15014'})"
"frozenset({'Q8NAP1', 'Q9Y265', 'BDNF'})"
"frozenset({'Q9NVX0', 'Q969G3', 'BDNF'})"
"frozenset({'Q9NPE2', 'BDNF', 'P09651'})"
"frozenset({'P04075', 'BDNF', 'Q6IQ23'})"
"frozenset({'Q9UJU2', 'O43683', 'BDNF'})"
"frozenset({'P12277', 'BDNF', 'P47712'})"
"frozenset({'Q96KP4', 'P11413', 'BDNF'})"
"frozenset({'Q71U36', 'P68363', 'BDNF'})"
"frozenset({'P60409', 'BDNF', 'P15622'})"
"frozenset({'P13639', 'BDNF', 'Q96L21'})"
"frozenset({'BDNF', 'Q96JC9', 'Q15717'})"
"frozenset({'Q8WVC0', 'BDNF', 'P36873'})"
"frozenset({'BDNF', 'P48544', 'P63096'})"
"frozenset({'Q9Y3C8', 'BDNF', 'Q96HY6'})"
"frozenset({'Q9UNE7', 'BDNF', 'P00540'})"
"frozenset({'O43795', 'P08047', 'BDNF'})"
"frozenset({'P59046', 'BDNF', 'P58340'})"
"frozenset({'BDNF', 'Q9Y3R0', 'P07288'})"
"frozenset({'BDNF', 'Q8TAG9', 'P29474'})"
"frozenset({'Q9HBH9', 'BDNF', 'P51805'})"
"frozenset({'P21802', 'BDNF', 'Q86VI4'})"
"frozenset({'Q969P0', 'BDNF', 'P67809'})"
"frozenset({'O43889', 'P0DMU9', 'BDNF'})"
"frozenset({'BDNF', 'P62807', 'P41236'})"
"frozenset({'P15923', 'P18583', 'BDNF'})"
"frozenset({'BDNF', 'Q9UQ88', 'Q16543'})"
"frozenset({'O60729', 'BDNF', 'P55081'})"
"frozenset({'P68431', 'BDNF', 'Q9Y3R0'})"
"frozenset({'Q9Y277', 'BDNF', 'Q9UI12'})"
"frozenset({'BDNF', 'Q01628', 'P06241'})"
"frozenset({'Q9UQE7', 'Q9UQL6', 'BDNF'})"
"frozenset({'P61201', 'BDNF', 'Q15643'})"
"frozenset({'O75791', 'Q9UBB9', 'BDNF'})"
"frozenset({'P15927', 'BDNF', 'P40763'})"
"frozenset({'P05783', 'Q6PKC3', 'BDNF'})"
"frozenset({'Q99459', 'P22626', 'BDNF'})"
"frozenset({'Q9P2M7', 'BDNF', 'O15075'})"
"frozenset({'BDNF', 'Q9H4A6', 'Q15717'})"
"frozenset({'P29590', 'BDNF', 'P61956'})"
"frozenset({'Q96M61', 'BDNF', 'P54253'})"
"frozenset({'Q9H0I2', 'BDNF', 'P36406'})"
"frozenset({'Q9P0M4', 'Q96F46', 'BDNF'})"
"frozenset({'Q96HS1', 'Q9Y572', 'BDNF'})"
"frozenset({'O94906', 'P38919', 'BDNF'})"
"frozenset({'P35638', 'BDNF', 'P0DPB5'})"
"frozenset({'Q13007', 'BDNF', 'P26951'})"
"frozenset({'Q1MSJ5', 'BDNF', 'Q8N4C6'})"
"frozenset({'BDNF', 'Q8N9N8', 'Q9HCE1'})"
"frozenset({'Q5UCC4', 'BDNF', 'Q9P0I2'})"
"frozenset({'BDNF', 'O76081', 'P01308'})"
"frozenset({'Q8N137', 'Q08945', 'BDNF'})"
"frozenset({'Q8IWL8', 'BDNF', 'P78337'})"
"frozenset({'P49918', 'Q99684', 'BDNF'})"
"frozenset({'BDNF', 'Q96B02', 'O60291'})"
"frozenset({'Q13618', 'BDNF', 'P08237'})"
"frozenset({'P0C7T5', 'BDNF', 'O00339'})"
"frozenset({'Q12830', 'Q8IXM2', 'BDNF'})"
"frozenset({'P12830', 'BDNF', 'Q9NTK5'})"
"frozenset({'Q504Q3', 'P40939', 'BDNF'})"
"frozenset({'BDNF', 'O00273', 'P61981'})"
"frozenset({'P11388', 'BDNF', 'P16104'})"
"frozenset({'P05165', 'P05166', 'BDNF'})"
"frozenset({'P55157', 'O43708', 'BDNF'})"
"frozenset({'Q9Y4L1', 'BDNF', 'P11021'})"
"frozenset({'P42167', 'BDNF', 'P35222'})"
"frozenset({'P14598', 'BDNF', 'Q92558'})"
"frozenset({'O60293', 'Q15834', 'BDNF'})"
"frozenset({'BDNF', 'Q01974', 'P59022'})"
"frozenset({'P05091', 'BDNF', 'Q9UKR5'})"
"frozenset({'Q13618', 'BDNF', 'P60866'})"
"frozenset({'Q9NSE2', 'BDNF', 'Q14765'})"
"frozenset({'Q3ZCM7', 'BDNF', 'Q9NY65'})"
"frozenset({'Q13323', 'O95393', 'BDNF'})"
"frozenset({'P36542', 'Q13618', 'BDNF'})"
"frozenset({'Q70EL1', 'P54259', 'BDNF'})"
"frozenset({'Q9BRA0', 'Q9H0B6', 'BDNF'})"
"frozenset({'BDNF', 'Q8NBI2', 'P19801'})"
"frozenset({'Q5TA82', 'P32242', 'BDNF'})"
"frozenset({'Q92901', 'BDNF', 'P46776'})"
"frozenset({'P19525', 'BDNF', 'P11387'})"
"frozenset({'BDNF', 'Q9UQ84', 'P16104'})"
"frozenset({'O75113', 'Q13315', 'BDNF'})"
